time,avail
2023-12-23 16:18:34,14168.199
2023-12-23 16:18:33,14168.684
2023-12-23 16:18:32,14168.191
2023-12-23 16:18:31,14168.27
2023-12-23 16:18:30,14167.938
2023-12-23 16:18:29,14168.312
2023-12-23 16:18:28,14168.238
2023-12-23 16:18:27,14167.047
2023-12-23 16:18:26,14169.309
2023-12-23 16:18:25,14169.336
2023-12-23 16:18:24,14170.305
2023-12-23 16:18:23,14169.883
2023-12-23 16:18:22,14169.055
2023-12-23 16:18:21,14169.23
2023-12-23 16:18:20,14169.199
2023-12-23 16:18:19,14168.34
2023-12-23 16:18:18,14167.898
2023-12-23 16:18:17,14168.375
2023-12-23 16:18:16,14168.598
2023-12-23 16:18:15,14169.332
2023-12-23 16:18:14,14169.629
2023-12-23 16:18:13,14169.398
2023-12-23 16:18:12,14169.414
2023-12-23 16:18:11,14168.883
2023-12-23 16:18:10,14169.332
2023-12-23 16:18:09,14169.129
2023-12-23 16:18:08,14168.852
2023-12-23 16:18:07,14167.133
2023-12-23 16:18:06,14169.586
2023-12-23 16:18:05,14170.488
2023-12-23 16:18:04,14170.828
2023-12-23 16:18:03,14170.41
2023-12-23 16:18:02,14170.891
2023-12-23 16:18:01,14169.844
2023-12-23 16:18:00,14170.859
2023-12-23 16:17:59,14171.238
2023-12-23 16:17:58,14171.18
2023-12-23 16:17:57,14169.898
2023-12-23 16:17:56,14170.137
2023-12-23 16:17:55,14170.133
2023-12-23 16:17:54,14170.188
2023-12-23 16:17:53,14170.242
2023-12-23 16:17:52,14169.984
2023-12-23 16:17:51,14169.215
2023-12-23 16:17:50,14169.016
2023-12-23 16:17:49,14168.309
2023-12-23 16:17:48,14168.371
2023-12-23 16:17:47,14168.055
2023-12-23 16:17:46,14169.242
2023-12-23 16:17:45,14168.973
2023-12-23 16:17:44,14170.219
2023-12-23 16:17:43,14169.457
2023-12-23 16:17:42,14169.387
2023-12-23 16:17:41,14168.719
2023-12-23 16:17:40,14168.555
2023-12-23 16:17:39,14168.625
