ops,op/s,pk/s,row/s,mean,med,.95,.99,.999,max,time,stderr,errors,gc: #,max ms,sum ms,sdv ms,mb,type total
13460.888888888889,500.8888888888889,500.8888888888889,500.8888888888889,19.11111111111111,6.511111111111111,50.0,52.48888888888889,58.5,65.91111111111111,1703868238.0,0.057846666666666664,0.0,0.0,0.0,0.0,0.0,0.0,total
13949.111111111111,488.22222222222223,488.22222222222223,488.22222222222223,56.78888888888889,57.955555555555556,129.7888888888889,150.88888888888889,177.05555555555554,178.34444444444443,1703868239.0,0.05431,0.0,0.0,0.0,0.0,0.0,0.0,total
14460.777777777777,511.6666666666667,511.6666666666667,511.6666666666667,22.788888888888888,7.2444444444444445,68.08888888888889,83.98888888888888,92.4,94.47777777777779,1703868240.0,0.05151111111111111,0.0,0.0,0.0,0.0,0.0,0.0,total
14960.666666666666,499.8888888888889,499.8888888888889,499.8888888888889,19.666666666666668,6.655555555555555,50.53333333333333,54.144444444444446,59.6888888888889,60.455555555555556,1703868241.0,0.04922666666666667,0.0,0.0,0.0,0.0,0.0,0.0,total
15460.111111111111,499.44444444444446,499.44444444444446,499.44444444444446,19.700000000000003,6.544444444444444,49.96666666666667,51.68888888888889,59.333333333333336,59.92222222222222,1703868242.0,0.04711111111111111,0.0,0.0,0.0,0.0,0.0,0.0,total
15955.777777777777,495.6666666666667,495.6666666666667,495.6666666666667,32.86666666666667,25.022222222222222,90.06666666666666,117.8111111111111,156.8777777777778,163.38888888888889,1703868243.0,0.044935555555555555,0.0,0.0,0.0,0.0,0.0,0.0,total
16459.0,503.22222222222223,503.22222222222223,503.22222222222223,22.58888888888889,7.300000000000001,55.71111111111111,73.56666666666666,83.15555555555555,88.0,1703868244.0,0.04291777777777778,0.0,0.0,0.0,0.0,0.0,0.0,total
16960.222222222223,501.22222222222223,501.22222222222223,501.22222222222223,19.37777777777778,6.622222222222223,50.400000000000006,54.84444444444445,60.666666666666664,62.28888888888889,1703868245.0,0.04133888888888889,0.0,0.0,0.0,0.0,0.0,0.0,total
17459.777777777777,499.55555555555554,499.55555555555554,499.55555555555554,20.666666666666668,6.644444444444444,52.166666666666664,58.36666666666666,64.1,66.58888888888889,1703868246.0,0.03985777777777778,0.0,0.0,0.0,0.0,0.0,0.0,total
17959.555555555555,499.77777777777777,499.77777777777777,499.77777777777777,20.033333333333335,6.444444444444445,50.74444444444444,61.022222222222226,76.88888888888889,78.30000000000001,1703868247.0,0.038454444444444444,0.0,0.0,0.0,0.0,0.0,0.0,total
18459.88888888889,500.3333333333333,500.3333333333333,500.3333333333333,20.477777777777778,6.6,50.455555555555556,57.15555555555555,64.24444444444445,64.6,1703868248.0,0.03718,0.0,0.0,0.0,0.0,0.0,0.0,total
18956.333333333332,496.44444444444446,496.44444444444446,496.44444444444446,22.244444444444444,7.7333333333333325,55.32222222222222,71.85555555555555,91.9,91.9,1703868249.0,0.03592111111111111,0.0,0.0,0.0,0.0,0.0,0.0,total
19393.0,436.6666666666667,436.6666666666667,436.6666666666667,62.1888888888889,50.955555555555556,180.3777777777778,203.6222222222222,267.5777777777778,267.5777777777778,1703868250.0,0.03468555555555555,0.0,0.0,0.0,0.0,0.0,0.0,total
17878.8,425.1,425.1,425.1,230.76999999999998,228.15,299.36,362.55,427.35,431.36,1703868251.0,0.032041,0.0,0.0,0.0,0.0,0.0,0.0,total
18288.9,410.1,410.1,410.1,385.61,392.6,479.32,543.47,626.7,626.7,1703868252.0,-0.134752,0.0,0.0,0.0,0.0,0.0,0.0,total
18784.9,496.0,496.0,496.0,474.77,475.0400000000001,548.3199999999999,580.36,609.98,629.3100000000001,1703868253.0,-0.035502000000000006,0.0,0.0,0.0,0.0,0.0,0.0,total
19297.8,512.9,512.9,512.9,428.62,427.84,518.74,573.46,647.25,661.87,1703868254.0,-0.008251000000000005,0.0,0.0,0.0,0.0,0.0,0.0,total
19788.9,491.1,491.1,491.1,438.62,435.09,498.2700000000001,579.8599999999999,698.92,713.97,1703868255.0,0.006373000000000004,0.0,0.0,0.0,0.0,0.0,0.0,total
20283.1,494.2,494.2,494.2,485.76000000000005,484.98,556.49,596.63,649.0899999999999,663.9,1703868256.0,0.020537000000000007,0.0,0.0,0.0,0.0,0.0,0.0,total
20798.0,514.9,514.9,514.9,450.21999999999997,448.61,518.79,544.1800000000001,573.31,591.4300000000001,1703868257.0,0.024949000000000002,0.0,0.0,0.0,0.0,0.0,0.0,total
21354.1,556.1,556.1,556.1,345.75,333.86,445.15,462.59,484.5,489.78000000000003,1703868258.0,0.028891,0.0,0.0,0.0,0.0,0.0,0.0,total
19893.090909090908,480.27272727272725,480.27272727272725,480.27272727272725,294.25454545454545,291.6909090909091,352.88181818181823,382.1,422.45454545454544,444.8545454545454,1703868259.0,0.02803727272727273,0.0,0.0,0.0,0.0,0.0,0.0,total
20385.545454545456,492.45454545454544,492.45454545454544,492.45454545454544,279.27272727272725,270.23636363636365,332.3272727272727,360.94545454545454,423.19090909090903,430.7,1703868260.0,0.07799818181818183,0.0,0.0,0.0,0.0,0.0,0.0,total
19171.0,484.25,484.25,484.25,274.8333333333333,266.55,317.8666666666667,343.8416666666667,398.8583333333333,414.625,1703868261.0,0.0766775,0.0,0.0,0.0,0.0,0.0,0.0,total
19621.583333333332,450.5833333333333,450.5833333333333,450.5833333333333,295.98333333333335,290.18333333333334,376.925,423.75000000000006,509.8666666666666,509.8666666666666,1703868262.0,0.08480583333333334,0.0,0.0,0.0,0.0,0.0,0.0,total
17173.85714285714,355.35714285714283,355.35714285714283,355.35714285714283,467.92857142857144,476.9357142857143,566.9071428571428,609.6928571428572,685.2357142857143,685.2357142857143,1703868263.0,0.001258571428571426,0.0,0.0,0.0,0.0,0.0,0.0,total
17515.928571428572,342.07142857142856,342.07142857142856,342.07142857142856,662.8357142857142,646.6071428571429,813.3642857142858,851.7357142857143,894.35,894.35,1703868264.0,-0.053177857142857145,0.0,0.0,0.0,0.0,0.0,0.0,total
17831.214285714286,315.2857142857143,315.2857142857143,315.2857142857143,1069.6928571428573,1070.642857142857,1207.0714285714287,1261.7714285714285,1315.2285714285715,1315.2285714285715,1703868265.0,0.036982857142857144,0.0,0.0,0.0,0.0,0.0,0.0,total
18154.785714285714,323.57142857142856,323.57142857142856,323.57142857142856,1428.6928571428573,1441.9857142857143,1569.7214285714288,1606.5928571428572,1677.35,1677.35,1703868266.0,0.242635,0.0,0.0,0.0,0.0,0.0,0.0,total
18390.14285714286,235.35714285714286,235.35714285714286,235.35714285714286,1803.9785714285715,1786.1000000000001,2067.9357142857143,2140.8142857142857,2222.7571428571428,2222.7571428571428,1703868267.0,0.2629164285714286,0.0,0.0,0.0,0.0,0.0,0.0,total
18685.14285714286,295.0,295.0,295.0,2347.8,2356.7357142857145,2538.15,2565.1857142857143,2616.3571428571427,2616.3571428571427,1703868268.0,0.28239571428571425,0.0,0.0,0.0,0.0,0.0,0.0,total
18992.285714285714,307.14285714285717,307.14285714285717,307.14285714285717,2711.292857142857,2720.157142857143,2895.421428571429,2967.0142857142855,3087.7571428571428,3087.7571428571428,1703868269.0,0.296645,0.0,0.0,0.0,0.0,0.0,0.0,total
19270.14285714286,277.85714285714283,277.85714285714283,277.85714285714283,3154.557142857143,3167.292857142857,3347.0499999999997,3418.2,3476.4857142857145,3476.4857142857145,1703868270.0,0.30667428571428573,0.0,0.0,0.0,0.0,0.0,0.0,total
19523.85714285714,253.71428571428572,253.71428571428572,253.71428571428572,3555.807142857143,3562.171428571429,3764.528571428571,3843.9357142857143,3890.3642857142854,3890.3642857142854,1703868271.0,0.31626714285714286,0.0,0.0,0.0,0.0,0.0,0.0,total
19802.64285714286,278.7857142857143,278.7857142857143,278.7857142857143,4100.307142857143,4115.814285714286,4279.092857142858,4298.728571428571,4327.471428571428,4327.471428571428,1703868272.0,0.324695,0.0,0.0,0.0,0.0,0.0,0.0,total
20117.5,314.85714285714283,314.85714285714283,314.85714285714283,4491.45,4510.521428571429,4652.221428571428,4704.5142857142855,4764.135714285714,4764.135714285714,1703868273.0,0.3338278571428571,0.0,0.0,0.0,0.0,0.0,0.0,total
20478.64285714286,361.14285714285717,361.14285714285717,361.14285714285717,4809.314285714286,4811.314285714286,4947.021428571429,4985.092857142858,5056.385714285714,5056.385714285714,1703868274.0,0.34347714285714287,0.0,0.0,0.0,0.0,0.0,0.0,total
20854.285714285714,375.64285714285717,375.64285714285717,375.64285714285717,5049.928571428572,5051.599999999999,5190.157142857142,5257.571428571428,5355.385714285714,5355.385714285714,1703868275.0,0.3540871428571429,0.0,0.0,0.0,0.0,0.0,0.0,total
21193.285714285714,339.0,339.0,339.0,5358.364285714286,5355.385714285714,5507.557142857143,5568.978571428571,5686.278571428571,5686.278571428571,1703868276.0,0.3626128571428571,0.0,0.0,0.0,0.0,0.0,0.0,total
20102.866666666665,322.46666666666664,322.46666666666664,322.46666666666664,5337.0599999999995,5349.973333333332,5466.22,5506.6,5593.72,5593.72,1703868277.0,0.34668333333333334,0.0,0.0,0.0,0.0,0.0,0.0,total
20369.533333333333,266.6666666666667,266.6666666666667,266.6666666666667,5681.666666666667,5646.16,5920.193333333334,6022.593333333333,6116.473333333333,6116.473333333333,1703868278.0,0.30289266666666664,0.0,0.0,0.0,0.0,0.0,0.0,total
20624.466666666667,254.93333333333334,254.93333333333334,254.93333333333334,6229.766666666666,6285.926666666666,6402.613333333333,6448.820000000001,6487.46,6487.46,1703868279.0,0.3182526666666667,0.0,0.0,0.0,0.0,0.0,0.0,total
19568.25,232.8125,232.8125,232.8125,6274.41875,6267.86875,6521.4875,6665.94375,6767.3,6767.3,1703868280.0,0.30580625,0.0,0.0,0.0,0.0,0.0,0.0,total
18672.647058823528,255.47058823529412,255.47058823529412,255.47058823529412,6352.34705882353,6343.335294117647,6561.252941176471,6636.282352941176,6704.194117647059,6704.194117647059,1703868281.0,0.23439411764705884,0.0,0.0,0.0,0.0,0.0,0.0,total
18939.0,266.3529411764706,266.3529411764706,266.3529411764706,6911.15294117647,6931.400000000001,7099.235294117647,7175.2235294117645,7237.941176470588,7237.941176470588,1703868282.0,0.3811747058823529,0.0,0.0,0.0,0.0,0.0,0.0,total
19297.764705882353,358.7647058823529,358.7647058823529,358.7647058823529,7270.358823529412,7287.358823529412,7403.747058823529,7521.747058823529,7824.341176470588,7824.341176470588,1703868283.0,0.601664705882353,0.0,0.0,0.0,0.0,0.0,0.0,total
