Timestamp,Src Port,Dst Port,Protocol,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Src IP,Dst IP,Label
1690925296,,,6.0,90834205.0,103.0,102.0,19066.5,6732.0,238.0,134.0,184.93481654957066,38.94292384100729,66.0,66.0,66.0,0.0,284.30396483783727,2.2590973207461085,461718.12351886893,795238.0185669047,4226894.5,296.5,90834205.0,923436.2470377377,947040.1153156429,4263858.0,37253.0,88070960.5,903419.5020325202,929171.2787457802,4171801.0,37169.0,0.0,0.0,0.0,0.0,2060.0,2040.0,1.1350533437812824,1.1240439769648263,66.0,238.0,125.76736650156477,65.56289615984048,4298.972305929279,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9899492583918813,125.76736650156477,818.5727272727272,6.7727272727272725,374.025768425502,0.0,0.0,0.0,507.0,515.0,103.0,20.0,1498409.6666666665,780154.1867025921,2742072.0,428111.0,1164848.2863247863,670429.9612449267,2570297.5,213231.0,,,
1690925297,,,6.0,90795332.0,109.0,108.0,20345.0,7128.0,238.0,134.0,186.44948979591837,41.01043164969059,66.0,66.0,66.0,0.0,302.7568807431671,2.391282304015023,424974.6898553236,788597.5142038742,4224869.5,9.5,90795332.0,849949.3797106472,938039.811565188,4224890.0,38235.5,88105329.0,831894.1984463277,921268.8797677129,4158441.0,38228.5,0.0,0.0,0.0,0.0,2180.0,2160.0,1.2011481849479773,1.1901341190670456,66.0,238.0,126.50468833816115,66.92508327479517,4478.999001205799,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9907312925170069,126.50468833816115,741.2342657342657,6.090909090909091,381.55834329313836,0.0,0.0,0.0,507.0,501.0,109.0,20.0,1349617.0333333332,893911.435180282,2936610.0,278385.5,1075209.4404761905,649181.966194516,2280541.0,252300.5,,,
1690925299,,,6.0,90984958.5,74.5,73.5,13765.0,4851.0,238.0,134.0,184.79256854256857,40.81634854004329,66.0,66.0,66.0,0.0,204.60367768487242,1.6266286121399398,619656.8333951075,1480303.8411952634,13628877.5,11.5,90984958.5,1239313.666790215,1915780.259945199,13651688.5,45538.5,87813026.5,1212656.1442857143,1915395.8780767263,13651807.0,45491.0,0.0,0.0,0.0,0.0,1490.0,1470.0,0.8188097202641902,0.8078188918757498,66.0,238.0,125.79816262169204,66.08623709476107,4367.392082466053,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.986562049062049,125.79816262169204,814.3571428571429,6.809523809523809,330.0996186501741,0.0,0.0,0.0,507.0,1074.0,74.5,20.0,2963523.125,3666432.0175407827,12256258.5,367.0,1918377.2857142857,2109190.276081202,8673993.5,54356.0,,,
1690925302,,,6.0,90017600.5,94.0,93.0,17146.0,6138.0,238.0,134.0,182.40863636363636,42.293449012752134,66.0,66.0,66.0,0.0,258.6605312916435,2.0773715580146472,485988.4466213863,1019561.0341394842,7975107.5,12.0,90017600.5,971976.8932427727,1277353.6785289017,7988173.5,26180.0,87154475.0,951368.1141433318,1268919.9236337626,7988227.0,26117.5,0.0,0.0,0.0,0.0,1880.0,1860.0,1.0442402483246884,1.0331313096899593,66.0,238.0,124.51687006460875,65.49822986298011,4290.803321684827,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9893181818181818,124.51687006460875,671.7916666666666,5.791666666666667,418.55389982205025,0.0,0.0,0.0,507.0,501.0,94.0,20.0,1858850.75,1837831.2482589274,6178630.0,167450.0,1339759.5642857142,1044185.1860013257,4178058.0,177071.5,,,
1690925332,,,6.0,90567276.0,77.0,76.5,9397.75,9713.75,152.0,100.0,124.25018345257752,19.94002351007785,152.0,100.0,124.29229205753597,21.52458087638984,211.0055613804705,1.6947668126479885,596535.6427670203,1111364.2525212804,6482882.0,115.5,89609450.25,1184542.9041315438,1350007.2388041522,6510610.25,46748.0,89564078.0,1191420.388704625,1352104.5873861453,6510582.0,46736.25,0.0,0.0,0.0,0.0,1540.0,1530.0,0.8501433488868873,0.8446234637611012,66.0,238.0,124.47004532673628,65.26376283597332,4261.388408534411,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9932122546321775,124.47004532673628,307.1071428571429,2.571428571428571,219.57530274530643,290.89583333333337,2.4444444444444446,194.58321962247737,1152.5,1797.75,37.0,20.0,1714105.34237013,1413291.0068609533,4671609.75,125669.25,1394068.8815341522,1146644.5911087657,4808852.0,127372.25,,,
1690925333,,,6.0,91978351.0,86.5,85.5,16131.0,5643.0,238.0,134.0,186.4515056972328,39.67694710095261,66.0,66.0,66.0,0.0,236.72963967794294,1.87000541943326,546121.5064583333,905745.4118723681,5383032.5,317.5,91978351.0,1092243.0129166667,1043943.7123902295,5407947.0,50185.5,88304100.0,1061407.733428165,1011286.2699092148,5407916.0,50089.5,0.0,0.0,0.0,0.0,1730.0,1710.0,0.940438771513392,0.9295666479198683,66.0,238.0,126.58110009264661,66.53551098938384,4429.210278278217,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9882664134563213,126.58110009264661,644.175,5.3,364.5865309696612,0.0,0.0,0.0,507.0,515.0,86.5,20.0,1446175.2083333335,1012629.6854321167,4025967.5,368308.5,1186994.8944444444,969902.1344720069,3677464.0,68111.0,,,
1690925336,,,6.0,91108968.5,56.5,55.5,10424.0,3663.0,238.0,134.0,184.5018796992481,41.42649761900904,66.0,66.0,66.0,0.0,154.6170508595663,1.229297203513854,820868.1429383117,1582478.4017678862,9309654.0,59.0,91108968.5,1641736.2858766234,1941544.7993165753,9344221.0,69354.5,88142989.5,1617444.5661616162,1950894.0328250937,9344254.0,69171.5,0.0,0.0,0.0,0.0,1130.0,1110.0,0.6201365356917736,0.6091606678220804,66.0,238.0,125.78003667384199,66.15252570496034,4376.260164423682,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9822994987468672,125.78003667384199,629.75,5.5,394.8597201407306,0.0,0.0,0.0,507.0,1790.0,56.5,20.0,2726647.3,2218571.8020014847,7549977.5,245482.5,1839427.3333333335,2088610.1292926264,9309654.0,133822.0,,,
1690925346,,,6.0,53047172.4375,367.25,228.4375,72235.375,17702.875,469.0,66.0,185.82232839017405,123.11990534942207,137.0,66.0,76.33470428632263,8.232470734592976,1695.0944110600296,11.227140224014015,303602.6742157743,715351.425719068,5535036.0625,9.625,53047083.0625,574454.4557137958,895675.3271898018,5535036.0625,248.25,52926869.25,670446.1162766269,957949.7182253142,5560084.0625,175.375,0.0,0.0,0.0,0.0,7345.0,4568.75,6.92162796240459,4.305512261609426,66.0,469.0,140.59594325817025,108.5433444577445,11864.826112758192,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7286278510288772,140.59594325817025,0.0,0.0,0.0,0.0,0.0,0.0,64860.0,930.0,192.9375,20.0,1594969.44375,673362.7800697995,2479983.125,865124.375,1593494.4905505953,1108087.4907621122,3467906.5,524502.1875,,,
1690925348,,,6.0,69946574.3125,458.9375,286.6875,90112.5,22166.5,500.0,66.0,187.31402177162084,124.12222330963962,137.0,66.0,76.04683256231213,7.7752977124239,1604.1680250472816,10.65309624633425,309232.83137211326,738310.2042273525,6452829.875,10.625,69946481.25,582258.1318482806,926856.7771877592,6452829.875,2316.8125,69682482.4375,679504.9380571444,990465.7958855325,6480398.6875,179.4375,0.0,0.0,0.0,0.0,9178.75,5733.75,6.556845255728687,4.096250990605563,66.0,500.0,140.99565292460287,109.4209518321208,12025.386520195845,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.734271769430872,140.99565292460287,0.0,0.0,0.0,0.0,0.0,0.0,64860.0,1406.5625,240.4375,20.0,1486650.984672619,995521.9771823512,3001400.625,385137.5625,1712840.6319669914,1755736.896585607,5132335.1875,207622.0,,,
1690925350,,,6.0,71995842.84375,1449.375,1111.625,512025.25,74542.71875,1563.03125,81.71875,312.2013208998096,219.3332477838935,103.0,66.0,71.16982060248712,4.336951738268,6812.8984094326115,30.43830068014751,180079.4406265131,453495.6782377229,4903892.75,-20.21875,71989534.09375,336530.18103033525,572647.2884700131,4915615.1875,4038.96875,71903345.5625,402061.1377593763,620983.0269543846,4928100.65625,157.875,0.0,0.0,0.0,0.0,28987.5,22232.5,17.32787050825511,13.1104301718924,66.0,1563.03125,203.64345882055076,202.68512486399567,58563.96959870753,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7721742243975634,203.64345882055076,125193.6484375,400.765625,4607.519829427668,0.0,0.0,0.0,32683.5,2314.0625,1369.40625,20.0,828186.9859374999,483495.8179917268,1524895.46875,353439.90625,1145836.1151289681,965563.0811478873,2801183.3125,255881.84375,,,
1690925351,,,6.0,58209747.8125,346.875,217.375,67386.875,16788.3125,469.0,66.0,185.61355848224395,125.83207756502844,137.0,66.0,76.13582149643348,8.367669813458708,1445.553597723455,9.690030535816428,316170.9993554232,824887.5388823939,8690190.375,10.5,58209677.875,593968.3034535111,1042749.7063391709,8690190.375,6634.1875,57988350.4375,699772.5759497036,1131834.7299813272,8715170.875,178.125,0.0,0.0,0.0,0.0,6937.5,4347.5,5.956846756401625,3.7331837794148024,66.0,469.0,140.02242930994348,110.04137363284185,12174.212441938078,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7351109641260077,140.02242930994348,0.0,0.0,0.0,0.0,0.0,0.0,64860.0,921.5625,179.125,20.0,1627398.972470238,1199045.3152523283,3829786.5625,587630.25,1412656.2215277778,1568189.0215504218,4915907.6875,212796.625,,,
1690925361,,,6.0,56344685.2,307.73333333333335,195.33333333333334,59622.666666666664,15063.666666666666,462.8,66.0,184.10860632053013,123.8080447929322,137.33333333333334,66.0,76.08801095411702,8.697187851839907,1324.5134669878476,8.921782964523024,340012.77033015335,1044686.0860384179,11939860.466666667,10.666666666666666,56344586.06666667,641493.0643283186,1344307.1790788372,11939860.466666667,8848.8,56043588.733333334,749544.1046636876,1468754.2051190687,11969016.866666667,236.13333333333333,0.0,0.0,0.0,0.0,6154.666666666667,3906.6666666666665,5.4574670256312805,3.4643159388917426,66.0,462.8,139.01097664235732,108.35283671098423,11815.56224786509,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7394911776785856,139.01097664235732,0.0,0.0,0.0,0.0,0.0,0.0,64860.0,745.4666666666667,158.06666666666666,20.0,2669094.0933333333,2161411.608727778,5998159.6,778942.6,3734670.2984126983,4105775.452667582,10454952.6,425273.8,,,
1690925362,,,6.0,55698358.0,103.0,81.0,18656.0,6064.0,314.0,66.0,181.126213592233,122.27516951465604,132.0,66.0,74.8641975308642,9.06458729753108,443.8191876320663,3.303508516355186,304362.612021858,908129.8448407945,10052584.0,10.0,55698252.0,546061.2941176471,1161746.082703536,10052584.0,45.0,55698325.0,696229.0625,1297454.9384558827,10102466.0,80.0,0.0,0.0,0.0,0.0,2060.0,1620.0,1.8492466151336096,1.4542619012215765,66.0,314.0,134.34782608695653,105.7740552127206,11188.150756143668,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7864077669902912,134.34782608695653,0.0,0.0,0.0,0.0,0.0,0.0,64860.0,501.0,50.0,20.0,1880665.25,2655779.560717801,8799161.0,104871.0,1809525.8,2803124.3650956983,10052584.0,211109.0,,,
1690925372,,,6.0,45311661.75,141.1875,91.6875,26407.5,7056.375,422.5,66.0,175.62072810978782,122.49332955385493,137.0,66.0,76.38564625525137,10.475152593572586,738.50804605683,5.1392693200835975,468924.18556427304,1912046.559048958,18790073.9375,11.4375,45311588.375,879296.1159569501,2515111.732835169,18790073.9375,14019.5625,45097886.9375,1054333.3091207051,2792652.003040898,18817595.625,201.3125,0.0,0.0,0.0,0.0,2823.75,1833.75,3.1158455349598926,2.023423785123705,66.0,422.5,134.23540065470374,105.45468581676144,11223.243500863402,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7418211739122905,134.23540065470374,0.0,0.0,0.0,0.0,0.0,0.0,64860.0,501.0,70.0,20.0,3433273.984375,3403597.085127809,7591612.0625,392775.4375,5573922.01875,6461607.42100317,14778284.1875,417872.625,,,
