ops,op/s,pk/s,row/s,mean,med,.95,.99,.999,max,time,stderr,errors,gc: #,max ms,sum ms,sdv ms,type total,Src Port,Dst Port,Protocol,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Src IP,Dst IP,Label
30.0,30.0,30.0,30.0,558.4,550.0,645.4,648.5,648.5,648.5,1690925596.0,0.0,0.0,0.0,0.0,0.0,0.0,total,,,6.0,23150243.5,18.0,19.0,1311.5,3362.0,79.0,66.0,72.74761904761905,6.459435520689141,314.0,66.0,175.97619047619048,123.14843292655937,201.8764383831144,1.5982520209740263,676466.7159090908,1586078.759977533,7006243.0,17.5,23150243.5,1405548.125,2077394.82603432,7056240.5,246.0,23099663.5,1390617.576923077,2052110.0445832696,7006243.0,50047.0,0.0,0.0,0.0,0.0,360.0,380.0,0.7775283788201216,0.820723642153905,66.0,314.0,125.26858237547891,101.8740019655972,10386.567987551562,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.038095238095238,125.26858237547891,0.0,0.0,0.0,0.0,0.0,0.0,501.0,507.0,9.5,20.0,0.0,0.0,0.0,0.0,3236990.833333333,1579835.2731020972,4924419.0,1529318.0,,,
1564.6666666666667,229.66666666666663,229.66666666666663,229.66666666666663,4259.866666666667,4262.8,4492.8,4517.966666666666,4526.366666666667,4526.366666666667,1690925604.0,-0.0566133333333332,0.0,0.0,0.0,0.0,0.0,total,,,6.0,91624693.0,86.5,86.5,5709.0,15929.0,66.0,66.0,66.0,0.0,238.0,134.0,183.98483628556093,41.28465319081205,236.1352397653961,1.8879741444766245,534841.9013678173,981956.820449663,4959064.0,7.0,89592952.5,1052227.5992445056,1182989.9756527506,4980027.5,108.0,91075022.0,1069120.0087912087,1185811.197734803,4979876.0,148.0,0.0,0.0,0.0,0.0,1730.0,1730.0,0.943987072238312,0.943987072238312,66.0,238.0,124.99241814278044,65.8203462820218,4334.477206555304,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,124.99241814278044,0.0,0.0,0.0,753.5125,6.325,342.5124585068314,3095.5,507.0,0.0,20.0,1763111.611111111,1180933.5692530405,3914945.0,21221.5,1186283.9,947000.5265092128,3000669.5,48507.5,,,
1978.0,195.66666666666663,195.66666666666663,195.66666666666663,5353.366666666667,5316.966666666666,5663.666666666667,5705.666666666667,5729.433333333333,5729.433333333333,1690925606.0,-0.0431133333333333,0.0,0.0,0.0,0.0,0.0,total,,,6.0,90071557.5,71.0,71.0,4686.0,13098.5,66.0,66.0,66.0,0.0,238.0,134.0,184.37121212121207,40.37097923346653,197.45278555691613,1.576555164834638,642047.3662858298,1228396.100416778,5671138.5,39.0,89822145.0,1289580.6205128203,1504729.4738896014,5696049.0,49759.5,89722901.5,1288660.1215384617,1504598.170307329,5696032.0,49852.5,0.0,0.0,0.0,0.0,1420.0,1420.0,0.7882775824173189,0.7882775824173189,66.0,238.0,125.18560606060606,65.72533219579213,4322.320454847518,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,125.18560606060606,0.0,0.0,0.0,620.8333333333333,5.208333333333334,449.8024571555407,515.0,507.0,0.0,20.0,2632213.525,1065597.2346253328,4268109.5,1150831.5,2003732.8149038465,1315829.1773753231,4496532.5,175422.5,,,
2292.0,184.66666666666663,184.66666666666663,184.66666666666663,6756.0,6734.666666666667,7063.2,7081.400000000001,7092.566666666667,7092.566666666667,1690925608.0,-0.0362433333333333,0.0,0.0,0.0,0.0,0.0,total,,,6.0,66434088.0,60.0,59.0,4200.666666666667,35234.666666666664,202.66666666666663,66.0,76.02777777777777,28.118287950797264,4840.666666666667,111.33333333333331,1343.7499086019384,1465.66913039794,1542.6499612483838,1.947236780867652,534236.9956915244,1371310.2387247558,7878852.666666667,129.0,63856853.0,1027420.5574189096,1735616.5997819316,7902104.0,27493.666666666668,66094372.66666666,1097410.6015873016,1815423.1630244004,7901947.666666667,27457.666666666668,0.0,0.0,0.0,0.0,1200.0,1180.0,1.000097733051311,0.9471390478163408,66.0,4840.666666666667,670.2701923962073,1192.1824608091354,3959192.47860949,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9583333333333334,670.2701923962073,0.0,0.0,0.0,15208.575,6.191666666666666,2365384.593301566,22814.0,505.0,2.0,20.0,1309549.4833333334,987121.6731130298,2739085.6666666665,17533.333333333332,3282029.1222222224,2276373.322836841,6336710.0,831311.3333333334,,,
2508.0,216.0,216.0,216.0,7352.466666666667,7342.8,7604.266666666667,7639.233333333334,7650.400000000001,7650.400000000001,1690925609.0,-0.03116,0.0,0.0,0.0,0.0,0.0,total,,,6.0,21390574.5,25.75,22.75,2421.5,77012.5,450.5,66.0,94.1295695970696,78.56307185466702,14046.0,66.0,3396.165854978355,4261.842981598753,3746.2607938446495,2.284778879794973,451289.2919515632,2187020.3129561213,14988258.0,11.25,21390445.0,865643.5000060387,2968459.48551202,14988258.0,43.75,21390530.25,986825.1005434784,3152176.2117300984,14988439.5,44.5,0.0,0.0,0.0,0.0,515.0,455.0,1.2120863956023995,1.0726924841925731,66.0,14046.0,1642.681155210038,3352.856287142754,11247264.982034124,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8838049450549451,1642.681155210038,0.0,0.0,0.0,44039.5,8.5,9716735.640603002,64860.0,501.0,6.25,20.0,0.0,0.0,0.0,0.0,5706756.625,5125595.933729471,12440646.75,1529696.75,,,
3018.333333333333,172.66666666666666,172.66666666666666,172.66666666666666,9282.233333333334,9286.2,9512.7,9577.033333333333,9585.366666666669,9585.366666666669,1690925612.0,-0.0235499999999999,0.0,0.0,0.0,0.0,0.0,total,,,6.0,91315606.0,67.5,67.5,4455.0,12435.5,66.0,66.0,66.0,0.0,238.0,134.0,184.22991659350308,41.66640691887979,184.9725828982748,1.4784205039933465,681448.8049011417,1233839.5690850143,5931843.0,218.5,88646600.0,1333101.6947082768,1482680.9769509516,5966356.0,69199.5,90209208.0,1356389.6301447311,1489022.4362022574,5966334.5,69277.5,0.0,0.0,0.0,0.0,1350.0,1350.0,0.7392102519966732,0.7392102519966732,66.0,238.0,125.11495829675154,66.05032504821924,4362.654703947355,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,125.11495829675154,0.0,0.0,0.0,591.2,4.975,330.3600259514018,1790.0,507.0,0.0,20.0,2585891.083333333,1464659.400478243,4750192.5,140890.5,1618711.2307692308,1181657.2716353142,4558215.0,23728.5,,,
4519.0,155.33333333333334,155.33333333333334,155.33333333333334,15281.1,15317.6,15566.466666666667,15627.966666666667,15633.566666666668,15633.566666666668,1690925621.0,-0.0081033333333333,0.0,0.0,0.0,0.0,0.0,total,,,6.0,8291725.423076923,8.179487179487179,7.115384615384615,828.025641025641,566.2179487179487,192.1153846153846,66.0,95.64392434954398,45.68060085316901,133.53846153846155,66.0,79.51829981759131,23.0715673128813,168.55573974829815,1.8807586134890424,609212.9472952496,2061735.083768048,7971507.730769231,12.705128205128204,8273411.435897436,1221773.172336691,2788777.777900205,7971507.730769231,3312.5,8289095.0,1435960.518099493,2980040.3502314207,8001676.153846154,19697.74358974359,0.0,0.0,0.0,0.0,163.5897435897436,142.30769230769232,1.0038816241624575,0.8768769893265846,66.0,192.2948717948718,88.17626685531663,38.369851634285936,1825.484540131414,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.876629786146645,88.17626685531663,0.0,0.0,0.0,0.0,0.0,0.0,64860.0,501.8205128205128,2.58974358974359,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
4746.0,125.33333333333331,125.33333333333331,125.33333333333331,16739.100000000002,16726.9,17076.399999999998,17123.933333333334,17126.733333333334,17126.733333333334,1690925623.0,-0.0067866666666666,0.0,0.0,0.0,0.0,0.0,total,,,6.0,24913151.0,47.0,42.0,3824.0,78283.0,476.0,66.0,81.36865942028986,62.13589319526904,2862.0,66.0,1864.9007373794664,1267.9093222341317,3318.534917619012,3.590847942872999,282706.2727390181,2099751.4361495497,19714716.0,-71.5,24913029.5,540857.7321513002,2880304.350560901,19714716.0,3.0,24913113.0,606757.3708333333,3053572.305952134,19764753.0,7.0,0.0,0.0,0.0,0.0,940.0,840.0,1.896480566132674,1.694367376740325,66.0,2862.0,922.9833270178098,1246.5169788468652,1553900.3561447938,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8935688405797102,922.9833270178098,0.0,0.0,0.0,25128.166666666668,10.666666666666668,408910.3508130047,64860.0,501.0,6.0,20.0,0.0,0.0,0.0,0.0,6571572.0,7780735.493016316,17561198.0,749454.5,,,
5412.666666666667,96.66666666666669,96.66666666666669,96.66666666666669,20555.666666666668,20652.766666666663,20814.9,20831.7,20859.666666666668,20859.666666666668,1690925628.0,-0.0024766666666666,0.0,0.0,0.0,0.0,0.0,total,,,6.0,8007806.046875,20.4375,13.515625,3164.296875,1071.640625,211.5625,66.0,107.53251164614896,55.169140205396594,132.984375,66.0,79.8016931869858,21.09821475505229,693.212502002116,7.206026599213906,388446.1785293957,1256868.0517277017,5669451.21875,14.59375,8007711.28125,757799.4283165982,1664615.4854707434,5669451.21875,18745.984375,7961918.265625,928404.6530205252,1825368.9185585035,5684670.203125,4092.40625,0.0,0.0,0.0,0.0,408.75,270.3125,4.109016635532527,3.09700996368138,66.0,211.78125,96.21257650951172,47.69880786458857,3112.471327312326,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7940505348723543,96.21257650951172,0.0,0.0,0.0,0.0,0.0,0.0,64860.0,501.734375,8.84375,20.0,0.0,0.0,0.0,0.0,328901.578125,171138.09375,500039.671875,157763.484375,,,
5536.333333333333,123.66666666666669,123.66666666666669,123.66666666666669,21255.6,21290.3,21569.9,21586.666666666668,21614.666666666668,21614.666666666668,1690925629.0,-0.00189,0.0,0.0,0.0,0.0,0.0,total,,,6.0,35653541.8125,191.5625,119.5,36846.75,9265.0,438.0,66.0,178.08521761795475,121.0128226007985,137.0,66.0,76.6505361105191,9.823499185563136,1292.6484609317731,8.720318397321147,343749.6729160347,1088591.4262201071,9658626.8125,10.4375,35581410.4375,652589.7906408117,1419841.4711962936,9658626.8125,565.8125,35653498.875,767733.6305382485,1541547.9086815189,9683639.25,317.4375,0.0,0.0,0.0,0.0,3831.25,2390.0,5.370092379589383,3.350226017731765,66.0,438.0,136.44686608032873,105.27437844908653,11245.179017637363,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7317765799923079,136.44686608032873,0.0,0.0,0.0,0.0,0.0,0.0,64860.0,549.1875,98.5,20.0,962130.109375,569952.2823656473,1687712.125,461307.75,2871946.309375,2772632.1042270777,6390402.25,318980.8125,,,
