ops,op/s,pk/s,row/s,mean,med,.95,.99,.999,max,time,stderr,errors,gc: #,max ms,sum ms,sdv ms,type total
18478.882352941175,100.11764705882354,100.11764705882354,100.11764705882354,142220.96470588236,142256.72352941174,142617.4411764706,142718.1,142730.92352941178,142730.92352941178,1690928182.0,-0.2468829411764706,0.0,0.0,0.0,0.0,0.0,total
18561.823529411766,82.94117647058823,82.94117647058823,82.94117647058823,143068.99411764706,143143.19999999998,143478.2588235294,143522.42352941178,143563.62352941177,143563.62352941177,1690928183.0,-0.23436176470588235,0.0,0.0,0.0,0.0,0.0,total
18652.470588235294,90.6470588235294,90.6470588235294,90.6470588235294,144013.45294117648,144084.4588235294,144339.81176470587,144445.41176470587,144474.51764705882,144474.51764705882,1690928184.0,-0.22329000000000002,0.0,0.0,0.0,0.0,0.0,total
19688.625,90.0625,90.0625,90.0625,151774.8125,151844.83125,152080.75,152180.875,152222.83125,152222.83125,1690928185.0,-0.22048687499999997,0.0,0.0,0.0,0.0,0.0,total
19790.6875,102.0625,102.0625,102.0625,152632.1375,152722.9875,152980.4125,153041.7625,153076.8875,153076.8875,1690928186.0,-0.21296375,0.0,0.0,0.0,0.0,0.0,total
19903.625,112.9375,112.9375,112.9375,153357.69375,153413.4875,153752.7,153830.2875,153843.9125,153843.9125,1690928187.0,-0.2075625,0.0,0.0,0.0,0.0,0.0,total
20006.125,102.5,102.5,102.5,154068.33125,154075.675,154495.6125,154592.08125,154598.89375,154598.89375,1690928188.0,-0.20137125,0.0,0.0,0.0,0.0,0.0,total
20097.875,91.75,91.75,91.75,154956.1375,154949.65,155404.2,155448.25625,155491.25,155491.25,1690928189.0,-0.197324375,0.0,0.0,0.0,0.0,0.0,total
20221.3125,123.4375,123.4375,123.4375,155756.18125,155809.475,156118.275,156150.26875,156187.48124999998,156187.48124999998,1690928190.0,-0.19085687499999998,0.0,0.0,0.0,0.0,0.0,total
20313.75,92.4375,92.4375,92.4375,156588.70625,156674.55,156942.46875,156980.73750000002,156982.3125,156982.3125,1690928191.0,-0.18800812499999997,0.0,0.0,0.0,0.0,0.0,total
19655.066666666666,104.2,104.2,104.2,151703.14,151778.42666666667,152045.74000000002,152120.12666666665,152167.67333333334,152167.67333333334,1690928192.0,-0.18252466666666667,0.0,0.0,0.0,0.0,0.0,total
19753.333333333332,98.26666666666667,98.26666666666667,98.26666666666667,152535.06,152631.83333333334,152881.83333333334,152923.21333333335,152958.44,152958.44,1690928193.0,-0.1781306666666667,0.0,0.0,0.0,0.0,0.0,total
21147.285714285714,115.14285714285714,115.14285714285714,115.14285714285714,163076.57857142857,163152.42142857143,163442.44999999998,163489.18571428573,163492.7857142857,163492.7857142857,1690928194.0,-0.10460214285714285,0.0,0.0,0.0,0.0,0.0,total
21259.285714285714,112.0,112.0,112.0,163763.42142857143,163809.14285714287,164088.35714285713,164168.65714285715,164242.9642857143,164242.9642857143,1690928195.0,-0.10268428571428571,0.0,0.0,0.0,0.0,0.0,total
21370.571428571428,111.28571428571429,111.28571428571429,111.28571428571429,164628.85,164710.31428571427,164965.57857142857,164993.13571428572,165023.1,165023.1,1690928196.0,-0.10147714285714286,0.0,0.0,0.0,0.0,0.0,total
21475.428571428572,104.85714285714286,104.85714285714286,104.85714285714286,165443.85,165537.18571428573,165780.4857142857,165810.44285714286,165814.02857142856,165814.02857142856,1690928197.0,-0.09983285714285715,0.0,0.0,0.0,0.0,0.0,total
20140.0,96.26666666666667,96.26666666666667,96.26666666666667,155168.40666666668,155249.29333333333,155558.42666666667,155598.68000000002,155622.59333333332,155622.59333333332,1690928198.0,-0.13852933333333334,0.0,0.0,0.0,0.0,0.0,total
18981.1875,99.9375,99.9375,99.9375,146299.9125,146374.125,146678.35,146723.4375,146749.7125,146749.7125,1690928199.0,-0.16345062500000002,0.0,0.0,0.0,0.0,0.0,total
