type total,ops,op/s,pk/s,row/s,mean,med,.95,.99,.999,max,time,stderr,errors,gc: #,max ms,sum ms,sdv ms,mb
total,22,22,22,22,141.8,155.3,315.4,316.1,316.1,316.1,2023-12-25 17:22:09,0.70711,0,0,0,0,0,0
total,70,48,48,48,81.0,1.6,167.9,316.4,316.4,316.4,2023-12-25 17:22:10,0.48550,0,0,0,0,0,0
total,110,40,40,40,102.3,155.2,167.9,168.2,168.2,168.2,2023-12-25 17:22:11,0.33997,0,0,0,0,0,0
total,147,37,37,37,110.0,155.1,167.9,310.1,310.1,310.1,2023-12-25 17:22:12,0.26028,0,0,0,0,0,0
total,187,40,40,40,100.3,145.0,167.8,168.0,168.0,168.0,2023-12-25 17:22:13,0.21229,0,0,0,0,0,0
total,227,40,40,40,97.4,145.0,167.9,168.2,168.2,168.2,2023-12-25 17:22:14,0.17927,0,0,0,0,0,0
total,270,43,43,43,94.1,145.0,167.9,167.9,167.9,167.9,2023-12-25 17:22:15,0.15472,0,0,0,0,0,0
total,306,36,36,36,111.4,145.0,167.9,167.9,167.9,167.9,2023-12-25 17:22:16,0.13779,0,0,0,0,0,0
total,345,39,39,39,100.4,145.4,167.9,168.4,168.4,168.4,2023-12-25 17:22:17,0.12334,0,0,0,0,0,0
total,390,45,45,45,89.4,144.7,167.9,168.3,168.3,168.3,2023-12-25 17:22:18,0.11152,0,0,0,0,0,0
total,428,38,38,38,102.1,145.0,167.8,168.2,168.2,168.2,2023-12-25 17:22:19,0.10213,0,0,0,0,0,0
total,476,48,48,48,86.1,134.7,167.6,167.8,167.8,167.8,2023-12-25 17:22:20,0.09446,0,0,0,0,0,0
total,523,47,47,47,82.7,134.7,167.8,168.4,168.4,168.4,2023-12-25 17:22:21,0.08766,0,0,0,0,0,0
total,563,40,40,40,102.2,145.2,167.8,168.2,168.2,168.2,2023-12-25 17:22:22,0.08169,0,0,0,0,0,0
total,602,39,39,39,106.6,145.1,167.6,167.9,167.9,167.9,2023-12-25 17:22:23,0.07659,0,0,0,0,0,0
total,649,47,47,47,82.8,137.4,167.8,167.9,167.9,167.9,2023-12-25 17:22:24,0.07215,0,0,0,0,0,0
total,706,57,57,57,69.8,0.7,157.5,167.6,167.6,167.6,2023-12-25 17:22:25,0.07047,0,0,0,0,0,0
total,746,40,40,40,102.8,144.8,167.8,168.0,168.0,168.0,2023-12-25 17:22:26,0.06680,0,0,0,0,0,0
total,783,37,37,37,99.9,144.8,167.8,167.9,167.9,167.9,2023-12-25 17:22:27,0.06387,0,0,0,0,0,0
total,829,46,46,46,88.3,144.7,167.6,167.9,167.9,167.9,2023-12-25 17:22:28,0.06078,0,0,0,0,0,0
total,880,51,51,51,80.1,134.7,167.6,167.8,167.9,167.9,2023-12-25 17:22:29,0.05845,0,0,0,0,0,0
total,927,47,47,47,85.6,134.7,167.5,167.6,167.6,167.6,2023-12-25 17:22:30,0.05589,0,0,0,0,0,0
total,967,40,40,40,102.2,154.9,167.6,167.8,167.8,167.8,2023-12-25 17:22:31,0.05365,0,0,0,0,0,0
total,1011,44,44,44,90.1,145.0,167.8,167.8,167.8,167.8,2023-12-25 17:22:32,0.05143,0,0,0,0,0,0
total,1052,41,41,41,97.7,144.8,167.6,167.8,167.8,167.8,2023-12-25 17:22:33,0.04947,0,0,0,0,0,0
total,1100,48,48,48,83.2,134.6,167.6,167.6,167.6,167.6,2023-12-25 17:22:34,0.04771,0,0,0,0,0,0
total,1140,40,40,40,98.0,144.8,167.6,167.8,167.8,167.8,2023-12-25 17:22:35,0.04609,0,0,0,0,0,0
total,1187,47,47,47,85.7,144.6,167.5,167.6,167.6,167.6,2023-12-25 17:22:36,0.04452,0,0,0,0,0,0
total,1225,38,38,38,102.0,144.8,167.6,167.8,167.8,167.8,2023-12-25 17:22:37,0.04327,0,0,0,0,0,0
total,1263,38,38,38,106.3,145.4,167.6,167.6,167.6,167.6,2023-12-25 17:22:38,0.04208,0,0,0,0,0,0
total,1303,40,40,40,103.5,144.7,167.5,167.6,167.6,167.6,2023-12-25 17:22:39,0.04082,0,0,0,0,0,0
total,1351,48,48,48,81.9,134.7,167.5,168.4,168.4,168.4,2023-12-25 17:22:40,0.03968,0,0,0,0,0,0
total,1392,41,41,41,99.1,145.0,167.5,167.5,167.5,167.5,2023-12-25 17:22:41,0.03853,0,0,0,0,0,0
total,1438,46,46,46,87.7,144.6,167.6,167.6,167.6,167.6,2023-12-25 17:22:42,0.03744,0,0,0,0,0,0
total,1477,39,39,39,98.6,144.7,167.6,167.8,167.8,167.8,2023-12-25 17:22:43,0.03651,0,0,0,0,0,0
total,1523,46,46,46,88.7,144.7,167.5,167.6,167.6,167.6,2023-12-25 17:22:44,0.03553,0,0,0,0,0,0
total,1561,38,38,38,106.1,145.0,167.6,170.9,170.9,170.9,2023-12-25 17:22:45,0.03475,0,0,0,0,0,0
total,1605,44,44,44,88.7,144.6,167.5,167.6,167.6,167.6,2023-12-25 17:22:46,0.03384,0,0,0,0,0,0
total,1640,35,35,35,114.9,155.1,167.6,167.6,167.6,167.6,2023-12-25 17:22:47,0.03337,0,0,0,0,0,0
total,1681,41,41,41,98.1,144.7,167.5,167.6,167.6,167.6,2023-12-25 17:22:48,0.03257,0,0,0,0,0,0
total,1721,40,40,40,101.5,144.7,167.5,167.6,167.6,167.6,2023-12-25 17:22:49,0.03183,0,0,0,0,0,0
total,1768,47,47,47,80.6,144.7,168.3,170.7,170.7,170.7,2023-12-25 17:22:50,0.03115,0,0,0,0,0,0
total,1822,54,54,54,78.7,6.4,167.6,167.8,167.8,167.8,2023-12-25 17:22:51,0.03095,0,0,0,0,0,0
total,1860,38,38,38,101.8,145.9,167.6,167.6,167.6,167.6,2023-12-25 17:22:52,0.03040,0,0,0,0,0,0
total,1901,41,41,41,98.6,145.0,167.6,167.8,167.8,167.8,2023-12-25 17:22:53,0.02975,0,0,0,0,0,0
total,1942,41,41,41,98.7,144.8,167.6,169.7,169.7,169.7,2023-12-25 17:22:54,0.02913,0,0,0,0,0,0
total,1981,39,39,39,95.6,144.8,167.5,167.8,167.8,167.8,2023-12-25 17:22:55,0.02860,0,0,0,0,0,0
total,2022,41,41,41,105.0,144.8,167.6,167.8,167.8,167.8,2023-12-25 17:22:56,0.02803,0,0,0,0,0,0
total,2059,37,37,37,103.9,144.8,167.6,169.0,169.0,169.0,2023-12-25 17:22:57,0.02762,0,0,0,0,0,0
total,2104,45,45,45,93.1,144.7,167.5,167.6,167.6,167.6,2023-12-25 17:22:58,0.02708,0,0,0,0,0,0
total,2138,34,34,34,113.8,154.9,167.5,167.8,167.8,167.8,2023-12-25 17:22:59,0.02689,0,0,0,0,0,0
total,2184,46,46,46,88.2,134.5,167.5,167.9,167.9,167.9,2023-12-25 17:23:00,0.02640,0,0,0,0,0,0
total,2227,43,43,43,89.8,144.7,167.5,167.5,167.5,167.5,2023-12-25 17:23:01,0.02591,0,0,0,0,0,0
total,2281,54,54,54,79.0,5.5,167.5,167.8,167.8,167.8,2023-12-25 17:23:02,0.02585,0,0,0,0,0,0
total,2326,45,45,45,87.1,144.6,167.5,167.6,167.6,167.6,2023-12-25 17:23:03,0.02539,0,0,0,0,0,0
total,2359,33,33,33,117.8,154.9,167.6,167.6,167.6,167.6,2023-12-25 17:23:04,0.02531,0,0,0,0,0,0
total,2394,35,35,35,114.5,154.9,167.5,167.6,167.6,167.6,2023-12-25 17:23:05,0.02510,0,0,0,0,0,0
total,2437,43,43,43,89.4,144.4,167.5,169.3,169.3,169.3,2023-12-25 17:23:06,0.02467,0,0,0,0,0,0
total,2485,48,48,48,87.2,144.4,167.6,170.4,170.4,170.4,2023-12-25 17:23:07,0.02433,0,0,0,0,0,0
total,2529,44,44,44,87.6,134.5,167.5,167.6,167.6,167.6,2023-12-25 17:23:08,0.02392,0,0,0,0,0,0
total,2577,48,48,48,84.1,144.6,167.5,170.4,170.4,170.4,2023-12-25 17:23:09,0.02360,0,0,0,0,0,0
total,2624,47,47,47,86.0,144.6,167.5,167.8,167.8,167.8,2023-12-25 17:23:10,0.02326,0,0,0,0,0,0
total,2669,45,45,45,91.4,144.8,167.6,167.6,167.6,167.6,2023-12-25 17:23:11,0.02290,0,0,0,0,0,0
total,2699,30,30,30,123.8,154.9,167.6,167.6,167.6,167.6,2023-12-25 17:23:12,0.02307,0,0,0,0,0,0
total,2756,57,57,57,76.9,8.0,167.4,167.5,167.5,167.5,2023-12-25 17:23:13,0.02323,0,0,0,0,0,0
total,2801,45,45,45,82.4,135.3,167.4,167.5,167.5,167.5,2023-12-25 17:23:14,0.02288,0,0,0,0,0,0
total,2841,40,40,40,101.5,145.2,167.5,167.5,167.5,167.5,2023-12-25 17:23:15,0.02258,0,0,0,0,0,0
total,2881,40,40,40,99.3,144.6,167.5,167.5,167.5,167.5,2023-12-25 17:23:16,0.02228,0,0,0,0,0,0
total,2927,46,46,46,91.2,144.6,167.5,170.5,170.5,170.5,2023-12-25 17:23:17,0.02197,0,0,0,0,0,0
total,2968,41,41,41,92.2,145.0,167.5,167.8,167.8,167.8,2023-12-25 17:23:18,0.02167,0,0,0,0,0,0
total,3017,49,49,49,84.7,134.7,167.5,167.5,167.5,167.5,2023-12-25 17:23:19,0.02144,0,0,0,0,0,0
total,3057,40,40,40,97.8,144.8,167.5,167.5,167.5,167.5,2023-12-25 17:23:20,0.02118,0,0,0,0,0,0
total,3097,40,40,40,98.4,144.8,167.6,167.8,167.8,167.8,2023-12-25 17:23:21,0.02092,0,0,0,0,0,0
total,3134,37,37,37,112.9,154.7,167.5,167.6,167.6,167.6,2023-12-25 17:23:22,0.02074,0,0,0,0,0,0
total,3171,37,37,37,104.7,144.7,167.5,167.6,167.6,167.6,2023-12-25 17:23:23,0.02056,0,0,0,0,0,0
total,3210,39,39,39,102.3,144.6,167.4,167.5,167.5,167.5,2023-12-25 17:23:24,0.02033,0,0,0,0,0,0
total,3251,41,41,41,94.9,144.6,167.5,167.6,167.6,167.6,2023-12-25 17:23:25,0.02008,0,0,0,0,0,0
total,3295,44,44,44,97.5,144.6,167.6,167.6,167.6,167.6,2023-12-25 17:23:26,0.01982,0,0,0,0,0,0
total,3333,38,38,38,98.4,144.7,167.5,168.4,168.4,168.4,2023-12-25 17:23:27,0.01963,0,0,0,0,0,0
total,3371,38,38,38,108.0,157.2,167.5,167.5,167.5,167.5,2023-12-25 17:23:28,0.01945,0,0,0,0,0,0
total,3415,44,44,44,92.1,144.6,167.5,167.5,167.5,167.5,2023-12-25 17:23:29,0.01921,0,0,0,0,0,0
total,3458,43,43,43,90.9,144.7,167.4,167.8,167.8,167.8,2023-12-25 17:23:30,0.01897,0,0,0,0,0,0
