type total,ops,op/s,pk/s,row/s,mean,med,.95,.99,.999,max,time,stderr,errors,gc: #,max ms,sum ms,sdv ms,mb
total,5,5,5,5,2.4,0.9,4.7,4.7,4.7,4.7,2023-12-25 17:51:58,0.00000,0,0,0,0,0,0
total,43,38,38,38,109.9,135.5,315.4,336.3,336.3,336.3,2023-12-25 17:51:59,0.59304,0,0,0,0,0,0
total,80,37,37,37,105.3,135.0,269.5,310.1,310.1,310.1,2023-12-25 17:52:00,0.35586,0,0,0,0,0,0
total,116,36,36,36,109.5,134.9,168.0,168.3,168.3,168.3,2023-12-25 17:52:01,0.26033,0,0,0,0,0,0
total,150,34,34,34,124.4,155.3,168.2,169.2,169.2,169.2,2023-12-25 17:52:02,0.20716,0,0,0,0,0,0
total,185,35,35,35,106.9,135.4,168.3,169.7,169.7,169.7,2023-12-25 17:52:03,0.17130,0,0,0,0,0,0
total,222,37,37,37,110.1,155.2,168.0,168.3,168.3,168.3,2023-12-25 17:52:04,0.14533,0,0,0,0,0,0
total,264,42,42,42,94.4,134.9,168.0,169.0,169.0,169.0,2023-12-25 17:52:05,0.12638,0,0,0,0,0,0
total,309,45,45,45,91.7,134.7,167.9,168.0,168.0,168.0,2023-12-25 17:52:06,0.11264,0,0,0,0,0,0
total,342,33,33,33,116.4,135.1,168.0,168.4,168.4,168.4,2023-12-25 17:52:07,0.10261,0,0,0,0,0,0
total,374,32,32,32,125.1,134.9,167.8,167.9,167.9,167.9,2023-12-25 17:52:08,0.09468,0,0,0,0,0,0
total,422,48,48,48,87.9,134.7,167.9,172.9,172.9,172.9,2023-12-25 17:52:09,0.08875,0,0,0,0,0,0
total,463,41,41,41,91.6,134.7,170.3,172.4,172.4,172.4,2023-12-25 17:52:10,0.08166,0,0,0,0,0,0
total,505,42,42,42,98.0,137.6,167.8,167.9,167.9,167.9,2023-12-25 17:52:11,0.07567,0,0,0,0,0,0
total,545,40,40,40,100.7,134.7,167.9,168.0,168.0,168.0,2023-12-25 17:52:12,0.07044,0,0,0,0,0,0
total,581,36,36,36,110.1,134.7,167.8,167.8,167.8,167.8,2023-12-25 17:52:13,0.06624,0,0,0,0,0,0
total,629,48,48,48,86.1,134.6,167.8,171.8,171.8,171.8,2023-12-25 17:52:14,0.06342,0,0,0,0,0,0
total,678,49,49,49,81.5,134.5,167.6,167.8,167.8,167.8,2023-12-25 17:52:15,0.06091,0,0,0,0,0,0
total,721,43,43,43,90.0,134.6,167.6,167.6,167.6,167.6,2023-12-25 17:52:16,0.05765,0,0,0,0,0,0
total,763,42,42,42,97.5,134.7,167.8,167.8,167.8,167.8,2023-12-25 17:52:17,0.05469,0,0,0,0,0,0
total,794,31,31,31,122.9,157.4,167.8,169.7,169.7,169.7,2023-12-25 17:52:18,0.05346,0,0,0,0,0,0
total,839,45,45,45,89.2,134.6,167.6,167.9,167.9,167.9,2023-12-25 17:52:19,0.05117,0,0,0,0,0,0
total,881,42,42,42,97.3,134.7,167.6,167.8,167.8,167.8,2023-12-25 17:52:20,0.04889,0,0,0,0,0,0
total,922,41,41,41,96.6,134.6,167.8,168.0,168.0,168.0,2023-12-25 17:52:21,0.04680,0,0,0,0,0,0
total,972,50,50,50,82.5,134.3,167.6,167.8,167.8,167.8,2023-12-25 17:52:22,0.04572,0,0,0,0,0,0
total,1019,47,47,47,82.7,134.3,167.6,168.3,168.3,168.3,2023-12-25 17:52:23,0.04421,0,0,0,0,0,0
total,1055,36,36,36,108.0,134.9,167.8,169.2,169.2,169.2,2023-12-25 17:52:24,0.04286,0,0,0,0,0,0
total,1097,42,42,42,98.1,134.6,167.8,185.7,185.7,185.7,2023-12-25 17:52:25,0.04131,0,0,0,0,0,0
total,1140,43,43,43,93.7,134.6,167.6,180.9,180.9,180.9,2023-12-25 17:52:26,0.03988,0,0,0,0,0,0
