type total,ops,op/s,pk/s,row/s,mean,med,.95,.99,.999,max,time,stderr,errors,gc: #,max ms,sum ms,sdv ms,mb
total,27,27,27,27,75.4,1.5,290.5,315.1,315.1,315.1,2023-12-25 17:27:10,0.70711,0,0,0,0,0,0
total,64,37,37,37,111.9,145.2,168.4,356.3,356.3,356.3,2023-12-25 17:27:11,0.42898,0,0,0,0,0,0
total,106,42,42,42,92.0,145.0,168.0,168.2,168.2,168.2,2023-12-25 17:27:12,0.30160,0,0,0,0,0,0
total,154,48,48,48,87.6,145.0,168.0,269.5,269.5,269.5,2023-12-25 17:27:13,0.24122,0,0,0,0,0,0
total,190,36,36,36,108.7,145.1,168.0,172.0,172.0,172.0,2023-12-25 17:27:14,0.20037,0,0,0,0,0,0
total,229,39,39,39,100.7,145.1,168.0,178.1,178.1,178.1,2023-12-25 17:27:15,0.16970,0,0,0,0,0,0
total,267,38,38,38,108.7,145.1,167.9,178.0,178.0,178.0,2023-12-25 17:27:16,0.14749,0,0,0,0,0,0
total,304,37,37,37,107.3,145.1,168.2,178.1,178.1,178.1,2023-12-25 17:27:17,0.13073,0,0,0,0,0,0
total,355,51,51,51,76.4,3.6,167.9,177.9,178.0,178.0,2023-12-25 17:27:18,0.11908,0,0,0,0,0,0
total,402,47,47,47,87.6,145.0,168.0,178.1,178.1,178.1,2023-12-25 17:27:19,0.10795,0,0,0,0,0,0
total,445,43,43,43,95.6,145.0,169.6,178.0,178.0,178.0,2023-12-25 17:27:20,0.09844,0,0,0,0,0,0
total,477,32,32,32,118.4,145.0,167.9,178.1,178.1,178.1,2023-12-25 17:27:21,0.09304,0,0,0,0,0,0
total,526,49,49,49,80.1,144.7,167.8,178.0,178.0,178.0,2023-12-25 17:27:22,0.08678,0,0,0,0,0,0
total,568,42,42,42,96.3,144.8,169.7,178.1,178.1,178.1,2023-12-25 17:27:23,0.08073,0,0,0,0,0,0
total,608,40,40,40,100.6,144.8,167.8,167.9,167.9,167.9,2023-12-25 17:27:24,0.07566,0,0,0,0,0,0
total,642,34,34,34,115.6,145.1,169.0,177.9,177.9,177.9,2023-12-25 17:27:25,0.07219,0,0,0,0,0,0
total,692,50,50,50,83.9,144.6,167.9,178.0,178.0,178.0,2023-12-25 17:27:26,0.06879,0,0,0,0,0,0
total,729,37,37,37,102.1,144.8,167.6,178.0,178.0,178.0,2023-12-25 17:27:27,0.06548,0,0,0,0,0,0
total,766,37,37,37,111.2,144.8,167.8,178.0,178.0,178.0,2023-12-25 17:27:28,0.06247,0,0,0,0,0,0
total,796,30,30,30,133.4,157.5,178.3,179.4,179.4,179.4,2023-12-25 17:27:29,0.06119,0,0,0,0,0,0
total,836,40,40,40,98.8,144.7,167.8,177.7,177.7,177.7,2023-12-25 17:27:30,0.05834,0,0,0,0,0,0
total,872,36,36,36,114.2,144.8,177.7,178.0,178.0,178.0,2023-12-25 17:27:31,0.05608,0,0,0,0,0,0
total,909,37,37,37,106.2,144.8,167.6,167.8,167.8,167.8,2023-12-25 17:27:32,0.05393,0,0,0,0,0,0
