type total,ops,op/s,pk/s,row/s,mean,med,.95,.99,.999,max,time,stderr,errors,gc: #,max ms,sum ms,sdv ms,mb
total,22,22,22,22,146.3,138.7,335.5,336.3,336.3,336.3,2023-12-25 17:30:58,0.70711,0,0,0,0,0,0
total,65,43,43,43,94.2,134.9,168.2,168.7,168.7,168.7,2023-12-25 17:30:59,0.43660,0,0,0,0,0,0
total,105,40,40,40,101.9,134.9,168.0,168.7,168.7,168.7,2023-12-25 17:31:00,0.30709,0,0,0,0,0,0
total,150,45,45,45,86.4,134.6,167.9,168.0,168.0,168.0,2023-12-25 17:31:01,0.23997,0,0,0,0,0,0
total,193,43,43,43,95.8,135.0,167.9,167.9,167.9,167.9,2023-12-25 17:31:02,0.19578,0,0,0,0,0,0
total,231,38,38,38,106.0,135.1,167.9,168.0,168.0,168.0,2023-12-25 17:31:03,0.16545,0,0,0,0,0,0
total,276,45,45,45,87.6,134.6,167.9,269.2,269.2,269.2,2023-12-25 17:31:04,0.14732,0,0,0,0,0,0
total,316,40,40,40,98.7,134.9,167.9,167.9,167.9,167.9,2023-12-25 17:31:05,0.12986,0,0,0,0,0,0
total,368,52,52,52,76.6,0.8,167.8,167.8,168.0,168.0,2023-12-25 17:31:06,0.11864,0,0,0,0,0,0
total,408,40,40,40,99.5,144.7,167.9,168.0,168.0,168.0,2023-12-25 17:31:07,0.10743,0,0,0,0,0,0
total,451,43,43,43,93.4,134.5,167.6,168.0,168.0,168.0,2023-12-25 17:31:08,0.09797,0,0,0,0,0,0
total,497,46,46,46,89.8,134.6,167.8,167.8,167.8,167.8,2023-12-25 17:31:09,0.09020,0,0,0,0,0,0
total,549,52,52,52,76.0,1.0,167.8,167.9,168.2,168.2,2023-12-25 17:31:10,0.08477,0,0,0,0,0,0
total,589,40,40,40,104.1,145.0,167.6,167.6,167.6,167.6,2023-12-25 17:31:11,0.07913,0,0,0,0,0,0
total,638,49,49,49,74.7,0.8,167.6,167.9,167.9,167.9,2023-12-25 17:31:12,0.07437,0,0,0,0,0,0
total,683,45,45,45,94.5,134.6,167.8,168.0,168.0,168.0,2023-12-25 17:31:13,0.06982,0,0,0,0,0,0
total,716,33,33,33,117.1,144.8,167.6,167.8,167.8,167.8,2023-12-25 17:31:14,0.06748,0,0,0,0,0,0
total,766,50,50,50,83.6,134.5,167.6,167.6,167.6,167.6,2023-12-25 17:31:15,0.06426,0,0,0,0,0,0
