type total,ops,op/s,pk/s,row/s,mean,med,.95,.99,.999,max,time,stderr,errors,gc: #,max ms,sum ms,sdv ms,mb
total,70,70,70,70,921.4,947.4,1259.3,1268.8,1268.8,1268.8,2023-12-25 10:16:51,-0.70711,0,0,0,0,0,0
total,173,103,103,103,1655.2,1652.6,2004.9,2047.9,2055.2,2055.2,2023-12-25 10:16:52,-0.51968,0,0,0,0,0,0
total,270,97,97,97,2499.2,2514.5,2816.5,2868.9,2881.5,2881.5,2023-12-25 10:16:53,-0.47635,0,0,0,0,0,0
total,364,94,94,94,3275.9,3284.1,3644.9,3653.2,3678.4,3678.4,2023-12-25 10:16:54,-0.45917,0,0,0,0,0,0
total,474,110,110,110,4103.8,4123.0,4399.8,4454.4,4471.1,4471.1,2023-12-25 10:16:55,-0.44244,0,0,0,0,0,0
total,581,107,107,107,4902.6,4970.3,5217.7,5251.3,5272.2,5272.2,2023-12-25 10:16:56,-0.43215,0,0,0,0,0,0
total,693,112,112,112,5634.1,5645.5,5985.3,6018.8,6027.2,6027.2,2023-12-25 10:16:57,-0.42306,0,0,0,0,0,0
total,814,121,121,121,6386.0,6375.3,6710.9,6752.8,6761.2,6761.2,2023-12-25 10:16:58,-0.41396,0,0,0,0,0,0
total,917,103,103,103,7158.0,7155.5,7541.4,7562.3,7570.7,7570.7,2023-12-25 10:16:59,-0.40948,0,0,0,0,0,0
total,1029,112,112,112,7962.0,7944.0,8292.1,8334.1,8346.7,8346.7,2023-12-25 10:17:00,-0.40432,0,0,0,0,0,0
total,1129,100,100,100,8763.4,8766.1,9118.4,9135.2,9160.4,9160.4,2023-12-25 10:17:01,-0.40124,0,0,0,0,0,0
total,1227,98,98,98,9567.4,9579.8,9873.4,9948.9,9957.3,9957.3,2023-12-25 10:17:02,-0.39861,0,0,0,0,0,0
total,1336,109,109,109,10317.1,10318.0,10687.1,10712.3,10729.0,10729.0,2023-12-25 10:17:03,-0.39515,0,0,0,0,0,0
total,1440,104,104,104,11133.1,11131.7,11492.4,11534.3,11534.3,11534.3,2023-12-25 10:17:04,-0.39238,0,0,0,0,0,0
total,1548,108,108,108,11940.5,11920.2,12280.9,12314.5,12322.9,12322.9,2023-12-25 10:17:05,-0.38952,0,0,0,0,0,0
total,1658,110,110,110,12674.7,12683.6,13044.3,13069.5,13077.8,13077.8,2023-12-25 10:17:06,-0.38670,0,0,0,0,0,0
total,1762,104,104,104,13506.4,13530.8,13849.6,13891.5,13899.9,13899.9,2023-12-25 10:17:07,-0.38445,0,0,0,0,0,0
total,1867,105,105,105,14284.3,14285.8,14613.0,14671.7,14680.1,14680.1,2023-12-25 10:17:08,-0.38225,0,0,0,0,0,0
total,1969,102,102,102,15045.6,15015.6,15426.7,15460.2,15468.6,15468.6,2023-12-25 10:17:09,-0.38033,0,0,0,0,0,0
total,2073,104,104,104,15873.5,15879.6,16206.8,16257.1,16265.5,16265.5,2023-12-25 10:17:10,-0.37840,0,0,0,0,0,0
total,2182,109,109,109,16658.4,16701.7,16986.9,17054.0,17054.0,17054.0,2023-12-25 10:17:11,-0.37634,0,0,0,0,0,0
total,2291,109,109,109,17457.3,17481.9,17800.6,17834.2,17834.2,17834.2,2023-12-25 10:17:12,-0.37438,0,0,0,0,0,0
total,2406,115,115,115,18188.9,18169.7,18522.0,18555.6,18572.4,18572.4,2023-12-25 10:17:13,-0.37227,0,0,0,0,0,0
total,2508,102,102,102,18970.4,18991.8,19377.7,19394.5,19411.2,19411.2,2023-12-25 10:17:14,-0.37074,0,0,0,0,0,0
total,2610,102,102,102,19760.3,19746.8,20115.9,20166.2,20166.2,20166.2,2023-12-25 10:17:15,-0.36925,0,0,0,0,0,0
total,2712,102,102,102,20576.1,20585.6,20938.0,20988.3,21005.1,21005.1,2023-12-25 10:17:16,-0.36783,0,0,0,0,0,0
total,2811,99,99,99,21431.9,21441.3,21776.8,21793.6,21810.4,21810.4,2023-12-25 10:17:17,-0.36656,0,0,0,0,0,0
total,2911,100,100,100,22176.6,22162.7,22565.4,22598.9,22598.9,22598.9,2023-12-25 10:17:18,-0.36529,0,0,0,0,0,0
total,2997,86,86,86,23014.8,23018.3,23370.7,23404.2,23421.0,23421.0,2023-12-25 10:17:19,-0.36445,0,0,0,0,0,0
total,3131,134,134,134,23796.0,23806.9,24108.9,24159.2,24176.0,24176.0,2023-12-25 10:17:20,-0.36238,0,0,0,0,0,0
total,3231,100,100,100,24542.4,24528.3,24930.9,24947.7,24964.5,24964.5,2023-12-25 10:17:21,-0.36123,0,0,0,0,0,0
total,3326,95,95,95,25391.4,25434.3,25736.2,25769.8,25769.8,25769.8,2023-12-25 10:17:22,-0.36023,0,0,0,0,0,0
total,3411,85,85,85,26154.2,26122.1,26524.8,26575.1,26591.9,26591.9,2023-12-25 10:17:23,-0.35949,0,0,0,0,0,0
total,3524,113,113,113,26955.3,26961.0,27313.3,27346.9,27346.9,27346.9,2023-12-25 10:17:24,-0.35815,0,0,0,0,0,0
total,3638,114,114,114,27722.4,27716.0,28101.8,28135.4,28135.4,28135.4,2023-12-25 10:17:25,-0.35683,0,0,0,0,0,0
total,3752,114,114,114,28522.4,28504.5,28873.6,28923.9,28940.7,28940.7,2023-12-25 10:17:26,-0.35555,0,0,0,0,0,0
total,3862,110,110,110,29322.8,29376.9,29645.3,29678.9,29695.7,29695.7,2023-12-25 10:17:27,-0.35439,0,0,0,0,0,0
total,3966,104,104,104,30064.8,30098.3,30433.9,30467.4,30484.2,30484.2,2023-12-25 10:17:28,-0.35337,0,0,0,0,0,0
total,4065,99,99,99,30901.5,30920.4,31272.7,31289.5,31289.5,31289.5,2023-12-25 10:17:29,-0.35247,0,0,0,0,0,0
total,4163,98,98,98,31725.4,31759.3,32044.5,32094.8,32094.8,32094.8,2023-12-25 10:17:30,-0.35161,0,0,0,0,0,0
total,4281,118,118,118,32447.6,32447.1,32765.9,32816.2,32816.2,32816.2,2023-12-25 10:17:31,-0.35043,0,0,0,0,0,0
total,4377,96,96,96,33228.7,33218.9,33621.5,33638.3,33638.3,33638.3,2023-12-25 10:17:32,-0.34963,0,0,0,0,0,0
total,4469,92,92,92,34073.4,34108.1,34426.8,34494.0,34494.0,34494.0,2023-12-25 10:17:33,-0.34893,0,0,0,0,0,0
total,4570,101,101,101,34857.6,34863.1,35232.2,35299.3,35299.3,35299.3,2023-12-25 10:17:34,-0.34809,0,0,0,0,0,0
total,4679,109,109,109,35704.2,35735.5,36037.5,36104.6,36104.6,36104.6,2023-12-25 10:17:35,-0.34717,0,0,0,0,0,0
total,4783,104,104,104,36473.3,36507.2,36842.8,36876.3,36876.3,36876.3,2023-12-25 10:17:36,-0.34633,0,0,0,0,0,0
total,4889,106,106,106,37253.3,37279.0,37614.5,37648.1,37648.1,37648.1,2023-12-25 10:17:37,-0.34548,0,0,0,0,0,0
total,4996,107,107,107,37993.5,37983.6,38352.7,38419.8,38453.4,38453.4,2023-12-25 10:17:38,-0.34464,0,0,0,0,0,0
total,5097,101,101,101,38803.7,38788.9,39191.6,39225.1,39225.1,39225.1,2023-12-25 10:17:39,-0.34390,0,0,0,0,0,0
total,5206,109,109,109,39599.3,39627.8,39929.8,39996.9,39996.9,39996.9,2023-12-25 10:17:40,-0.34306,0,0,0,0,0,0
total,5315,109,109,109,40358.4,40366.0,40768.6,40768.6,40768.6,40768.6,2023-12-25 10:17:41,-0.34225,0,0,0,0,0,0
total,5414,99,99,99,41203.0,41238.4,41540.4,41573.9,41607.5,41607.5,2023-12-25 10:17:42,-0.34157,0,0,0,0,0,0
total,5523,109,109,109,41998.6,42043.7,42312.1,42379.2,42379.2,42379.2,2023-12-25 10:17:43,-0.34079,0,0,0,0,0,0
total,5635,112,112,112,42708.5,42681.2,43050.3,43151.0,43151.0,43151.0,2023-12-25 10:17:44,-0.33999,0,0,0,0,0,0
total,5731,96,96,96,43536.2,43553.7,43922.8,43956.3,43956.3,43956.3,2023-12-25 10:17:45,-0.33938,0,0,0,0,0,0
total,5851,120,120,120,44353.4,44392.5,44660.9,44728.1,44728.1,44728.1,2023-12-25 10:17:46,-0.33853,0,0,0,0,0,0
total,5970,119,119,119,45073.6,45063.6,45432.7,45499.8,45499.8,45499.8,2023-12-25 10:17:47,-0.33770,0,0,0,0,0,0
total,6085,115,115,115,45891.5,45936.0,46238.0,46238.0,46271.6,46271.6,2023-12-25 10:17:48,-0.33693,0,0,0,0,0,0
total,6201,116,116,116,46580.8,46573.6,46942.7,47009.8,47009.8,47009.8,2023-12-25 10:17:49,-0.33617,0,0,0,0,0,0
total,6288,87,87,87,47401.0,47412.4,47781.5,47815.1,47815.1,47815.1,2023-12-25 10:17:50,-0.33570,0,0,0,0,0,0
total,6382,94,94,94,48220.2,48217.7,48586.8,48620.4,48653.9,48653.9,2023-12-25 10:17:51,-0.33518,0,0,0,0,0,0
total,6483,101,101,101,49032.2,49056.6,49425.7,49459.2,49459.2,49459.2,2023-12-25 10:17:52,-0.33459,0,0,0,0,0,0
total,6579,96,96,96,49873.8,49895.4,50197.4,50264.5,50298.1,50298.1,2023-12-25 10:17:53,-0.33407,0,0,0,0,0,0
total,6689,110,110,110,50662.0,50667.2,51036.3,51069.8,51069.8,51069.8,2023-12-25 10:17:54,-0.33342,0,0,0,0,0,0
total,6796,107,107,107,51459.8,51472.5,51774.5,51808.0,51841.6,51841.6,2023-12-25 10:17:55,-0.33281,0,0,0,0,0,0
total,6906,110,110,110,52252.8,52277.8,52579.8,52646.9,52646.9,52646.9,2023-12-25 10:17:56,-0.33219,0,0,0,0,0,0
total,7032,126,126,126,52975.8,52948.9,53351.5,53351.5,53385.1,53385.1,2023-12-25 10:17:57,-0.33144,0,0,0,0,0,0
total,7141,109,109,109,53721.4,53720.6,54089.7,54123.3,54156.9,54156.9,2023-12-25 10:17:58,-0.33085,0,0,0,0,0,0
total,7239,98,98,98,54492.1,54526.0,54861.5,54928.6,54928.6,54928.6,2023-12-25 10:17:59,-0.33035,0,0,0,0,0,0
total,7346,107,107,107,55361.2,55364.8,55733.9,55733.9,55767.5,55767.5,2023-12-25 10:18:00,-0.32979,0,0,0,0,0,0
total,7454,108,108,108,56114.5,56136.6,56472.1,56505.7,56505.7,56505.7,2023-12-25 10:18:01,-0.32923,0,0,0,0,0,0
total,7565,111,111,111,56833.5,56841.2,57243.9,57277.4,57277.4,57277.4,2023-12-25 10:18:02,-0.32866,0,0,0,0,0,0
total,7673,108,108,108,57691.3,57713.6,58049.2,58082.7,58082.7,58082.7,2023-12-25 10:18:03,-0.32811,0,0,0,0,0,0
total,7782,109,109,109,58445.8,58451.8,58820.9,58854.5,58854.5,58854.5,2023-12-25 10:18:04,-0.32757,0,0,0,0,0,0
total,7885,103,103,103,59258.3,59290.7,59626.2,59659.8,59659.8,59659.8,2023-12-25 10:18:05,-0.32708,0,0,0,0,0,0
total,8002,117,117,117,60011.5,60028.9,60398.0,60431.5,60431.5,60431.5,2023-12-25 10:18:06,-0.32650,0,0,0,0,0,0
total,8091,89,89,89,60819.3,60834.2,61169.7,61203.3,61236.8,61236.8,2023-12-25 10:18:07,-0.32612,0,0,0,0,0,0
total,8197,106,106,106,61617.0,61572.4,62008.6,62042.1,62042.1,62042.1,2023-12-25 10:18:08,-0.32563,0,0,0,0,0,0
total,8294,97,97,97,62415.6,62478.4,62780.3,62847.5,62847.5,62847.5,2023-12-25 10:18:09,-0.32521,0,0,0,0,0,0
total,8385,91,91,91,63232.2,63250.1,63585.6,63619.2,63652.8,63652.8,2023-12-25 10:18:10,-0.32483,0,0,0,0,0,0
total,8501,116,116,116,64042.4,64089.0,64391.0,64424.5,64424.5,64424.5,2023-12-25 10:18:11,-0.32429,0,0,0,0,0,0
total,8596,95,95,95,64799.1,64793.6,65162.7,65196.3,65229.8,65229.8,2023-12-25 10:18:12,-0.32390,0,0,0,0,0,0
total,8724,128,128,128,65544.7,65531.8,65934.5,65968.0,66001.6,66001.6,2023-12-25 10:18:13,-0.32330,0,0,0,0,0,0
total,8834,110,110,110,66335.9,66337.1,66706.2,66773.3,66773.3,66773.3,2023-12-25 10:18:14,-0.32283,0,0,0,0,0,0
total,8932,98,98,98,67159.2,67176.0,67478.0,67511.5,67511.5,67511.5,2023-12-25 10:18:15,-0.32243,0,0,0,0,0,0
total,9039,107,107,107,67921.5,67947.7,68283.3,68316.8,68316.8,68316.8,2023-12-25 10:18:16,-0.32198,0,0,0,0,0,0
total,9138,99,99,99,68731.2,68786.6,69122.1,69122.1,69189.2,69189.2,2023-12-25 10:18:17,-0.32159,0,0,0,0,0,0
total,9256,118,118,118,69485.0,69524.8,69860.3,69860.3,69927.4,69927.4,2023-12-25 10:18:18,-0.32109,0,0,0,0,0,0
total,9358,102,102,102,70300.5,70330.1,70665.6,70665.6,70732.7,70732.7,2023-12-25 10:18:19,-0.32069,0,0,0,0,0,0
total,9465,107,107,107,71128.2,71202.5,71470.9,71538.0,71538.0,71538.0,2023-12-25 10:18:20,-0.32026,0,0,0,0,0,0
total,9574,109,109,109,71869.0,71873.6,72276.2,72276.2,72276.2,72276.2,2023-12-25 10:18:21,-0.31983,0,0,0,0,0,0
total,9681,107,107,107,72637.2,72678.9,73014.4,73081.6,73081.6,73081.6,2023-12-25 10:18:22,-0.31942,0,0,0,0,0,0
total,9778,97,97,97,73458.3,73484.2,73819.8,73886.9,73886.9,73886.9,2023-12-25 10:18:23,-0.31906,0,0,0,0,0,0
total,9873,95,95,95,74224.9,74222.4,74625.1,74625.1,74692.2,74692.2,2023-12-25 10:18:24,-0.31872,0,0,0,0,0,0
total,9982,109,109,109,75050.2,75094.8,75430.4,75497.5,75497.5,75497.5,2023-12-25 10:18:25,-0.31831,0,0,0,0,0,0
total,10085,103,103,103,75830.7,75833.0,76235.7,76235.7,76235.7,76235.7,2023-12-25 10:18:26,-0.31794,0,0,0,0,0,0
total,10194,109,109,109,76620.2,76638.3,77041.0,77041.0,77041.0,77041.0,2023-12-25 10:18:27,-0.31754,0,0,0,0,0,0
total,10289,95,95,95,77415.7,77443.6,77779.2,77846.3,77846.3,77846.3,2023-12-25 10:18:28,-0.31721,0,0,0,0,0,0
total,10400,111,111,111,78196.6,78181.8,78584.5,78651.6,78651.6,78651.6,2023-12-25 10:18:29,-0.31681,0,0,0,0,0,0
total,10501,101,101,101,79008.7,79054.2,79389.8,79456.9,79456.9,79456.9,2023-12-25 10:18:30,-0.31646,0,0,0,0,0,0
total,10611,110,110,110,79784.5,79859.5,80128.0,80195.1,80195.1,80195.1,2023-12-25 10:18:31,-0.31607,0,0,0,0,0,0
total,10719,108,108,108,80579.1,80597.7,81000.4,81000.4,81000.4,81000.4,2023-12-25 10:18:32,-0.31570,0,0,0,0,0,0
total,10839,120,120,120,81356.6,81403.1,81738.6,81738.6,81805.7,81805.7,2023-12-25 10:18:33,-0.31527,0,0,0,0,0,0
total,10936,97,97,97,82152.7,82141.2,82543.9,82543.9,82543.9,82543.9,2023-12-25 10:18:34,-0.31496,0,0,0,0,0,0
total,11047,111,111,111,82922.7,82946.6,83282.1,83349.2,83349.2,83349.2,2023-12-25 10:18:35,-0.31458,0,0,0,0,0,0
total,11142,95,95,95,83680.2,83684.8,84087.4,84154.5,84154.5,84154.5,2023-12-25 10:18:36,-0.31428,0,0,0,0,0,0
total,11246,104,104,104,84506.8,84490.1,84892.7,84892.7,84959.8,84959.8,2023-12-25 10:18:37,-0.31395,0,0,0,0,0,0
total,11359,113,113,113,85285.6,85295.4,85698.0,85698.0,85698.0,85698.0,2023-12-25 10:18:38,-0.31357,0,0,0,0,0,0
total,11458,99,99,99,86103.7,86100.7,86503.3,86503.3,86503.3,86503.3,2023-12-25 10:18:39,-0.31327,0,0,0,0,0,0
total,11576,118,118,118,86877.0,86906.0,87174.4,87241.5,87241.5,87241.5,2023-12-25 10:18:40,-0.31288,0,0,0,0,0,0
total,11686,110,110,110,87610.6,87644.2,88046.8,88046.8,88046.8,88046.8,2023-12-25 10:18:41,-0.31253,0,0,0,0,0,0
total,11801,115,115,115,88434.6,88516.6,88785.0,88852.1,88852.1,88852.1,2023-12-25 10:18:42,-0.31216,0,0,0,0,0,0
total,11907,106,106,106,89195.3,89254.8,89590.3,89657.4,89657.4,89657.4,2023-12-25 10:18:43,-0.31184,0,0,0,0,0,0
total,11993,86,86,86,90032.0,90060.1,90395.6,90462.7,90462.7,90462.7,2023-12-25 10:18:44,-0.31160,0,0,0,0,0,0
total,12101,108,108,108,90833.1,90865.4,91200.9,91268.1,91268.1,91268.1,2023-12-25 10:18:45,-0.31127,0,0,0,0,0,0
total,12205,104,104,104,91558.4,91536.5,92006.3,92006.3,92006.3,92006.3,2023-12-25 10:18:46,-0.31096,0,0,0,0,0,0
total,12295,90,90,90,92425.3,92408.9,92811.6,92811.6,92878.7,92878.7,2023-12-25 10:18:47,-0.31072,0,0,0,0,0,0
total,12419,124,124,124,93187.2,93214.2,93549.8,93616.9,93616.9,93616.9,2023-12-25 10:18:48,-0.31033,0,0,0,0,0,0
total,12514,95,95,95,93975.4,93952.4,94422.2,94422.2,94422.2,94422.2,2023-12-25 10:18:49,-0.31007,0,0,0,0,0,0
total,12628,114,114,114,94724.8,94757.7,95160.4,95160.4,95160.4,95160.4,2023-12-25 10:18:50,-0.30974,0,0,0,0,0,0
total,12752,124,124,124,95526.2,95563.0,95898.6,95898.6,95965.7,95965.7,2023-12-25 10:18:51,-0.30937,0,0,0,0,0,0
total,12870,118,118,118,96308.6,96368.3,96703.9,96703.9,96703.9,96703.9,2023-12-25 10:18:52,-0.30902,0,0,0,0,0,0
total,12975,105,105,105,97067.2,97106.5,97442.1,97509.2,97509.2,97509.2,2023-12-25 10:18:53,-0.30873,0,0,0,0,0,0
total,13091,116,116,116,97852.2,97911.8,98247.4,98247.4,98247.4,98247.4,2023-12-25 10:18:54,-0.30840,0,0,0,0,0,0
total,13178,87,87,87,98646.6,98650.0,99052.7,99052.7,99119.8,99119.8,2023-12-25 10:18:55,-0.30818,0,0,0,0,0,0
total,13278,100,100,100,99459.4,99455.3,99858.0,99858.0,99925.1,99925.1,2023-12-25 10:18:56,-0.30791,0,0,0,0,0,0
total,13392,114,114,114,100238.3,100260.6,100663.3,100663.3,100663.3,100663.3,2023-12-25 10:18:57,-0.30760,0,0,0,0,0,0
total,13489,97,97,97,100999.2,101065.9,101401.5,101401.5,101468.6,101468.6,2023-12-25 10:18:58,-0.30735,0,0,0,0,0,0
total,13603,114,114,114,101773.5,101804.1,102139.7,102206.8,102206.8,102206.8,2023-12-25 10:18:59,-0.30704,0,0,0,0,0,0
total,13712,109,109,109,102609.1,102676.6,102945.0,103012.1,103012.1,103012.1,2023-12-25 10:19:00,-0.30675,0,0,0,0,0,0
total,13809,97,97,97,103423.4,103481.9,103750.3,103817.4,103817.4,103817.4,2023-12-25 10:19:01,-0.30651,0,0,0,0,0,0
total,13926,117,117,117,104142.9,104153.0,104555.6,104622.7,104622.7,104622.7,2023-12-25 10:19:02,-0.30620,0,0,0,0,0,0
