type total,ops,op/s,pk/s,row/s,mean,med,.95,.99,.999,max,time,stderr,errors,gc: #,max ms,sum ms,sdv ms,mb
total,29,29,29,29,107.1,155.2,315.4,315.6,315.6,315.6,2023-12-25 18:04:00,0.70711,0,0,0,0,0,0
total,71,42,42,42,94.8,145.2,158.2,158.9,158.9,158.9,2023-12-25 18:04:01,0.41233,0,0,0,0,0,0
total,112,41,41,41,100.2,155.5,167.8,336.3,336.3,336.3,2023-12-25 18:04:02,0.30231,0,0,0,0,0,0
total,157,45,45,45,83.1,144.8,157.9,167.8,167.8,167.8,2023-12-25 18:04:03,0.23354,0,0,0,0,0,0
total,199,42,42,42,99.8,146.0,158.2,167.8,167.8,167.8,2023-12-25 18:04:04,0.19054,0,0,0,0,0,0
total,237,38,38,38,100.9,145.1,158.1,310.1,310.1,310.1,2023-12-25 18:04:05,0.16101,0,0,0,0,0,0
total,285,48,48,48,87.6,145.0,160.0,168.2,168.2,168.2,2023-12-25 18:04:06,0.13982,0,0,0,0,0,0
total,331,46,46,46,83.7,144.8,157.8,167.6,167.6,167.6,2023-12-25 18:04:07,0.12326,0,0,0,0,0,0
total,369,38,38,38,103.4,155.1,167.6,167.8,167.8,167.8,2023-12-25 18:04:08,0.11140,0,0,0,0,0,0
total,414,45,45,45,94.1,155.1,167.5,167.6,167.6,167.6,2023-12-25 18:04:09,0.10072,0,0,0,0,0,0
total,452,38,38,38,101.8,145.0,157.8,167.8,167.8,167.8,2023-12-25 18:04:10,0.09276,0,0,0,0,0,0
total,488,36,36,36,111.7,154.9,157.7,167.8,167.8,167.8,2023-12-25 18:04:11,0.08651,0,0,0,0,0,0
total,531,43,43,43,89.9,144.8,157.8,158.1,158.1,158.1,2023-12-25 18:04:12,0.08006,0,0,0,0,0,0
total,574,43,43,43,97.5,145.6,157.7,167.8,167.8,167.8,2023-12-25 18:04:13,0.07450,0,0,0,0,0,0
total,614,40,40,40,97.2,154.8,157.5,157.8,157.8,157.8,2023-12-25 18:04:14,0.06988,0,0,0,0,0,0
total,650,36,36,36,114.7,144.8,157.5,167.6,167.6,167.6,2023-12-25 18:04:15,0.06638,0,0,0,0,0,0
total,699,49,49,49,80.1,144.7,160.0,167.8,167.8,167.8,2023-12-25 18:04:16,0.06315,0,0,0,0,0,0
total,739,40,40,40,100.5,144.8,158.3,167.6,167.6,167.6,2023-12-25 18:04:17,0.05984,0,0,0,0,0,0
total,781,42,42,42,96.4,145.0,167.5,167.8,167.8,167.8,2023-12-25 18:04:18,0.05676,0,0,0,0,0,0
total,816,35,35,35,110.6,154.9,157.7,166.3,166.3,166.3,2023-12-25 18:04:19,0.05474,0,0,0,0,0,0
total,857,41,41,41,100.2,144.8,157.5,157.8,157.8,157.8,2023-12-25 18:04:20,0.05222,0,0,0,0,0,0
total,897,40,40,40,96.6,144.8,157.5,167.5,167.5,167.5,2023-12-25 18:04:21,0.04995,0,0,0,0,0,0
total,946,49,49,49,86.0,144.7,167.5,167.5,167.5,167.5,2023-12-25 18:04:22,0.04829,0,0,0,0,0,0
total,987,41,41,41,91.4,144.8,157.7,167.6,167.6,167.6,2023-12-25 18:04:23,0.04633,0,0,0,0,0,0
total,1029,42,42,42,96.4,144.8,167.6,167.9,167.9,167.9,2023-12-25 18:04:24,0.04451,0,0,0,0,0,0
total,1077,48,48,48,83.4,144.7,157.4,167.5,167.5,167.5,2023-12-25 18:04:25,0.04310,0,0,0,0,0,0
total,1113,36,36,36,115.2,154.8,157.4,167.6,167.6,167.6,2023-12-25 18:04:26,0.04193,0,0,0,0,0,0
