type total,ops,op/s,pk/s,row/s,mean,med,.95,.99,.999,max,time,stderr,errors,gc: #,max ms,sum ms,sdv ms,mb
total,8,8,8,8,466.5,460.8,479.5,479.5,479.5,479.5,2023-12-25 10:36:52,0.00000,0,0,0,0,0,0
total,86,78,78,78,1026.9,1016.1,1334.8,1369.4,1372.6,1372.6,2023-12-25 10:36:53,-0.81915,0,0,0,0,0,0
total,192,106,106,106,1771.9,1761.6,2119.2,2144.3,2155.9,2155.9,2023-12-25 10:36:54,-0.55641,0,0,0,0,0,0
total,296,104,104,104,2585.8,2579.5,2942.3,2965.4,2980.1,2980.1,2023-12-25 10:36:55,-0.48255,0,0,0,0,0,0
total,399,103,103,103,3367.9,3361.7,3705.7,3735.0,3766.5,3766.5,2023-12-25 10:36:56,-0.44908,0,0,0,0,0,0
total,495,96,96,96,4159.0,4148.2,4487.9,4567.6,4571.8,4571.8,2023-12-25 10:36:57,-0.43312,0,0,0,0,0,0
total,598,103,103,103,4989.9,4982.8,5339.3,5368.7,5377.1,5377.1,2023-12-25 10:36:58,-0.41998,0,0,0,0,0,0
total,702,104,104,104,5747.1,5742.0,6111.1,6140.5,6144.7,6144.7,2023-12-25 10:36:59,-0.40990,0,0,0,0,0,0
total,810,108,108,108,6576.6,6576.7,6891.2,6929.0,6945.8,6945.8,2023-12-25 10:37:00,-0.40119,0,0,0,0,0,0
total,909,99,99,99,7332.4,7344.2,7713.3,7738.5,7746.9,7746.9,2023-12-25 10:37:01,-0.39571,0,0,0,0,0,0
total,1018,109,109,109,8152.1,8136.9,8493.5,8527.0,8535.4,8535.4,2023-12-25 10:37:02,-0.38950,0,0,0,0,0,0
total,1129,111,111,111,8938.6,8967.4,9277.8,9311.4,9319.7,9319.7,2023-12-25 10:37:03,-0.38389,0,0,0,0,0,0
total,1226,97,97,97,9717.4,9705.6,10074.7,10091.5,10116.7,10116.7,2023-12-25 10:37:04,-0.38055,0,0,0,0,0,0
total,1329,103,103,103,10525.1,10536.1,10880.0,10913.6,10922.0,10922.0,2023-12-25 10:37:05,-0.37691,0,0,0,0,0,0
total,1436,107,107,107,11310.7,11316.2,11660.2,11685.3,11710.5,11710.5,2023-12-25 10:37:06,-0.37324,0,0,0,0,0,0
total,1535,99,99,99,12071.2,12071.2,12465.5,12499.0,12499.0,12499.0,2023-12-25 10:37:07,-0.37051,0,0,0,0,0,0
total,1631,96,96,96,12903.3,12884.9,13228.8,13254.0,13312.7,13312.7,2023-12-25 10:37:08,-0.36820,0,0,0,0,0,0
total,1732,101,101,101,13661.9,13698.6,13992.2,14092.9,14101.3,14101.3,2023-12-25 10:37:09,-0.36569,0,0,0,0,0,0
total,1849,117,117,117,14473.5,14462.0,14831.1,14864.6,14889.8,14889.8,2023-12-25 10:37:10,-0.36238,0,0,0,0,0,0
total,1948,99,99,99,15290.9,15300.8,15653.1,15678.3,15686.7,15686.7,2023-12-25 10:37:11,-0.36030,0,0,0,0,0,0
total,2057,109,109,109,16042.0,16039.0,16408.1,16433.3,16441.7,16441.7,2023-12-25 10:37:12,-0.35780,0,0,0,0,0,0
total,2159,102,102,102,16818.9,16802.4,17196.6,17230.2,17247.0,17247.0,2023-12-25 10:37:13,-0.35579,0,0,0,0,0,0
total,2252,93,93,93,17660.4,17700.0,18002.0,18018.7,18035.5,18035.5,2023-12-25 10:37:14,-0.35427,0,0,0,0,0,0
total,2342,90,90,90,18461.1,18471.7,18857.6,18874.4,18874.4,18874.4,2023-12-25 10:37:15,-0.35294,0,0,0,0,0,0
total,2444,102,102,102,19277.0,19293.8,19646.1,19662.9,19679.7,19679.7,2023-12-25 10:37:16,-0.35119,0,0,0,0,0,0
total,2550,106,106,106,20057.8,20015.2,20417.9,20451.4,20485.0,20485.0,2023-12-25 10:37:17,-0.34937,0,0,0,0,0,0
total,2659,109,109,109,20852.0,20837.3,21206.4,21240.0,21256.7,21256.7,2023-12-25 10:37:18,-0.34753,0,0,0,0,0,0
total,2761,102,102,102,21667.9,21659.4,22011.7,22062.0,22062.0,22062.0,2023-12-25 10:37:19,-0.34599,0,0,0,0,0,0
total,2862,101,101,101,22453.1,22498.2,22800.2,22850.6,22850.6,22850.6,2023-12-25 10:37:20,-0.34455,0,0,0,0,0,0
total,2963,101,101,101,23187.7,23169.3,23572.0,23639.1,23655.9,23655.9,2023-12-25 10:37:21,-0.34315,0,0,0,0,0,0
total,3064,101,101,101,24011.6,24008.2,24377.3,24410.8,24444.4,24444.4,2023-12-25 10:37:22,-0.34181,0,0,0,0,0,0
total,3173,109,109,109,24827.9,24847.1,25199.4,25199.4,25232.9,25232.9,2023-12-25 10:37:23,-0.34030,0,0,0,0,0,0
total,3269,96,96,96,25586.5,25585.3,25954.4,26004.7,26004.7,26004.7,2023-12-25 10:37:24,-0.33917,0,0,0,0,0,0
total,3396,127,127,127,26372.7,26373.8,26759.7,26793.2,26793.2,26793.2,2023-12-25 10:37:25,-0.33732,0,0,0,0,0,0
total,3485,89,89,89,27202.6,27212.6,27565.0,27581.7,27598.5,27598.5,2023-12-25 10:37:26,-0.33643,0,0,0,0,0,0
total,3592,107,107,107,27984.3,28034.7,28319.9,28370.3,28387.0,28387.0,2023-12-25 10:37:27,-0.33516,0,0,0,0,0,0
total,3696,104,104,104,28780.3,28772.9,29142.0,29158.8,29175.6,29175.6,2023-12-25 10:37:28,-0.33399,0,0,0,0,0,0
total,3793,97,97,97,29566.4,29544.7,29913.8,29947.3,29980.9,29980.9,2023-12-25 10:37:29,-0.33300,0,0,0,0,0,0
total,3892,99,99,99,30358.4,30383.5,30719.1,30752.6,30752.6,30752.6,2023-12-25 10:37:30,-0.33200,0,0,0,0,0,0
total,4007,115,115,115,31189.9,31222.4,31541.2,31557.9,31574.7,31574.7,2023-12-25 10:37:31,-0.33072,0,0,0,0,0,0
total,4104,97,97,97,31968.8,31977.4,32279.4,32312.9,32363.2,32363.2,2023-12-25 10:37:32,-0.32981,0,0,0,0,0,0
total,4216,112,112,112,32724.4,32732.3,33101.4,33135.0,33135.0,33135.0,2023-12-25 10:37:33,-0.32865,0,0,0,0,0,0
total,4316,100,100,100,33512.7,33520.9,33873.2,33890.0,33906.8,33906.8,2023-12-25 10:37:34,-0.32773,0,0,0,0,0,0
total,4432,116,116,116,34285.4,34259.1,34695.3,34728.8,34728.8,34728.8,2023-12-25 10:37:35,-0.32658,0,0,0,0,0,0
total,4538,106,106,106,35075.8,35097.9,35433.5,35467.0,35467.0,35467.0,2023-12-25 10:37:36,-0.32561,0,0,0,0,0,0
total,4636,98,98,98,35844.4,35836.1,36272.3,36305.9,36305.9,36305.9,2023-12-25 10:37:37,-0.32479,0,0,0,0,0,0
total,4741,105,105,105,36681.2,36742.1,37044.1,37044.1,37077.6,37077.6,2023-12-25 10:37:38,-0.32388,0,0,0,0,0,0
total,4845,104,104,104,37500.3,37513.9,37883.0,37916.5,37916.5,37916.5,2023-12-25 10:37:39,-0.32301,0,0,0,0,0,0
total,4953,108,108,108,38252.7,38285.6,38621.2,38654.7,38654.7,38654.7,2023-12-25 10:37:40,-0.32211,0,0,0,0,0,0
total,5054,101,101,101,39055.5,39090.9,39392.9,39426.5,39460.0,39460.0,2023-12-25 10:37:41,-0.32132,0,0,0,0,0,0
total,5177,123,123,123,39809.9,39762.0,40198.2,40231.8,40231.8,40231.8,2023-12-25 10:37:42,-0.32025,0,0,0,0,0,0
total,5274,97,97,97,40603.8,40634.4,40970.0,41003.5,41037.1,41037.1,2023-12-25 10:37:43,-0.31955,0,0,0,0,0,0
total,5379,105,105,105,41437.6,41473.3,41808.8,41808.8,41842.4,41842.4,2023-12-25 10:37:44,-0.31876,0,0,0,0,0,0
total,5490,111,111,111,42218.9,42245.0,42547.0,42580.6,42580.6,42580.6,2023-12-25 10:37:45,-0.31791,0,0,0,0,0,0
total,5595,105,105,105,43005.1,43016.8,43352.3,43385.9,43385.9,43385.9,2023-12-25 10:37:46,-0.31716,0,0,0,0,0,0
total,5689,94,94,94,43797.5,43822.1,44157.6,44191.2,44224.7,44224.7,2023-12-25 10:37:47,-0.31655,0,0,0,0,0,0
total,5790,101,101,101,44561.4,44560.3,44929.4,44962.9,44962.9,44962.9,2023-12-25 10:37:48,-0.31587,0,0,0,0,0,0
total,5895,105,105,105,45364.2,45399.1,45734.7,45768.2,45801.8,45801.8,2023-12-25 10:37:49,-0.31515,0,0,0,0,0,0
total,6005,110,110,110,46169.1,46170.9,46540.0,46573.6,46573.6,46573.6,2023-12-25 10:37:50,-0.31440,0,0,0,0,0,0
total,6093,88,88,88,46983.8,47009.8,47345.3,47378.9,47378.9,47378.9,2023-12-25 10:37:51,-0.31390,0,0,0,0,0,0
total,6197,104,104,104,47783.4,47815.1,48117.1,48184.2,48184.2,48184.2,2023-12-25 10:37:52,-0.31323,0,0,0,0,0,0
