type total,ops,op/s,pk/s,row/s,mean,med,.95,.99,.999,max,time,stderr,errors,gc: #,max ms,sum ms,sdv ms,mb
total,23,23,23,23,109.7,145.1,315.4,338.2,338.2,338.2,2023-12-25 18:00:29,0.70711,0,0,0,0,0,0
total,59,36,36,36,112.9,144.8,168.2,289.7,289.7,289.7,2023-12-25 18:00:30,0.42901,0,0,0,0,0,0
total,90,31,31,31,125.4,146.8,168.0,314.8,314.8,314.8,2023-12-25 18:00:31,0.30168,0,0,0,0,0,0
total,134,44,44,44,94.0,135.0,168.2,168.6,168.6,168.6,2023-12-25 18:00:32,0.23630,0,0,0,0,0,0
total,179,45,45,45,87.4,144.7,167.9,168.0,168.0,168.0,2023-12-25 18:00:33,0.19434,0,0,0,0,0,0
total,218,39,39,39,101.1,144.7,167.8,167.9,167.9,167.9,2023-12-25 18:00:34,0.16404,0,0,0,0,0,0
total,265,47,47,47,86.8,134.9,167.9,167.9,167.9,167.9,2023-12-25 18:00:35,0.14359,0,0,0,0,0,0
total,308,43,43,43,93.7,144.8,167.8,167.9,167.9,167.9,2023-12-25 18:00:36,0.12657,0,0,0,0,0,0
total,343,35,35,35,113.6,144.8,167.8,289.4,289.4,289.4,2023-12-25 18:00:37,0.11311,0,0,0,0,0,0
total,379,36,36,36,114.7,144.8,167.6,168.0,168.0,168.0,2023-12-25 18:00:38,0.10304,0,0,0,0,0,0
total,418,39,39,39,102.8,144.7,167.8,168.6,168.6,168.6,2023-12-25 18:00:39,0.09409,0,0,0,0,0,0
total,456,38,38,38,98.2,144.8,167.8,167.8,167.8,167.8,2023-12-25 18:00:40,0.08669,0,0,0,0,0,0
total,506,50,50,50,83.4,134.5,167.5,167.6,167.6,167.6,2023-12-25 18:00:41,0.08199,0,0,0,0,0,0
total,541,35,35,35,110.5,144.8,167.6,167.9,167.9,167.9,2023-12-25 18:00:42,0.07708,0,0,0,0,0,0
total,588,47,47,47,89.7,144.7,167.6,167.6,167.6,167.6,2023-12-25 18:00:43,0.07266,0,0,0,0,0,0
total,624,36,36,36,105.7,144.6,167.5,167.6,167.6,167.6,2023-12-25 18:00:44,0.06872,0,0,0,0,0,0
total,659,35,35,35,115.3,145.0,167.8,169.1,169.1,169.1,2023-12-25 18:00:45,0.06535,0,0,0,0,0,0
total,698,39,39,39,103.1,144.6,167.6,167.6,167.6,167.6,2023-12-25 18:00:46,0.06184,0,0,0,0,0,0
total,741,43,43,43,93.6,134.7,167.6,168.0,168.0,168.0,2023-12-25 18:00:47,0.05870,0,0,0,0,0,0
total,778,37,37,37,109.0,144.8,167.6,167.9,167.9,167.9,2023-12-25 18:00:48,0.05602,0,0,0,0,0,0
total,814,36,36,36,107.9,144.7,167.6,167.8,167.8,167.8,2023-12-25 18:00:49,0.05368,0,0,0,0,0,0
total,857,43,43,43,92.0,144.7,167.6,167.9,167.9,167.9,2023-12-25 18:00:50,0.05135,0,0,0,0,0,0
total,894,37,37,37,110.3,144.6,167.5,167.6,167.6,167.6,2023-12-25 18:00:51,0.04930,0,0,0,0,0,0
