type total,ops,op/s,pk/s,row/s,mean,med,.95,.99,.999,max,time,stderr,errors,gc: #,max ms,sum ms,sdv ms,mb
total,17,17,17,17,55.5,1.3,171.4,315.6,315.6,315.6,2023-12-25 17:37:53,0.00000,0,0,0,0,0,0
total,58,41,41,41,102.7,135.0,269.7,335.5,335.5,335.5,2023-12-25 17:37:54,0.30120,0,0,0,0,0,0
total,98,40,40,40,96.0,135.1,168.0,168.3,168.3,168.3,2023-12-25 17:37:55,0.19580,0,0,0,0,0,0
total,138,40,40,40,98.5,135.0,168.0,168.2,168.2,168.2,2023-12-25 17:37:56,0.14507,0,0,0,0,0,0
total,178,40,40,40,105.5,144.8,168.0,168.4,168.4,168.4,2023-12-25 17:37:57,0.11522,0,0,0,0,0,0
total,223,45,45,45,84.7,134.7,167.9,168.2,168.2,168.2,2023-12-25 17:37:58,0.09674,0,0,0,0,0,0
total,267,44,44,44,94.8,145.0,168.0,168.0,168.0,168.0,2023-12-25 17:37:59,0.08293,0,0,0,0,0,0
total,306,39,39,39,98.0,134.9,167.8,168.2,168.2,168.2,2023-12-25 17:38:00,0.07290,0,0,0,0,0,0
total,348,42,42,42,99.1,135.0,167.9,269.5,269.5,269.5,2023-12-25 17:38:01,0.06652,0,0,0,0,0,0
total,388,40,40,40,96.1,134.9,167.9,167.9,167.9,167.9,2023-12-25 17:38:02,0.06003,0,0,0,0,0,0
total,429,41,41,41,102.5,135.5,167.8,168.3,168.3,168.3,2023-12-25 17:38:03,0.05455,0,0,0,0,0,0
total,476,47,47,47,82.8,134.6,167.8,167.8,167.8,167.8,2023-12-25 17:38:04,0.05080,0,0,0,0,0,0
total,520,44,44,44,89.9,134.7,167.8,167.9,167.9,167.9,2023-12-25 17:38:05,0.04690,0,0,0,0,0,0
total,568,48,48,48,84.9,134.6,167.6,167.6,167.6,167.6,2023-12-25 17:38:06,0.04435,0,0,0,0,0,0
total,609,41,41,41,95.5,134.7,167.8,168.4,168.4,168.4,2023-12-25 17:38:07,0.04148,0,0,0,0,0,0
total,657,48,48,48,83.0,134.5,167.8,168.6,168.6,168.6,2023-12-25 17:38:08,0.03952,0,0,0,0,0,0
total,695,38,38,38,108.7,157.4,167.8,169.9,169.9,169.9,2023-12-25 17:38:09,0.03785,0,0,0,0,0,0
total,732,37,37,37,108.0,145.0,167.8,167.9,167.9,167.9,2023-12-25 17:38:10,0.03658,0,0,0,0,0,0
total,782,50,50,50,77.4,134.5,167.5,167.8,167.8,167.8,2023-12-25 17:38:11,0.03572,0,0,0,0,0,0
total,821,39,39,39,107.4,145.0,167.8,170.5,170.5,170.5,2023-12-25 17:38:12,0.03424,0,0,0,0,0,0
total,865,44,44,44,89.5,134.6,167.6,168.8,168.8,168.8,2023-12-25 17:38:13,0.03261,0,0,0,0,0,0
total,913,48,48,48,77.0,0.9,167.5,167.6,167.6,167.6,2023-12-25 17:38:14,0.03153,0,0,0,0,0,0
total,955,42,42,42,101.4,134.6,167.6,167.8,167.8,167.8,2023-12-25 17:38:15,0.03018,0,0,0,0,0,0
total,995,40,40,40,95.1,134.7,167.6,167.8,167.8,167.8,2023-12-25 17:38:16,0.02908,0,0,0,0,0,0
total,1039,44,44,44,97.4,134.7,167.6,168.0,168.0,168.0,2023-12-25 17:38:17,0.02792,0,0,0,0,0,0
total,1077,38,38,38,100.2,134.7,167.6,167.6,167.6,167.6,2023-12-25 17:38:18,0.02723,0,0,0,0,0,0
total,1121,44,44,44,94.2,144.6,167.6,167.6,167.6,167.6,2023-12-25 17:38:19,0.02623,0,0,0,0,0,0
total,1161,40,40,40,96.2,134.5,167.6,167.6,167.6,167.6,2023-12-25 17:38:20,0.02541,0,0,0,0,0,0
total,1201,40,40,40,106.2,144.6,167.6,167.8,167.8,167.8,2023-12-25 17:38:21,0.02464,0,0,0,0,0,0
total,1239,38,38,38,97.9,134.6,167.6,167.6,167.6,167.6,2023-12-25 17:38:22,0.02411,0,0,0,0,0,0
total,1280,41,41,41,98.5,144.6,167.5,167.8,167.8,167.8,2023-12-25 17:38:23,0.02337,0,0,0,0,0,0
total,1326,46,46,46,87.7,134.5,167.5,167.6,167.6,167.6,2023-12-25 17:38:24,0.02276,0,0,0,0,0,0
total,1365,39,39,39,103.3,144.7,167.5,167.6,167.6,167.6,2023-12-25 17:38:25,0.02223,0,0,0,0,0,0
total,1402,37,37,37,104.7,134.6,167.6,167.6,167.6,167.6,2023-12-25 17:38:26,0.02192,0,0,0,0,0,0
total,1447,45,45,45,87.3,134.5,167.5,167.6,167.6,167.6,2023-12-25 17:38:27,0.02136,0,0,0,0,0,0
