type total,ops,op/s,pk/s,row/s,mean,med,.95,.99,.999,max,time,stderr,errors,gc: #,max ms,sum ms,sdv ms,mb
total,23,23,23,23,136.2,135.4,335.5,355.7,355.7,355.7,2023-12-25 17:41:46,0.70711,0,0,0,0,0,0
total,57,34,34,34,117.5,145.4,178.3,336.1,336.1,336.1,2023-12-25 17:41:47,0.42731,0,0,0,0,0,0
total,110,53,53,53,77.0,1.0,177.9,178.1,178.3,178.3,2023-12-25 17:41:48,0.31852,0,0,0,0,0,0
total,147,37,37,37,104.3,145.1,177.9,179.0,179.0,179.0,2023-12-25 17:41:49,0.24765,0,0,0,0,0,0
total,192,45,45,45,91.2,135.0,178.0,178.0,178.0,178.0,2023-12-25 17:41:50,0.20165,0,0,0,0,0,0
total,232,40,40,40,99.9,135.0,178.1,180.0,180.0,180.0,2023-12-25 17:41:51,0.17021,0,0,0,0,0,0
total,267,35,35,35,108.9,145.0,178.4,183.4,183.4,183.4,2023-12-25 17:41:52,0.14893,0,0,0,0,0,0
total,304,37,37,37,107.5,145.1,177.9,178.1,178.1,178.1,2023-12-25 17:41:53,0.13175,0,0,0,0,0,0
total,351,47,47,47,87.3,134.7,177.9,178.1,178.1,178.1,2023-12-25 17:41:54,0.11868,0,0,0,0,0,0
total,386,35,35,35,115.3,145.1,178.0,178.1,178.1,178.1,2023-12-25 17:41:55,0.10838,0,0,0,0,0,0
total,429,43,43,43,95.5,134.9,177.7,177.9,177.9,177.9,2023-12-25 17:41:56,0.09890,0,0,0,0,0,0
total,466,37,37,37,98.3,134.7,177.6,177.9,177.9,177.9,2023-12-25 17:41:57,0.09129,0,0,0,0,0,0
total,512,46,46,46,91.5,134.9,178.0,178.7,178.7,178.7,2023-12-25 17:41:58,0.08494,0,0,0,0,0,0
total,552,40,40,40,97.0,134.6,177.9,178.3,178.3,178.3,2023-12-25 17:41:59,0.07905,0,0,0,0,0,0
total,606,54,54,54,78.0,5.9,177.7,177.9,177.9,177.9,2023-12-25 17:42:00,0.07647,0,0,0,0,0,0
total,648,42,42,42,95.1,134.6,178.0,178.0,178.0,178.0,2023-12-25 17:42:01,0.07178,0,0,0,0,0,0
total,691,43,43,43,94.8,134.6,177.7,177.9,177.9,177.9,2023-12-25 17:42:02,0.06763,0,0,0,0,0,0
total,735,44,44,44,84.1,134.5,177.9,178.0,178.0,178.0,2023-12-25 17:42:03,0.06396,0,0,0,0,0,0
total,779,44,44,44,96.4,134.6,177.7,177.7,177.7,177.7,2023-12-25 17:42:04,0.06067,0,0,0,0,0,0
total,816,37,37,37,107.0,144.7,177.6,177.7,177.7,177.7,2023-12-25 17:42:05,0.05806,0,0,0,0,0,0
total,856,40,40,40,98.2,137.6,177.7,177.9,177.9,177.9,2023-12-25 17:42:06,0.05540,0,0,0,0,0,0
total,892,36,36,36,110.6,144.6,177.6,177.9,177.9,177.9,2023-12-25 17:42:07,0.05334,0,0,0,0,0,0
total,942,50,50,50,83.9,134.3,177.7,177.9,177.9,177.9,2023-12-25 17:42:08,0.05169,0,0,0,0,0,0
total,982,40,40,40,98.1,134.6,177.6,177.9,177.9,177.9,2023-12-25 17:42:09,0.04962,0,0,0,0,0,0
