type total,ops,op/s,pk/s,row/s,mean,med,.95,.99,.999,max,time,stderr,errors,gc: #,max ms,sum ms,sdv ms,mb
total,76,76,76,76,533.2,464.8,837.8,859.8,907.5,907.5,2023-12-25 10:46:11,0.70711,0,0,0,0,0,0
total,174,98,98,98,1311.1,1297.1,1658.8,1701.8,1709.2,1709.2,2023-12-25 10:46:12,1.07355,0,0,0,0,0,0
total,293,119,119,119,2088.0,2067.8,2441.1,2462.1,2478.8,2478.8,2023-12-25 10:46:13,1.29476,0,0,0,0,0,0
total,387,94,94,94,2849.9,2816.5,3202.4,3282.0,3284.1,3284.1,2023-12-25 10:46:14,1.42272,0,0,0,0,0,0
total,491,104,104,104,3683.5,3688.9,4034.9,4070.6,4085.3,4085.3,2023-12-25 10:46:15,1.53437,0,0,0,0,0,0
total,602,111,111,111,4478.8,4508.9,4810.9,4840.2,4840.2,4840.2,2023-12-25 10:46:16,1.63756,0,0,0,0,0,0
total,717,115,115,115,5214.4,5217.7,5607.8,5616.2,5641.3,5641.3,2023-12-25 10:46:17,1.73340,0,0,0,0,0,0
total,816,99,99,99,6000.2,5964.3,6383.7,6413.1,6429.9,6429.9,2023-12-25 10:46:18,1.80973,0,0,0,0,0,0
total,915,99,99,99,6815.6,6790.6,7155.5,7210.0,7222.6,7222.6,2023-12-25 10:46:19,1.88055,0,0,0,0,0,0
total,1025,110,110,110,7640.1,7642.0,7990.1,8015.3,8023.7,8023.7,2023-12-25 10:46:20,1.95444,0,0,0,0,0,0
total,1118,93,93,93,8439.2,8472.5,8782.9,8824.8,8833.2,8833.2,2023-12-25 10:46:21,2.01402,0,0,0,0,0,0
total,1224,106,106,106,9243.3,9244.2,9571.4,9605.0,9613.3,9613.3,2023-12-25 10:46:22,2.07887,0,0,0,0,0,0
total,1336,112,112,112,9960.0,9965.7,10318.0,10385.1,10385.1,10385.1,2023-12-25 10:46:23,2.14529,0,0,0,0,0,0
total,1432,96,96,96,10793.3,10812.9,11156.8,11173.6,11207.2,11207.2,2023-12-25 10:46:24,2.20049,0,0,0,0,0,0
total,1554,122,122,122,11577.7,11576.3,11911.8,11945.4,11953.8,11953.8,2023-12-25 10:46:25,2.26905,0,0,0,0,0,0
total,1658,104,104,104,12381.6,12398.4,12717.1,12733.9,12767.5,12767.5,2023-12-25 10:46:26,2.32643,0,0,0,0,0,0
total,1753,95,95,95,13152.7,13178.5,13497.3,13556.0,13556.0,13556.0,2023-12-25 10:46:27,2.37776,0,0,0,0,0,0
total,1860,107,107,107,13928.6,13916.7,14311.0,14327.7,14344.5,14344.5,2023-12-25 10:46:28,2.43445,0,0,0,0,0,0
total,1958,98,98,98,14756.8,14764.0,15124.7,15158.2,15158.2,15158.2,2023-12-25 10:46:29,2.48551,0,0,0,0,0,0
total,2081,123,123,123,15517.1,15518.9,15879.6,15904.8,15913.2,15913.2,2023-12-25 10:46:30,2.54895,0,0,0,0,0,0
total,2181,100,100,100,16334.5,16357.8,16659.8,16684.9,16693.3,16693.3,2023-12-25 10:46:31,2.60019,0,0,0,0,0,0
