type total,ops,op/s,pk/s,row/s,mean,med,.95,.99,.999,max,time,stderr,errors,gc: #,max ms,sum ms,sdv ms,mb
total,16,16,16,16,112.8,4.9,335.8,339.2,339.2,339.2,2023-12-25 17:23:11,0.70711,0,0,0,0,0,0
total,69,53,53,53,80.4,3.2,168.6,269.7,289.9,289.9,2023-12-25 17:23:12,0.54477,0,0,0,0,0,0
total,112,43,43,43,89.3,135.0,168.2,168.2,168.2,168.2,2023-12-25 17:23:13,0.37361,0,0,0,0,0,0
total,158,46,46,46,91.2,135.0,168.2,168.3,168.3,168.3,2023-12-25 17:23:14,0.28381,0,0,0,0,0,0
total,194,36,36,36,111.1,145.0,168.2,175.1,175.1,175.1,2023-12-25 17:23:15,0.23434,0,0,0,0,0,0
total,233,39,39,39,101.9,145.0,168.0,168.6,168.6,168.6,2023-12-25 17:23:16,0.19796,0,0,0,0,0,0
total,269,36,36,36,109.6,144.7,167.9,169.3,169.3,169.3,2023-12-25 17:23:17,0.17273,0,0,0,0,0,0
total,308,39,39,39,98.1,136.6,168.2,170.9,170.9,170.9,2023-12-25 17:23:18,0.15213,0,0,0,0,0,0
total,354,46,46,46,90.7,134.7,168.0,169.6,169.6,169.6,2023-12-25 17:23:19,0.13571,0,0,0,0,0,0
total,398,44,44,44,91.6,134.9,168.2,168.6,168.6,168.6,2023-12-25 17:23:20,0.12236,0,0,0,0,0,0
total,444,46,46,46,83.8,134.7,168.6,169.5,169.5,169.5,2023-12-25 17:23:21,0.11152,0,0,0,0,0,0
total,486,42,42,42,97.7,134.9,167.8,168.3,168.3,168.3,2023-12-25 17:23:22,0.10241,0,0,0,0,0,0
total,524,38,38,38,103.4,134.9,169.2,172.8,172.8,172.8,2023-12-25 17:23:23,0.09514,0,0,0,0,0,0
total,572,48,48,48,83.7,134.7,167.8,167.9,167.9,167.9,2023-12-25 17:23:24,0.08876,0,0,0,0,0,0
total,616,44,44,44,96.2,134.7,167.9,167.9,167.9,167.9,2023-12-25 17:23:25,0.08291,0,0,0,0,0,0
total,651,35,35,35,105.6,136.3,167.8,171.2,171.2,171.2,2023-12-25 17:23:26,0.07878,0,0,0,0,0,0
total,693,42,42,42,92.6,138.5,167.6,167.8,167.8,167.8,2023-12-25 17:23:27,0.07420,0,0,0,0,0,0
total,740,47,47,47,90.6,134.6,167.8,167.8,167.8,167.8,2023-12-25 17:23:28,0.07028,0,0,0,0,0,0
total,785,45,45,45,87.6,134.6,167.8,168.2,168.2,168.2,2023-12-25 17:23:29,0.06664,0,0,0,0,0,0
total,827,42,42,42,98.8,134.6,167.9,168.8,168.8,168.8,2023-12-25 17:23:30,0.06336,0,0,0,0,0,0
total,864,37,37,37,100.1,134.6,167.8,168.0,168.0,168.0,2023-12-25 17:23:31,0.06078,0,0,0,0,0,0
total,913,49,49,49,85.8,134.6,167.8,167.8,167.8,167.8,2023-12-25 17:23:32,0.05836,0,0,0,0,0,0
total,950,37,37,37,103.9,134.7,167.8,169.6,169.6,169.6,2023-12-25 17:23:33,0.05621,0,0,0,0,0,0
total,993,43,43,43,93.4,134.6,167.6,168.0,168.0,168.0,2023-12-25 17:23:34,0.05388,0,0,0,0,0,0
total,1035,42,42,42,93.7,134.6,167.9,170.0,170.0,170.0,2023-12-25 17:23:35,0.05175,0,0,0,0,0,0
total,1075,40,40,40,101.4,134.6,167.8,168.2,168.2,168.2,2023-12-25 17:23:36,0.04985,0,0,0,0,0,0
total,1116,41,41,41,98.7,134.7,167.8,170.8,170.8,170.8,2023-12-25 17:23:37,0.04804,0,0,0,0,0,0
total,1160,44,44,44,93.5,134.9,167.6,167.9,167.9,167.9,2023-12-25 17:23:38,0.04634,0,0,0,0,0,0
total,1198,38,38,38,103.9,144.7,167.8,170.0,170.0,170.0,2023-12-25 17:23:39,0.04493,0,0,0,0,0,0
total,1232,34,34,34,112.2,144.8,167.8,168.0,168.0,168.0,2023-12-25 17:23:40,0.04400,0,0,0,0,0,0
total,1278,46,46,46,91.4,134.6,167.6,167.6,167.6,167.6,2023-12-25 17:23:41,0.04266,0,0,0,0,0,0
total,1314,36,36,36,107.5,134.7,167.9,172.0,172.0,172.0,2023-12-25 17:23:42,0.04161,0,0,0,0,0,0
total,1358,44,44,44,93.9,134.6,167.8,168.2,168.2,168.2,2023-12-25 17:23:43,0.04037,0,0,0,0,0,0
total,1407,49,49,49,79.3,134.5,167.8,167.9,167.9,167.9,2023-12-25 17:23:44,0.03943,0,0,0,0,0,0
total,1441,34,34,34,118.0,144.7,169.0,171.6,171.6,171.6,2023-12-25 17:23:45,0.03876,0,0,0,0,0,0
total,1486,45,45,45,91.6,134.6,167.8,167.8,167.8,167.8,2023-12-25 17:23:46,0.03771,0,0,0,0,0,0
total,1525,39,39,39,102.8,134.6,167.8,168.2,168.2,168.2,2023-12-25 17:23:47,0.03677,0,0,0,0,0,0
total,1571,46,46,46,83.1,134.5,167.9,168.6,168.6,168.6,2023-12-25 17:23:48,0.03587,0,0,0,0,0,0
total,1614,43,43,43,95.1,134.6,167.8,170.3,170.3,170.3,2023-12-25 17:23:49,0.03495,0,0,0,0,0,0
total,1647,33,33,33,119.0,145.0,167.8,168.0,168.0,168.0,2023-12-25 17:23:50,0.03456,0,0,0,0,0,0
total,1686,39,39,39,103.7,134.6,167.6,170.7,170.7,170.7,2023-12-25 17:23:51,0.03378,0,0,0,0,0,0
total,1725,39,39,39,103.2,134.7,167.6,167.9,167.9,167.9,2023-12-25 17:23:52,0.03303,0,0,0,0,0,0
total,1770,45,45,45,89.2,134.6,167.6,167.8,167.8,167.8,2023-12-25 17:23:53,0.03230,0,0,0,0,0,0
total,1809,39,39,39,98.8,144.6,167.6,167.9,167.9,167.9,2023-12-25 17:23:54,0.03162,0,0,0,0,0,0
total,1851,42,42,42,100.5,134.6,167.6,167.6,167.6,167.6,2023-12-25 17:23:55,0.03092,0,0,0,0,0,0
total,1889,38,38,38,100.7,134.5,167.6,167.6,167.6,167.6,2023-12-25 17:23:56,0.03033,0,0,0,0,0,0
total,1926,37,37,37,110.0,144.7,167.6,167.6,167.6,167.6,2023-12-25 17:23:57,0.02981,0,0,0,0,0,0
total,1964,38,38,38,106.2,134.6,167.6,172.8,172.8,172.8,2023-12-25 17:23:58,0.02925,0,0,0,0,0,0
total,2006,42,42,42,90.8,134.5,167.5,167.6,167.6,167.6,2023-12-25 17:23:59,0.02866,0,0,0,0,0,0
total,2040,34,34,34,125.7,144.6,167.8,169.9,169.9,169.9,2023-12-25 17:24:00,0.02835,0,0,0,0,0,0
total,2074,34,34,34,111.9,134.6,167.6,167.9,167.9,167.9,2023-12-25 17:24:01,0.02805,0,0,0,0,0,0
total,2130,56,56,56,72.6,0.9,167.5,167.6,167.6,167.6,2023-12-25 17:24:02,0.02827,0,0,0,0,0,0
total,2169,39,39,39,101.1,144.7,167.6,169.7,169.7,169.7,2023-12-25 17:24:03,0.02777,0,0,0,0,0,0
total,2208,39,39,39,106.3,134.6,167.6,167.8,167.8,167.8,2023-12-25 17:24:04,0.02729,0,0,0,0,0,0
total,2259,51,51,51,79.6,134.5,167.5,167.6,167.6,167.6,2023-12-25 17:24:05,0.02707,0,0,0,0,0,0
total,2298,39,39,39,102.1,134.6,167.5,167.5,167.5,167.5,2023-12-25 17:24:06,0.02663,0,0,0,0,0,0
total,2343,45,45,45,84.9,134.5,167.6,167.8,167.8,167.8,2023-12-25 17:24:07,0.02618,0,0,0,0,0,0
total,2404,61,61,61,66.7,0.5,167.6,167.8,168.7,168.7,2023-12-25 17:24:08,0.02686,0,0,0,0,0,0
total,2445,41,41,41,97.3,134.6,167.6,167.6,167.6,167.6,2023-12-25 17:24:09,0.02641,0,0,0,0,0,0
total,2483,38,38,38,104.3,134.6,167.6,167.9,167.9,167.9,2023-12-25 17:24:10,0.02603,0,0,0,0,0,0
total,2520,37,37,37,109.8,134.6,167.5,167.5,167.5,167.5,2023-12-25 17:24:11,0.02570,0,0,0,0,0,0
total,2557,37,37,37,107.6,144.6,167.6,167.6,167.6,167.6,2023-12-25 17:24:12,0.02538,0,0,0,0,0,0
total,2602,45,45,45,89.1,134.5,167.5,169.9,169.9,169.9,2023-12-25 17:24:13,0.02499,0,0,0,0,0,0
total,2637,35,35,35,112.4,144.6,167.6,167.6,167.6,167.6,2023-12-25 17:24:14,0.02476,0,0,0,0,0,0
total,2679,42,42,42,90.8,134.5,167.5,167.5,167.5,167.5,2023-12-25 17:24:15,0.02438,0,0,0,0,0,0
total,2726,47,47,47,89.2,134.5,167.5,167.6,167.6,167.6,2023-12-25 17:24:16,0.02407,0,0,0,0,0,0
total,2767,41,41,41,97.1,134.5,167.5,167.6,167.6,167.6,2023-12-25 17:24:17,0.02371,0,0,0,0,0,0
total,2813,46,46,46,85.3,134.5,167.5,167.5,167.5,167.5,2023-12-25 17:24:18,0.02339,0,0,0,0,0,0
total,2866,53,53,53,78.8,134.3,167.5,167.5,168.2,168.2,2023-12-25 17:24:19,0.02333,0,0,0,0,0,0
total,2908,42,42,42,93.6,134.6,167.6,167.6,167.6,167.6,2023-12-25 17:24:20,0.02300,0,0,0,0,0,0
total,2954,46,46,46,85.5,134.3,167.8,171.3,171.3,171.3,2023-12-25 17:24:21,0.02270,0,0,0,0,0,0
total,2990,36,36,36,116.2,144.6,167.5,168.0,168.0,168.0,2023-12-25 17:24:22,0.02250,0,0,0,0,0,0
total,3031,41,41,41,96.0,134.5,167.5,169.1,169.1,169.1,2023-12-25 17:24:23,0.02220,0,0,0,0,0,0
