type total,ops,op/s,pk/s,row/s,mean,med,.95,.99,.999,max,time,stderr,errors,gc: #,max ms,sum ms,sdv ms,mb
total,4,4,4,4,117.7,149.2,171.4,171.4,171.4,171.4,2023-12-25 18:01:41,0.00000,0,0,0,0,0,0
total,43,39,39,39,103.5,4.7,336.1,339.0,339.0,339.0,2023-12-25 18:01:42,0.60014,0,0,0,0,0,0
total,94,51,51,51,75.9,1.7,168.2,168.2,168.2,168.2,2023-12-25 18:01:43,0.36123,0,0,0,0,0,0
total,135,41,41,41,96.3,145.0,168.0,168.3,168.3,168.3,2023-12-25 18:01:44,0.26187,0,0,0,0,0,0
total,181,46,46,46,88.0,145.0,168.2,168.3,168.3,168.3,2023-12-25 18:01:45,0.20398,0,0,0,0,0,0
total,216,35,35,35,114.2,155.1,168.0,171.8,171.8,171.8,2023-12-25 18:01:46,0.17273,0,0,0,0,0,0
total,258,42,42,42,90.4,145.0,167.9,168.0,168.0,168.0,2023-12-25 18:01:47,0.14644,0,0,0,0,0,0
total,304,46,46,46,90.0,144.8,167.9,168.0,168.0,168.0,2023-12-25 18:01:48,0.12707,0,0,0,0,0,0
total,349,45,45,45,92.3,144.8,167.9,167.9,167.9,167.9,2023-12-25 18:01:49,0.11216,0,0,0,0,0,0
total,393,44,44,44,91.4,145.0,167.9,167.9,167.9,167.9,2023-12-25 18:01:50,0.10039,0,0,0,0,0,0
total,441,48,48,48,79.7,1.1,168.0,168.2,168.2,168.2,2023-12-25 18:01:51,0.09116,0,0,0,0,0,0
total,477,36,36,36,112.9,155.5,167.9,170.5,170.5,170.5,2023-12-25 18:01:52,0.08496,0,0,0,0,0,0
total,523,46,46,46,88.2,144.7,167.8,167.9,167.9,167.9,2023-12-25 18:01:53,0.07824,0,0,0,0,0,0
total,555,32,32,32,124.5,155.1,167.8,169.0,169.0,169.0,2023-12-25 18:01:54,0.07538,0,0,0,0,0,0
total,597,42,42,42,94.8,144.8,167.8,167.8,167.8,167.8,2023-12-25 18:01:55,0.07021,0,0,0,0,0,0
total,634,37,37,37,107.6,145.2,167.8,171.6,171.6,171.6,2023-12-25 18:01:56,0.06636,0,0,0,0,0,0
total,678,44,44,44,88.0,144.7,167.9,169.5,169.5,169.5,2023-12-25 18:01:57,0.06234,0,0,0,0,0,0
total,714,36,36,36,109.9,144.7,167.8,167.8,167.8,167.8,2023-12-25 18:01:58,0.05955,0,0,0,0,0,0
total,750,36,36,36,111.9,154.8,167.8,175.0,175.0,175.0,2023-12-25 18:01:59,0.05693,0,0,0,0,0,0
total,795,45,45,45,89.3,144.8,167.8,168.3,168.3,168.3,2023-12-25 18:02:00,0.05409,0,0,0,0,0,0
total,841,46,46,46,86.7,144.7,167.6,167.8,167.8,167.8,2023-12-25 18:02:01,0.05158,0,0,0,0,0,0
total,878,37,37,37,117.3,154.9,167.8,167.9,167.9,167.9,2023-12-25 18:02:02,0.04959,0,0,0,0,0,0
total,917,39,39,39,98.3,144.8,167.6,167.8,167.8,167.8,2023-12-25 18:02:03,0.04753,0,0,0,0,0,0
total,958,41,41,41,93.4,144.7,167.6,167.6,167.6,167.6,2023-12-25 18:02:04,0.04553,0,0,0,0,0,0
total,997,39,39,39,105.7,144.8,167.6,167.8,167.8,167.8,2023-12-25 18:02:05,0.04379,0,0,0,0,0,0
total,1037,40,40,40,99.1,144.7,167.8,167.8,167.8,167.8,2023-12-25 18:02:06,0.04212,0,0,0,0,0,0
total,1077,40,40,40,97.2,144.8,167.6,167.6,167.6,167.6,2023-12-25 18:02:07,0.04057,0,0,0,0,0,0
total,1123,46,46,46,88.3,144.6,167.6,167.8,167.8,167.8,2023-12-25 18:02:08,0.03923,0,0,0,0,0,0
total,1168,45,45,45,91.3,144.7,167.6,168.3,168.3,168.3,2023-12-25 18:02:09,0.03792,0,0,0,0,0,0
total,1214,46,46,46,83.2,144.6,167.6,167.8,167.8,167.8,2023-12-25 18:02:10,0.03675,0,0,0,0,0,0
total,1255,41,41,41,101.6,144.8,167.8,167.9,167.9,167.9,2023-12-25 18:02:11,0.03556,0,0,0,0,0,0
total,1293,38,38,38,105.3,144.8,167.6,167.6,167.6,167.6,2023-12-25 18:02:12,0.03459,0,0,0,0,0,0
total,1334,41,41,41,98.3,144.7,167.8,168.2,168.2,168.2,2023-12-25 18:02:13,0.03354,0,0,0,0,0,0
total,1383,49,49,49,82.3,144.6,167.8,171.8,171.8,171.8,2023-12-25 18:02:14,0.03290,0,0,0,0,0,0
total,1432,49,49,49,80.0,7.9,167.8,168.6,168.6,168.6,2023-12-25 18:02:15,0.03225,0,0,0,0,0,0
total,1478,46,46,46,83.8,144.6,167.6,167.8,167.8,167.8,2023-12-25 18:02:16,0.03142,0,0,0,0,0,0
total,1522,44,44,44,93.1,144.6,167.6,167.8,167.8,167.8,2023-12-25 18:02:17,0.03056,0,0,0,0,0,0
total,1562,40,40,40,100.9,144.8,167.6,171.6,171.6,171.6,2023-12-25 18:02:18,0.02979,0,0,0,0,0,0
total,1603,41,41,41,94.5,144.8,167.6,167.8,167.8,167.8,2023-12-25 18:02:19,0.02904,0,0,0,0,0,0
total,1644,41,41,41,100.2,154.9,167.6,168.2,168.2,168.2,2023-12-25 18:02:20,0.02832,0,0,0,0,0,0
total,1677,33,33,33,117.1,154.9,167.6,168.2,168.2,168.2,2023-12-25 18:02:21,0.02819,0,0,0,0,0,0
total,1712,35,35,35,112.4,167.5,167.8,168.4,168.4,168.4,2023-12-25 18:02:22,0.02785,0,0,0,0,0,0
total,1752,40,40,40,106.2,144.8,167.8,167.9,167.9,167.9,2023-12-25 18:02:23,0.02722,0,0,0,0,0,0
total,1789,37,37,37,109.6,154.8,167.6,167.6,167.6,167.6,2023-12-25 18:02:24,0.02675,0,0,0,0,0,0
total,1827,38,38,38,99.6,144.8,167.6,168.6,168.6,168.6,2023-12-25 18:02:25,0.02625,0,0,0,0,0,0
total,1867,40,40,40,102.4,144.8,167.8,168.3,168.3,168.3,2023-12-25 18:02:26,0.02569,0,0,0,0,0,0
total,1908,41,41,41,97.0,144.7,167.6,167.8,167.8,167.8,2023-12-25 18:02:27,0.02514,0,0,0,0,0,0
total,1944,36,36,36,107.3,154.7,167.6,169.3,169.3,169.3,2023-12-25 18:02:28,0.02480,0,0,0,0,0,0
total,1980,36,36,36,110.4,144.7,167.6,167.8,167.8,167.8,2023-12-25 18:02:29,0.02446,0,0,0,0,0,0
total,2028,48,48,48,90.0,144.6,167.6,167.6,167.6,167.6,2023-12-25 18:02:30,0.02415,0,0,0,0,0,0
total,2067,39,39,39,102.2,144.7,167.6,168.3,168.3,168.3,2023-12-25 18:02:31,0.02371,0,0,0,0,0,0
total,2110,43,43,43,91.0,144.6,167.6,167.6,167.6,167.6,2023-12-25 18:02:32,0.02326,0,0,0,0,0,0
