type total,ops,op/s,pk/s,row/s,mean,med,.95,.99,.999,max,time,stderr,errors,gc: #,max ms,sum ms,sdv ms,mb
total,12,12,12,12,515.4,473.4,632.3,737.7,737.7,737.7,2023-12-25 10:15:19,0.00000,0,0,0,0,0,0
total,118,106,106,106,1144.8,1146.1,1480.6,1533.0,1540.4,1540.4,2023-12-25 10:15:20,-1.13718,0,0,0,0,0,0
total,219,101,101,101,1944.2,1947.2,2275.4,2313.2,2338.3,2338.3,2023-12-25 10:15:21,-0.75726,0,0,0,0,0,0
total,320,101,101,101,2730.8,2764.0,3066.0,3105.9,3108.0,3108.0,2023-12-25 10:15:22,-0.63072,0,0,0,0,0,0
total,402,82,82,82,3528.4,3502.2,3888.1,3913.3,3932.2,3932.2,2023-12-25 10:15:23,-0.58472,0,0,0,0,0,0
total,512,110,110,110,4340.8,4357.9,4685.0,4756.3,4760.5,4760.5,2023-12-25 10:15:24,-0.53990,0,0,0,0,0,0
total,605,93,93,93,5181.6,5180.0,5515.5,5549.1,5557.5,5557.5,2023-12-25 10:15:25,-0.51673,0,0,0,0,0,0
total,707,102,102,102,5975.2,6006.2,6325.0,6354.4,6358.6,6358.6,2023-12-25 10:15:26,-0.49646,0,0,0,0,0,0
total,806,99,99,99,6781.5,6828.3,7121.9,7130.3,7159.7,7159.7,2023-12-25 10:15:27,-0.48150,0,0,0,0,0,0
total,906,100,100,100,7552.9,7600.1,7910.5,7956.6,7965.0,7965.0,2023-12-25 10:15:28,-0.46916,0,0,0,0,0,0
total,1020,114,114,114,8327.6,8304.7,8657.0,8724.2,8740.9,8740.9,2023-12-25 10:15:29,-0.45626,0,0,0,0,0,0
total,1127,107,107,107,9122.8,9126.8,9495.9,9529.5,9529.5,9529.5,2023-12-25 10:15:30,-0.44647,0,0,0,0,0,0
total,1243,116,116,116,9887.7,9890.2,10242.5,10276.0,10292.8,10292.8,2023-12-25 10:15:31,-0.43676,0,0,0,0,0,0
total,1339,96,96,96,10705.9,10737.4,11039.4,11081.4,11106.5,11106.5,2023-12-25 10:15:32,-0.43072,0,0,0,0,0,0
total,1438,99,99,99,11480.3,11475.6,11861.5,11895.0,11895.0,11895.0,2023-12-25 10:15:33,-0.42498,0,0,0,0,0,0
total,1537,99,99,99,12297.9,12339.6,12650.0,12675.2,12692.0,12692.0,2023-12-25 10:15:34,-0.41980,0,0,0,0,0,0
total,1637,100,100,100,13147.0,13195.3,13463.7,13488.9,13505.7,13505.7,2023-12-25 10:15:35,-0.41501,0,0,0,0,0,0
total,1735,98,98,98,13926.5,13975.4,14252.2,14294.2,14294.2,14294.2,2023-12-25 10:15:36,-0.41077,0,0,0,0,0,0
total,1852,117,117,117,14671.1,14688.5,15032.4,15082.7,15082.7,15082.7,2023-12-25 10:15:37,-0.40549,0,0,0,0,0,0
total,1953,101,101,101,15506.8,15518.9,15820.9,15862.9,15888.0,15888.0,2023-12-25 10:15:38,-0.40171,0,0,0,0,0,0
total,2048,95,95,95,16263.6,16265.5,16609.4,16651.4,16684.9,16684.9,2023-12-25 10:15:39,-0.39856,0,0,0,0,0,0
total,2144,96,96,96,17081.5,17079.2,17465.1,17498.6,17498.6,17498.6,2023-12-25 10:15:40,-0.39555,0,0,0,0,0,0
total,2265,121,121,121,17877.8,17951.6,18220.1,18253.6,18253.6,18253.6,2023-12-25 10:15:41,-0.39138,0,0,0,0,0,0
total,2362,97,97,97,18625.2,18589.2,18991.8,19008.6,19042.1,19042.1,2023-12-25 10:15:42,-0.38867,0,0,0,0,0,0
total,2464,102,102,102,19454.0,19461.6,19830.7,19847.4,19864.2,19864.2,2023-12-25 10:15:43,-0.38589,0,0,0,0,0,0
total,2570,106,106,106,20235.5,20216.5,20585.6,20636.0,20652.8,20652.8,2023-12-25 10:15:44,-0.38308,0,0,0,0,0,0
total,2669,99,99,99,21027.7,21055.4,21374.2,21407.7,21424.5,21424.5,2023-12-25 10:15:45,-0.38070,0,0,0,0,0,0
total,2770,101,101,101,21831.9,21860.7,22213.0,22229.8,22246.6,22246.6,2023-12-25 10:15:46,-0.37836,0,0,0,0,0,0
total,2868,98,98,98,22640.9,22632.5,23018.3,23035.1,23051.9,23051.9,2023-12-25 10:15:47,-0.37625,0,0,0,0,0,0
total,2975,107,107,107,23423.7,23421.0,23739.8,23806.9,23823.6,23823.6,2023-12-25 10:15:48,-0.37391,0,0,0,0,0,0
total,3079,104,104,104,24232.8,24276.6,24561.8,24612.2,24629.0,24629.0,2023-12-25 10:15:49,-0.37178,0,0,0,0,0,0
total,3200,121,121,121,25010.3,25031.6,25333.6,25383.9,25383.9,25383.9,2023-12-25 10:15:50,-0.36919,0,0,0,0,0,0
total,3296,96,96,96,25779.9,25769.8,26122.1,26172.5,26189.2,26189.2,2023-12-25 10:15:51,-0.36748,0,0,0,0,0,0
total,3389,93,93,93,26591.4,26608.7,26977.8,26994.5,27011.3,27011.3,2023-12-25 10:15:52,-0.36592,0,0,0,0,0,0
total,3484,95,95,95,27418.8,27430.7,27766.3,27799.8,27799.8,27799.8,2023-12-25 10:15:53,-0.36437,0,0,0,0,0,0
total,3582,98,98,98,28195.0,28185.7,28538.0,28588.4,28621.9,28621.9,2023-12-25 10:15:54,-0.36278,0,0,0,0,0,0
total,3704,122,122,122,28986.5,29007.8,29326.6,29360.1,29376.9,29376.9,2023-12-25 10:15:55,-0.36064,0,0,0,0,0,0
total,3810,106,106,106,29814.5,29846.7,30131.9,30148.7,30182.2,30182.2,2023-12-25 10:15:56,-0.35898,0,0,0,0,0,0
total,3897,87,87,87,30527.7,30517.8,30920.4,30954.0,30987.5,30987.5,2023-12-25 10:15:57,-0.35782,0,0,0,0,0,0
total,3991,94,94,94,31390.5,31406.9,31742.5,31776.0,31792.8,31792.8,2023-12-25 10:15:58,-0.35653,0,0,0,0,0,0
total,4088,97,97,97,32191.4,32229.0,32497.5,32531.0,32564.6,32564.6,2023-12-25 10:15:59,-0.35521,0,0,0,0,0,0
total,4197,109,109,109,32963.8,32967.2,33336.3,33386.7,33386.7,33386.7,2023-12-25 10:16:00,-0.35369,0,0,0,0,0,0
total,4302,105,105,105,33770.9,33806.1,34091.3,34141.6,34175.2,34175.2,2023-12-25 10:16:01,-0.35229,0,0,0,0,0,0
total,4409,107,107,107,34553.2,34594.6,34930.2,34963.7,34963.7,34963.7,2023-12-25 10:16:02,-0.35089,0,0,0,0,0,0
total,4509,100,100,100,35363.4,35366.4,35735.5,35769.0,35769.0,35769.0,2023-12-25 10:16:03,-0.34967,0,0,0,0,0,0
total,4595,86,86,86,36156.5,36138.1,36540.8,36574.3,36574.3,36574.3,2023-12-25 10:16:04,-0.34874,0,0,0,0,0,0
total,4711,116,116,116,36954.7,36943.4,37312.5,37379.6,37379.6,37379.6,2023-12-25 10:16:05,-0.34730,0,0,0,0,0,0
total,4817,106,106,106,37724.0,37715.2,38117.8,38117.8,38151.4,38151.4,2023-12-25 10:16:06,-0.34608,0,0,0,0,0,0
total,4927,110,110,110,38525.4,38520.5,38923.1,38956.7,38956.7,38956.7,2023-12-25 10:16:07,-0.34482,0,0,0,0,0,0
total,5029,102,102,102,39335.0,39325.8,39694.9,39728.4,39728.4,39728.4,2023-12-25 10:16:08,-0.34372,0,0,0,0,0,0
total,5129,100,100,100,40117.3,40164.7,40500.2,40533.8,40533.8,40533.8,2023-12-25 10:16:09,-0.34268,0,0,0,0,0,0
total,5239,110,110,110,40851.0,40835.7,41238.4,41272.0,41272.0,41272.0,2023-12-25 10:16:10,-0.34151,0,0,0,0,0,0
total,5328,89,89,89,41692.5,41674.6,42110.8,42110.8,42110.8,42110.8,2023-12-25 10:16:11,-0.34069,0,0,0,0,0,0
total,5430,102,102,102,42472.7,42479.9,42849.0,42882.6,42916.1,42916.1,2023-12-25 10:16:12,-0.33969,0,0,0,0,0,0
total,5557,127,127,127,43266.1,43285.2,43620.8,43687.9,43687.9,43687.9,2023-12-25 10:16:13,-0.33836,0,0,0,0,0,0
total,5664,107,107,107,44038.3,44090.5,44426.1,44426.1,44459.6,44459.6,2023-12-25 10:16:14,-0.33735,0,0,0,0,0,0
total,5756,92,92,92,44859.4,44895.8,45197.8,45264.9,45264.9,45264.9,2023-12-25 10:16:15,-0.33655,0,0,0,0,0,0
total,5853,97,97,97,45683.0,45734.7,46036.7,46070.2,46070.2,46070.2,2023-12-25 10:16:16,-0.33571,0,0,0,0,0,0
total,5955,102,102,102,46432.4,46439.3,46842.0,46842.0,46875.5,46875.5,2023-12-25 10:16:17,-0.33482,0,0,0,0,0,0
total,6058,103,103,103,47282.6,47311.7,47647.3,47680.8,47680.8,47680.8,2023-12-25 10:16:18,-0.33394,0,0,0,0,0,0
total,6152,94,94,94,48089.6,48117.1,48452.6,48486.2,48486.2,48486.2,2023-12-25 10:16:19,-0.33319,0,0,0,0,0,0
total,6263,111,111,111,48811.3,48821.7,49157.2,49224.4,49224.4,49224.4,2023-12-25 10:16:20,-0.33225,0,0,0,0,0,0
total,6370,107,107,107,49592.7,49559.9,50029.7,50063.2,50063.2,50063.2,2023-12-25 10:16:21,-0.33137,0,0,0,0,0,0
total,6477,107,107,107,50458.8,50465.9,50801.4,50835.0,50835.0,50835.0,2023-12-25 10:16:22,-0.33051,0,0,0,0,0,0
total,6591,114,114,114,51223.2,51237.6,51573.2,51606.7,51606.7,51606.7,2023-12-25 10:16:23,-0.32960,0,0,0,0,0,0
total,6696,105,105,105,51983.0,51975.8,52311.4,52378.5,52378.5,52378.5,2023-12-25 10:16:24,-0.32879,0,0,0,0,0,0
total,6797,101,101,101,52782.9,52814.7,53150.2,53217.3,53217.3,53217.3,2023-12-25 10:16:25,-0.32805,0,0,0,0,0,0
total,6910,113,113,113,53586.6,53586.4,53955.5,53989.1,53989.1,53989.1,2023-12-25 10:16:26,-0.32719,0,0,0,0,0,0
total,7004,94,94,94,54353.9,54358.2,54727.3,54727.3,54760.8,54760.8,2023-12-25 10:16:27,-0.32655,0,0,0,0,0,0
total,7107,103,103,103,55132.7,55129.9,55499.0,55566.1,55566.1,55566.1,2023-12-25 10:16:28,-0.32582,0,0,0,0,0,0
total,7229,122,122,122,55953.9,55968.8,56270.8,56337.9,56337.9,56337.9,2023-12-25 10:16:29,-0.32493,0,0,0,0,0,0
total,7334,105,105,105,56700.1,56740.5,57076.1,57109.6,57109.6,57109.6,2023-12-25 10:16:30,-0.32421,0,0,0,0,0,0
total,7435,101,101,101,57539.0,57579.4,57881.4,57914.9,57914.9,57914.9,2023-12-25 10:16:31,-0.32354,0,0,0,0,0,0
total,7522,87,87,87,58308.2,58317.6,58720.3,58720.3,58720.3,58720.3,2023-12-25 10:16:32,-0.32301,0,0,0,0,0,0
total,7624,102,102,102,59142.6,59156.5,59492.0,59525.6,59559.1,59559.1,2023-12-25 10:16:33,-0.32236,0,0,0,0,0,0
total,7724,100,100,100,59885.6,59861.1,60263.8,60330.9,60330.9,60330.9,2023-12-25 10:16:34,-0.32173,0,0,0,0,0,0
total,7826,102,102,102,60764.1,60834.2,61102.6,61136.2,61136.2,61136.2,2023-12-25 10:16:35,-0.32110,0,0,0,0,0,0
total,7921,95,95,95,61533.4,61572.4,61907.9,61907.9,61907.9,61907.9,2023-12-25 10:16:36,-0.32053,0,0,0,0,0,0
total,8027,106,106,106,62325.5,62310.6,62713.2,62746.8,62746.8,62746.8,2023-12-25 10:16:37,-0.31989,0,0,0,0,0,0
total,8132,105,105,105,63140.3,63183.0,63485.0,63518.5,63518.5,63518.5,2023-12-25 10:16:38,-0.31926,0,0,0,0,0,0
total,8229,97,97,97,63903.4,63921.2,64290.3,64323.8,64323.8,64323.8,2023-12-25 10:16:39,-0.31870,0,0,0,0,0,0
total,8337,108,108,108,64697.6,64692.9,65062.0,65095.6,65095.6,65095.6,2023-12-25 10:16:40,-0.31807,0,0,0,0,0,0
