type total,ops,op/s,pk/s,row/s,mean,med,.95,.99,.999,max,time,stderr,errors,gc: #,max ms,sum ms,sdv ms,mb
total,13,13,13,13,536.8,481.8,634.4,640.2,640.2,640.2,2023-12-25 10:15:42,0.00000,0,0,0,0,0,0
total,120,107,107,107,1071.6,1086.3,1394.6,1469.1,1477.4,1477.4,2023-12-25 10:15:43,-0.97889,0,0,0,0,0,0
total,219,99,99,99,1857.0,1837.1,2216.7,2260.7,2271.2,2271.2,2023-12-25 10:15:44,-0.69391,0,0,0,0,0,0
total,327,108,108,108,2706.1,2709.5,3047.2,3070.2,3084.9,3084.9,2023-12-25 10:15:45,-0.58937,0,0,0,0,0,0
total,443,116,116,116,3478.4,3481.3,3800.0,3827.3,3831.5,3831.5,2023-12-25 10:15:46,-0.53078,0,0,0,0,0,0
total,542,99,99,99,4204.5,4173.3,4550.8,4609.5,4622.1,4622.1,2023-12-25 10:15:47,-0.50424,0,0,0,0,0,0
total,643,101,101,101,5052.4,5070.9,5402.3,5435.8,5435.8,5435.8,2023-12-25 10:15:48,-0.48537,0,0,0,0,0,0
total,734,91,91,91,5843.7,5809.1,6182.4,6241.1,6253.7,6253.7,2023-12-25 10:15:49,-0.47429,0,0,0,0,0,0
total,833,99,99,99,6645.8,6643.8,7012.9,7038.0,7050.6,7050.6,2023-12-25 10:15:50,-0.46346,0,0,0,0,0,0
total,927,94,94,94,7427.9,7373.6,7814.0,7851.7,7855.9,7855.9,2023-12-25 10:15:51,-0.45554,0,0,0,0,0,0
total,1017,90,90,90,8244.7,8233.4,8631.9,8657.0,8665.4,8665.4,2023-12-25 10:15:52,-0.44944,0,0,0,0,0,0
total,1129,112,112,112,9033.7,9017.8,9420.4,9462.3,9470.7,9470.7,2023-12-25 10:15:53,-0.44096,0,0,0,0,0,0
total,1234,105,105,105,9817.3,9823.1,10183.8,10217.3,10234.1,10234.1,2023-12-25 10:15:54,-0.43441,0,0,0,0,0,0
total,1334,100,100,100,10649.3,10645.1,11005.9,11039.4,11047.8,11047.8,2023-12-25 10:15:55,-0.42916,0,0,0,0,0,0
total,1434,100,100,100,11403.0,11383.3,11752.4,11827.9,11836.3,11836.3,2023-12-25 10:15:56,-0.42441,0,0,0,0,0,0
total,1538,104,104,104,12252.4,12239.0,12599.7,12624.9,12633.2,12633.2,2023-12-25 10:15:57,-0.41974,0,0,0,0,0,0
total,1644,106,106,106,13031.4,13052.7,13346.3,13430.2,13438.6,13438.6,2023-12-25 10:15:58,-0.41532,0,0,0,0,0,0
total,1764,120,120,120,13810.1,13799.3,14168.4,14201.9,14201.9,14201.9,2023-12-25 10:15:59,-0.41024,0,0,0,0,0,0
total,1866,102,102,102,14553.2,14520.7,14906.6,14931.7,14940.1,14940.1,2023-12-25 10:16:00,-0.40674,0,0,0,0,0,0
total,1981,115,115,115,15320.6,15334.4,15686.7,15745.4,15745.4,15745.4,2023-12-25 10:16:01,-0.40270,0,0,0,0,0,0
total,2075,94,94,94,16145.1,16122.9,16475.2,16508.8,16542.3,16542.3,2023-12-25 10:16:02,-0.40012,0,0,0,0,0,0
total,2176,101,101,101,16955.1,16961.8,17314.1,17364.4,17381.2,17381.2,2023-12-25 10:16:03,-0.39734,0,0,0,0,0,0
total,2287,111,111,111,17731.8,17700.0,18119.4,18136.2,18152.9,18152.9,2023-12-25 10:16:04,-0.39422,0,0,0,0,0,0
total,2382,95,95,95,18524.8,18555.6,18840.8,18891.1,18924.7,18924.7,2023-12-25 10:16:05,-0.39201,0,0,0,0,0,0
total,2496,114,114,114,19304.2,19310.6,19662.9,19696.5,19730.0,19730.0,2023-12-25 10:16:06,-0.38909,0,0,0,0,0,0
total,2599,103,103,103,20083.1,20065.6,20501.8,20518.5,20535.3,20535.3,2023-12-25 10:16:07,-0.38678,0,0,0,0,0,0
total,2704,105,105,105,20888.7,20887.6,21273.5,21290.3,21307.1,21307.1,2023-12-25 10:16:08,-0.38449,0,0,0,0,0,0
total,2804,100,100,100,21716.3,21709.7,22095.6,22112.4,22129.1,22129.1,2023-12-25 10:16:09,-0.38250,0,0,0,0,0,0
total,2902,98,98,98,22467.6,22481.5,22884.1,22900.9,22917.7,22917.7,2023-12-25 10:16:10,-0.38066,0,0,0,0,0,0
total,2996,94,94,94,23302.8,23286.8,23672.7,23706.2,23706.2,23706.2,2023-12-25 10:16:11,-0.37903,0,0,0,0,0,0
total,3102,106,106,106,24074.2,24041.8,24444.4,24511.5,24511.5,24511.5,2023-12-25 10:16:12,-0.37709,0,0,0,0,0,0
total,3200,98,98,98,24889.2,24880.6,25283.3,25300.0,25300.0,25300.0,2023-12-25 10:16:13,-0.37546,0,0,0,0,0,0
total,3303,103,103,103,25679.6,25669.1,26055.0,26088.6,26105.3,26105.3,2023-12-25 10:16:14,-0.37374,0,0,0,0,0,0
total,3411,108,108,108,26493.6,26508.0,26826.8,26877.1,26893.9,26893.9,2023-12-25 10:16:15,-0.37196,0,0,0,0,0,0
total,3510,99,99,99,27305.3,27346.9,27632.1,27682.4,27699.2,27699.2,2023-12-25 10:16:16,-0.37048,0,0,0,0,0,0
total,3601,91,91,91,28115.2,28135.4,28470.9,28504.5,28521.3,28521.3,2023-12-25 10:16:17,-0.36925,0,0,0,0,0,0
total,3711,110,110,110,28879.8,28873.6,29242.7,29276.2,29293.0,29293.0,2023-12-25 10:16:18,-0.36760,0,0,0,0,0,0
total,3816,105,105,105,29665.1,29695.7,30048.0,30081.5,30098.3,30098.3,2023-12-25 10:16:19,-0.36612,0,0,0,0,0,0
total,3922,106,106,106,30441.9,30467.4,30836.5,30853.3,30870.1,30870.1,2023-12-25 10:16:20,-0.36466,0,0,0,0,0,0
total,4019,97,97,97,31270.7,31306.3,31625.1,31658.6,31692.2,31692.2,2023-12-25 10:16:21,-0.36345,0,0,0,0,0,0
total,4122,103,103,103,32054.5,32078.0,32447.1,32463.9,32463.9,32463.9,2023-12-25 10:16:22,-0.36214,0,0,0,0,0,0
total,4212,90,90,90,32855.0,32833.0,33235.7,33286.0,33302.8,33302.8,2023-12-25 10:16:23,-0.36114,0,0,0,0,0,0
total,4313,101,101,101,33708.2,33722.2,34041.0,34091.3,34091.3,34091.3,2023-12-25 10:16:24,-0.35994,0,0,0,0,0,0
total,4419,106,106,106,34483.4,34527.5,34829.5,34863.1,34896.6,34896.6,2023-12-25 10:16:25,-0.35869,0,0,0,0,0,0
total,4516,97,97,97,35265.9,35265.7,35601.3,35668.4,35701.9,35701.9,2023-12-25 10:16:26,-0.35764,0,0,0,0,0,0
total,4630,114,114,114,36060.1,36104.6,36440.1,36473.7,36473.7,36473.7,2023-12-25 10:16:27,-0.35631,0,0,0,0,0,0
total,4733,103,103,103,36842.9,36842.8,37211.9,37245.4,37279.0,37279.0,2023-12-25 10:16:28,-0.35521,0,0,0,0,0,0
total,4831,98,98,98,37639.5,37614.5,38050.7,38050.7,38050.7,38050.7,2023-12-25 10:16:29,-0.35422,0,0,0,0,0,0
total,4939,108,108,108,38446.2,38419.8,38788.9,38856.0,38856.0,38856.0,2023-12-25 10:16:30,-0.35309,0,0,0,0,0,0
total,5040,101,101,101,39217.3,39258.7,39627.8,39661.3,39661.3,39661.3,2023-12-25 10:16:31,-0.35210,0,0,0,0,0,0
total,5139,99,99,99,40057.4,40064.0,40433.1,40433.1,40433.1,40433.1,2023-12-25 10:16:32,-0.35116,0,0,0,0,0,0
total,5252,113,113,113,40846.3,40902.9,41171.3,41238.4,41238.4,41238.4,2023-12-25 10:16:33,-0.35004,0,0,0,0,0,0
total,5360,108,108,108,41623.3,41674.6,41976.6,42010.1,42010.1,42010.1,2023-12-25 10:16:34,-0.34902,0,0,0,0,0,0
total,5457,97,97,97,42356.9,42379.2,42748.3,42815.5,42815.5,42815.5,2023-12-25 10:16:35,-0.34817,0,0,0,0,0,0
total,5572,115,115,115,43166.6,43151.0,43553.7,43553.7,43553.7,43553.7,2023-12-25 10:16:36,-0.34710,0,0,0,0,0,0
total,5669,97,97,97,43988.6,44023.4,44325.4,44392.5,44392.5,44392.5,2023-12-25 10:16:37,-0.34629,0,0,0,0,0,0
total,5783,114,114,114,44703.3,44694.5,45063.6,45164.3,45164.3,45164.3,2023-12-25 10:16:38,-0.34528,0,0,0,0,0,0
total,5901,118,118,118,45513.2,45533.4,45902.5,45936.0,45936.0,45936.0,2023-12-25 10:16:39,-0.34425,0,0,0,0,0,0
total,6004,103,103,103,46310.5,46338.7,46640.7,46707.8,46707.8,46707.8,2023-12-25 10:16:40,-0.34341,0,0,0,0,0,0
total,6107,103,103,103,47113.5,47144.0,47479.5,47513.1,47513.1,47513.1,2023-12-25 10:16:41,-0.34259,0,0,0,0,0,0
total,6213,106,106,106,47870.5,47882.2,48251.3,48284.8,48284.8,48284.8,2023-12-25 10:16:42,-0.34176,0,0,0,0,0,0
total,6325,112,112,112,48710.8,48754.6,49023.0,49090.1,49090.1,49090.1,2023-12-25 10:16:43,-0.34087,0,0,0,0,0,0
total,6431,106,106,106,49452.3,49459.2,49794.8,49861.9,49861.9,49861.9,2023-12-25 10:16:44,-0.34007,0,0,0,0,0,0
total,6535,104,104,104,50263.9,50298.1,50600.1,50633.6,50667.2,50667.2,2023-12-25 10:16:45,-0.33931,0,0,0,0,0,0
total,6654,119,119,119,51033.3,51036.3,51371.8,51438.9,51438.9,51438.9,2023-12-25 10:16:46,-0.33840,0,0,0,0,0,0
total,6753,99,99,99,51840.1,51875.2,52177.1,52210.7,52210.7,52210.7,2023-12-25 10:16:47,-0.33771,0,0,0,0,0,0
