type total,ops,op/s,pk/s,row/s,mean,med,.95,.99,.999,max,time,stderr,errors,gc: #,max ms,sum ms,sdv ms,mb
total,13,13,13,13,531.0,484.7,632.3,633.9,633.9,633.9,2023-12-25 10:45:24,0.00000,0,0,0,0,0,0
total,100,87,87,87,1166.2,1187.0,1512.0,1538.3,1560.3,1560.3,2023-12-25 10:45:25,-1.12634,0,0,0,0,0,0
total,207,107,107,107,2006.3,2017.5,2294.3,2340.4,2342.5,2342.5,2023-12-25 10:45:26,-0.68115,0,0,0,0,0,0
total,315,108,108,108,2733.4,2755.7,3076.5,3129.0,3139.4,3139.4,2023-12-25 10:45:27,-0.54641,0,0,0,0,0,0
total,419,104,104,104,3514.6,3506.4,3892.3,3898.6,3904.9,3904.9,2023-12-25 10:45:28,-0.48520,0,0,0,0,0,0
total,523,104,104,104,4334.2,4303.4,4680.8,4714.4,4718.6,4718.6,2023-12-25 10:45:29,-0.45003,0,0,0,0,0,0
total,626,103,103,103,5133.3,5146.4,5465.2,5511.3,5519.7,5519.7,2023-12-25 10:45:30,-0.42733,0,0,0,0,0,0
total,727,101,101,101,5914.7,5905.6,6283.1,6304.0,6320.8,6320.8,2023-12-25 10:45:31,-0.41169,0,0,0,0,0,0
total,830,103,103,103,6710.9,6698.3,7046.4,7109.3,7109.3,7109.3,2023-12-25 10:45:32,-0.39920,0,0,0,0,0,0
total,941,111,111,111,7484.9,7503.6,7835.0,7860.1,7872.7,7872.7,2023-12-25 10:45:33,-0.38753,0,0,0,0,0,0
total,1046,105,105,105,8256.4,8241.8,8569.0,8606.7,8648.7,8648.7,2023-12-25 10:45:34,-0.37901,0,0,0,0,0,0
total,1162,116,116,116,9071.8,9051.3,9403.6,9437.2,9437.2,9437.2,2023-12-25 10:45:35,-0.37023,0,0,0,0,0,0
total,1266,104,104,104,9816.6,9789.5,10158.6,10234.1,10242.5,10242.5,2023-12-25 10:45:36,-0.36430,0,0,0,0,0,0
total,1360,94,94,94,10646.9,10653.5,11005.9,11031.0,11047.8,11047.8,2023-12-25 10:45:37,-0.36025,0,0,0,0,0,0
total,1456,96,96,96,11442.8,11442.1,11827.9,11844.7,11844.7,11844.7,2023-12-25 10:45:38,-0.35640,0,0,0,0,0,0
total,1549,93,93,93,12262.4,12247.4,12608.1,12658.4,12666.8,12666.8,2023-12-25 10:45:39,-0.35320,0,0,0,0,0,0
total,1652,103,103,103,13022.3,13010.7,13396.6,13446.9,13455.3,13455.3,2023-12-25 10:45:40,-0.34942,0,0,0,0,0,0
total,1747,95,95,95,13863.4,13899.9,14201.9,14243.9,14260.6,14260.6,2023-12-25 10:45:41,-0.34657,0,0,0,0,0,0
total,1865,118,118,118,14650.5,14671.7,14998.8,15032.4,15032.4,15032.4,2023-12-25 10:45:42,-0.34236,0,0,0,0,0,0
