type total,ops,op/s,pk/s,row/s,mean,med,.95,.99,.999,max,time,stderr,errors,gc: #,max ms,sum ms,sdv ms,mb
total,22,22,22,22,102.7,135.1,289.9,356.3,356.3,356.3,2023-12-25 17:51:27,0.00000,0,0,0,0,0,0
total,58,36,36,36,112.8,135.1,269.5,356.0,356.0,356.0,2023-12-25 17:51:28,0.17055,0,0,0,0,0,0
total,100,42,42,42,89.2,134.9,178.1,178.5,178.5,178.5,2023-12-25 17:51:29,0.11435,0,0,0,0,0,0
total,140,40,40,40,102.2,135.1,178.3,178.4,178.4,178.4,2023-12-25 17:51:30,0.08535,0,0,0,0,0,0
total,172,32,32,32,122.6,145.0,178.1,178.3,178.3,178.3,2023-12-25 17:51:31,0.07828,0,0,0,0,0,0
total,219,47,47,47,84.5,134.9,178.3,180.4,180.4,180.4,2023-12-25 17:51:32,0.07268,0,0,0,0,0,0
total,266,47,47,47,91.6,134.7,178.0,178.1,178.1,178.1,2023-12-25 17:51:33,0.06576,0,0,0,0,0,0
total,309,43,43,43,87.7,134.7,178.0,178.1,178.1,178.1,2023-12-25 17:51:34,0.05758,0,0,0,0,0,0
total,356,47,47,47,86.8,134.6,178.0,178.0,178.0,178.0,2023-12-25 17:51:35,0.05282,0,0,0,0,0,0
total,399,43,43,43,92.5,134.7,178.0,178.0,178.0,178.0,2023-12-25 17:51:36,0.04749,0,0,0,0,0,0
total,437,38,38,38,108.7,144.7,177.9,177.9,177.9,177.9,2023-12-25 17:51:37,0.04414,0,0,0,0,0,0
total,469,32,32,32,121.3,144.7,177.9,178.4,178.4,178.4,2023-12-25 17:51:38,0.04504,0,0,0,0,0,0
total,513,44,44,44,92.3,134.6,177.7,178.7,178.7,178.7,2023-12-25 17:51:39,0.04181,0,0,0,0,0,0
total,549,36,36,36,114.0,144.7,178.1,178.5,178.5,178.5,2023-12-25 17:51:40,0.03995,0,0,0,0,0,0
total,586,37,37,37,102.1,134.6,178.0,178.1,178.1,178.1,2023-12-25 17:51:41,0.03788,0,0,0,0,0,0
total,632,46,46,46,85.0,134.5,177.7,177.9,177.9,177.9,2023-12-25 17:51:42,0.03626,0,0,0,0,0,0
total,674,42,42,42,99.5,134.7,177.7,177.9,177.9,177.9,2023-12-25 17:51:43,0.03412,0,0,0,0,0,0
total,711,37,37,37,101.9,135.1,177.7,177.7,177.7,177.7,2023-12-25 17:51:44,0.03274,0,0,0,0,0,0
total,755,44,44,44,94.4,134.5,177.7,177.9,177.9,177.9,2023-12-25 17:51:45,0.03120,0,0,0,0,0,0
total,801,46,46,46,86.6,134.5,177.7,177.7,177.7,177.7,2023-12-25 17:51:46,0.03014,0,0,0,0,0,0
total,842,41,41,41,98.2,134.6,177.9,177.9,177.9,177.9,2023-12-25 17:51:47,0.02870,0,0,0,0,0,0
total,883,41,41,41,96.8,134.5,177.9,178.1,178.1,178.1,2023-12-25 17:51:48,0.02739,0,0,0,0,0,0
total,931,48,48,48,83.9,134.5,177.7,177.9,177.9,177.9,2023-12-25 17:51:49,0.02702,0,0,0,0,0,0
total,971,40,40,40,101.9,134.5,177.9,177.9,177.9,177.9,2023-12-25 17:51:50,0.02596,0,0,0,0,0,0
total,1006,35,35,35,109.6,144.7,177.7,177.9,177.9,177.9,2023-12-25 17:51:51,0.02575,0,0,0,0,0,0
total,1044,38,38,38,106.9,134.7,177.9,193.7,193.7,193.7,2023-12-25 17:51:52,0.02489,0,0,0,0,0,0
total,1086,42,42,42,97.5,134.5,177.9,178.0,178.0,178.0,2023-12-25 17:51:53,0.02396,0,0,0,0,0,0
total,1132,46,46,46,85.1,134.5,177.7,177.9,177.9,177.9,2023-12-25 17:51:54,0.02342,0,0,0,0,0,0
total,1175,43,43,43,90.9,134.5,177.9,178.1,178.1,178.1,2023-12-25 17:51:55,0.02263,0,0,0,0,0,0
total,1221,46,46,46,84.9,134.5,177.9,178.0,178.0,178.0,2023-12-25 17:51:56,0.02214,0,0,0,0,0,0
total,1259,38,38,38,106.5,139.9,177.7,178.5,178.5,178.5,2023-12-25 17:51:57,0.02162,0,0,0,0,0,0
total,1301,42,42,42,98.3,134.9,177.7,178.1,178.1,178.1,2023-12-25 17:51:58,0.02094,0,0,0,0,0,0
total,1332,31,31,31,133.5,157.4,177.9,177.9,177.9,177.9,2023-12-25 17:51:59,0.02177,0,0,0,0,0,0
total,1379,47,47,47,84.3,134.5,177.9,177.9,177.9,177.9,2023-12-25 17:52:00,0.02148,0,0,0,0,0,0
total,1422,43,43,43,90.3,134.6,177.7,177.9,177.9,177.9,2023-12-25 17:52:01,0.02088,0,0,0,0,0,0
total,1465,43,43,43,95.1,134.6,177.9,180.6,180.6,180.6,2023-12-25 17:52:02,0.02032,0,0,0,0,0,0
total,1510,45,45,45,86.6,134.5,177.7,177.7,177.7,177.7,2023-12-25 17:52:03,0.01987,0,0,0,0,0,0
total,1545,35,35,35,110.8,134.7,177.7,177.9,177.9,177.9,2023-12-25 17:52:04,0.01983,0,0,0,0,0,0
total,1591,46,46,46,91.9,134.6,177.7,177.7,177.7,177.7,2023-12-25 17:52:05,0.01949,0,0,0,0,0,0
total,1639,48,48,48,80.5,134.3,177.7,178.3,178.3,178.3,2023-12-25 17:52:06,0.01935,0,0,0,0,0,0
total,1679,40,40,40,105.3,144.6,178.0,178.8,178.8,178.8,2023-12-25 17:52:07,0.01891,0,0,0,0,0,0
total,1727,48,48,48,77.7,0.6,177.7,177.9,177.9,177.9,2023-12-25 17:52:08,0.01877,0,0,0,0,0,0
total,1780,53,53,53,78.0,134.3,177.5,177.7,177.7,177.7,2023-12-25 17:52:09,0.01928,0,0,0,0,0,0
total,1825,45,45,45,88.8,134.5,177.9,178.0,178.0,178.0,2023-12-25 17:52:10,0.01888,0,0,0,0,0,0
total,1867,42,42,42,92.4,134.5,177.6,177.7,177.7,177.7,2023-12-25 17:52:11,0.01846,0,0,0,0,0,0
total,1909,42,42,42,96.7,134.6,177.6,177.7,177.7,177.7,2023-12-25 17:52:12,0.01806,0,0,0,0,0,0
total,1960,51,51,51,78.1,0.7,177.6,177.7,178.0,178.0,2023-12-25 17:52:13,0.01818,0,0,0,0,0,0
total,1998,38,38,38,104.4,144.7,177.7,177.7,177.7,177.7,2023-12-25 17:52:14,0.01795,0,0,0,0,0,0
total,2035,37,37,37,109.4,157.3,177.6,177.7,177.7,177.7,2023-12-25 17:52:15,0.01779,0,0,0,0,0,0
total,2075,40,40,40,104.0,144.7,177.7,177.7,177.7,177.7,2023-12-25 17:52:16,0.01747,0,0,0,0,0,0
total,2117,42,42,42,90.4,134.5,177.6,177.7,177.7,177.7,2023-12-25 17:52:17,0.01713,0,0,0,0,0,0
