type total,ops,op/s,pk/s,row/s,mean,med,.95,.99,.999,max,time,stderr,errors,gc: #,max ms,sum ms,sdv ms,mb
total,22,22,22,22,103.2,135.0,289.9,335.8,335.8,335.8,2023-12-25 17:37:48,0.70711,0,0,0,0,0,0
total,62,40,40,40,96.6,134.9,168.2,315.4,315.4,315.4,2023-12-25 17:37:49,0.45261,0,0,0,0,0,0
total,104,42,42,42,100.7,135.0,168.2,315.6,315.6,315.6,2023-12-25 17:37:50,0.32242,0,0,0,0,0,0
total,138,34,34,34,111.8,135.0,167.9,168.0,168.0,168.0,2023-12-25 17:37:51,0.25472,0,0,0,0,0,0
total,171,33,33,33,124.3,145.0,168.2,168.2,168.2,168.2,2023-12-25 17:37:52,0.21146,0,0,0,0,0,0
total,215,44,44,44,88.2,134.7,168.0,168.3,168.3,168.3,2023-12-25 17:37:53,0.17824,0,0,0,0,0,0
total,266,51,51,51,83.6,134.7,167.9,168.2,168.2,168.2,2023-12-25 17:37:54,0.15673,0,0,0,0,0,0
total,310,44,44,44,89.4,134.6,167.9,168.0,168.0,168.0,2023-12-25 17:37:55,0.13784,0,0,0,0,0,0
total,342,32,32,32,123.2,145.1,167.9,168.0,168.0,168.0,2023-12-25 17:37:56,0.12644,0,0,0,0,0,0
total,385,43,43,43,89.6,134.9,167.9,167.9,167.9,167.9,2023-12-25 17:37:57,0.11412,0,0,0,0,0,0
total,421,36,36,36,112.9,157.3,167.9,167.9,167.9,167.9,2023-12-25 17:37:58,0.10491,0,0,0,0,0,0
total,464,43,43,43,93.0,134.7,167.9,168.0,168.0,168.0,2023-12-25 17:37:59,0.09637,0,0,0,0,0,0
total,509,45,45,45,92.0,134.7,167.8,167.9,167.9,167.9,2023-12-25 17:38:00,0.08927,0,0,0,0,0,0
total,554,45,45,45,88.1,134.5,167.8,167.9,167.9,167.9,2023-12-25 17:38:01,0.08313,0,0,0,0,0,0
total,603,49,49,49,80.9,134.5,167.8,167.8,167.8,167.8,2023-12-25 17:38:02,0.07833,0,0,0,0,0,0
total,645,42,42,42,93.1,134.6,167.8,168.0,168.0,168.0,2023-12-25 17:38:03,0.07353,0,0,0,0,0,0
total,684,39,39,39,104.1,134.6,167.6,167.8,167.8,167.8,2023-12-25 17:38:04,0.06947,0,0,0,0,0,0
total,723,39,39,39,104.9,134.7,167.5,167.8,167.8,167.8,2023-12-25 17:38:05,0.06584,0,0,0,0,0,0
total,763,40,40,40,98.2,134.6,167.6,169.6,169.6,169.6,2023-12-25 17:38:06,0.06250,0,0,0,0,0,0
total,803,40,40,40,104.2,134.6,167.8,167.8,167.8,167.8,2023-12-25 17:38:07,0.05948,0,0,0,0,0,0
total,839,36,36,36,101.0,134.5,167.5,168.2,168.2,168.2,2023-12-25 17:38:08,0.05712,0,0,0,0,0,0
total,885,46,46,46,94.4,134.6,167.6,167.6,167.6,167.6,2023-12-25 17:38:09,0.05472,0,0,0,0,0,0
total,925,40,40,40,96.2,134.6,167.5,167.8,167.8,167.8,2023-12-25 17:38:10,0.05241,0,0,0,0,0,0
total,971,46,46,46,88.6,134.6,167.6,167.6,167.6,167.6,2023-12-25 17:38:11,0.05039,0,0,0,0,0,0
total,1012,41,41,41,92.5,134.6,167.6,168.2,168.2,168.2,2023-12-25 17:38:12,0.04841,0,0,0,0,0,0
total,1061,49,49,49,85.0,134.5,167.6,167.8,167.8,167.8,2023-12-25 17:38:13,0.04696,0,0,0,0,0,0
total,1110,49,49,49,85.2,134.5,167.6,167.8,167.8,167.8,2023-12-25 17:38:14,0.04558,0,0,0,0,0,0
total,1152,42,42,42,90.0,134.5,167.6,167.6,167.6,167.6,2023-12-25 17:38:15,0.04397,0,0,0,0,0,0
total,1189,37,37,37,110.5,134.7,167.6,167.8,167.8,167.8,2023-12-25 17:38:16,0.04272,0,0,0,0,0,0
total,1228,39,39,39,96.2,134.5,167.6,167.6,167.6,167.6,2023-12-25 17:38:17,0.04141,0,0,0,0,0,0
total,1280,52,52,52,78.8,134.3,167.6,167.8,167.8,167.8,2023-12-25 17:38:18,0.04071,0,0,0,0,0,0
total,1323,43,43,43,95.0,134.6,167.6,168.4,168.4,168.4,2023-12-25 17:38:19,0.03945,0,0,0,0,0,0
total,1372,49,49,49,76.2,134.3,167.6,167.6,167.6,167.6,2023-12-25 17:38:20,0.03850,0,0,0,0,0,0
total,1439,67,67,67,65.0,0.7,167.5,167.6,167.6,167.6,2023-12-25 17:38:21,0.04069,0,0,0,0,0,0
total,1480,41,41,41,95.9,134.5,167.6,167.6,167.6,167.6,2023-12-25 17:38:22,0.03958,0,0,0,0,0,0
total,1529,49,49,49,79.7,134.3,167.5,167.6,167.6,167.6,2023-12-25 17:38:23,0.03860,0,0,0,0,0,0
total,1567,38,38,38,108.3,134.6,167.6,181.1,181.1,181.1,2023-12-25 17:38:24,0.03772,0,0,0,0,0,0
total,1613,46,46,46,83.0,134.3,167.6,167.8,167.8,167.8,2023-12-25 17:38:25,0.03675,0,0,0,0,0,0
total,1663,50,50,50,84.8,134.3,167.5,167.6,167.6,167.6,2023-12-25 17:38:26,0.03597,0,0,0,0,0,0
total,1696,33,33,33,114.0,134.6,167.6,167.6,167.6,167.6,2023-12-25 17:38:27,0.03567,0,0,0,0,0,0
total,1743,47,47,47,87.9,134.6,167.5,167.8,167.8,167.8,2023-12-25 17:38:28,0.03484,0,0,0,0,0,0
total,1775,32,32,32,121.8,157.3,167.5,167.6,167.6,167.6,2023-12-25 17:38:29,0.03466,0,0,0,0,0,0
total,1820,45,45,45,87.2,134.5,167.6,168.0,168.0,168.0,2023-12-25 17:38:30,0.03386,0,0,0,0,0,0
total,1865,45,45,45,88.5,134.5,167.6,167.8,167.8,167.8,2023-12-25 17:38:31,0.03309,0,0,0,0,0,0
total,1913,48,48,48,85.8,134.5,167.6,167.6,167.6,167.6,2023-12-25 17:38:32,0.03242,0,0,0,0,0,0
total,1956,43,43,43,97.1,134.5,167.6,167.6,167.6,167.6,2023-12-25 17:38:33,0.03172,0,0,0,0,0,0
total,2001,45,45,45,81.5,134.3,167.5,167.6,167.6,167.6,2023-12-25 17:38:34,0.03104,0,0,0,0,0,0
total,2048,47,47,47,89.5,134.5,167.6,169.1,169.1,169.1,2023-12-25 17:38:35,0.03043,0,0,0,0,0,0
total,2083,35,35,35,113.3,134.6,167.6,167.6,167.6,167.6,2023-12-25 17:38:36,0.03012,0,0,0,0,0,0
total,2126,43,43,43,92.5,134.5,167.5,167.6,167.6,167.6,2023-12-25 17:38:37,0.02952,0,0,0,0,0,0
total,2169,43,43,43,91.5,134.5,167.6,167.6,167.6,167.6,2023-12-25 17:38:38,0.02894,0,0,0,0,0,0
total,2207,38,38,38,107.6,134.6,167.5,167.6,167.6,167.6,2023-12-25 17:38:39,0.02851,0,0,0,0,0,0
total,2245,38,38,38,104.5,134.6,167.6,167.6,167.6,167.6,2023-12-25 17:38:40,0.02809,0,0,0,0,0,0
total,2290,45,45,45,87.7,134.3,167.5,167.6,167.6,167.6,2023-12-25 17:38:41,0.02757,0,0,0,0,0,0
total,2333,43,43,43,95.4,134.5,167.5,168.3,168.3,168.3,2023-12-25 17:38:42,0.02707,0,0,0,0,0,0
total,2380,47,47,47,85.6,134.5,167.5,167.6,167.6,167.6,2023-12-25 17:38:43,0.02662,0,0,0,0,0,0
total,2417,37,37,37,104.7,144.6,167.5,167.6,167.6,167.6,2023-12-25 17:38:44,0.02630,0,0,0,0,0,0
total,2458,41,41,41,98.7,134.5,167.8,171.0,171.0,171.0,2023-12-25 17:38:45,0.02587,0,0,0,0,0,0
total,2492,34,34,34,122.5,157.3,167.5,167.6,167.6,167.6,2023-12-25 17:38:46,0.02572,0,0,0,0,0,0
total,2535,43,43,43,90.2,134.5,167.5,167.8,167.8,167.8,2023-12-25 17:38:47,0.02529,0,0,0,0,0,0
total,2583,48,48,48,84.9,134.3,167.5,167.9,167.9,167.9,2023-12-25 17:38:48,0.02493,0,0,0,0,0,0
total,2624,41,41,41,98.5,134.5,167.6,168.4,168.4,168.4,2023-12-25 17:38:49,0.02454,0,0,0,0,0,0
total,2665,41,41,41,94.8,134.6,167.6,167.6,167.6,167.6,2023-12-25 17:38:50,0.02417,0,0,0,0,0,0
total,2709,44,44,44,90.2,134.5,167.5,167.8,167.8,167.8,2023-12-25 17:38:51,0.02379,0,0,0,0,0,0
total,2744,35,35,35,117.1,144.7,167.5,167.5,167.5,167.5,2023-12-25 17:38:52,0.02363,0,0,0,0,0,0
total,2784,40,40,40,94.1,134.5,167.5,167.5,167.5,167.5,2023-12-25 17:38:53,0.02330,0,0,0,0,0,0
total,2825,41,41,41,102.4,134.5,167.6,168.0,168.0,168.0,2023-12-25 17:38:54,0.02297,0,0,0,0,0,0
total,2870,45,45,45,86.2,134.5,167.5,169.0,169.0,169.0,2023-12-25 17:38:55,0.02264,0,0,0,0,0,0
total,2914,44,44,44,90.3,134.5,167.5,167.6,167.6,167.6,2023-12-25 17:38:56,0.02231,0,0,0,0,0,0
total,2957,43,43,43,93.9,134.5,167.6,167.6,167.6,167.6,2023-12-25 17:38:57,0.02199,0,0,0,0,0,0
total,2998,41,41,41,100.8,134.5,167.5,167.5,167.5,167.5,2023-12-25 17:38:58,0.02170,0,0,0,0,0,0
total,3043,45,45,45,86.2,134.5,167.5,167.5,167.5,167.5,2023-12-25 17:38:59,0.02140,0,0,0,0,0,0
total,3086,43,43,43,92.8,134.5,167.5,167.6,167.6,167.6,2023-12-25 17:39:00,0.02111,0,0,0,0,0,0
total,3126,40,40,40,101.6,134.5,167.5,167.6,167.6,167.6,2023-12-25 17:39:01,0.02085,0,0,0,0,0,0
total,3168,42,42,42,93.6,134.5,167.5,167.6,167.6,167.6,2023-12-25 17:39:02,0.02057,0,0,0,0,0,0
total,3206,38,38,38,104.9,134.6,167.6,167.6,167.6,167.6,2023-12-25 17:39:03,0.02037,0,0,0,0,0,0
total,3254,48,48,48,82.0,134.3,167.5,167.5,167.5,167.5,2023-12-25 17:39:04,0.02015,0,0,0,0,0,0
total,3291,37,37,37,111.8,134.5,167.5,168.0,168.0,168.0,2023-12-25 17:39:05,0.01999,0,0,0,0,0,0
total,3334,43,43,43,94.0,134.5,167.5,167.5,167.5,167.5,2023-12-25 17:39:06,0.01973,0,0,0,0,0,0
total,3369,35,35,35,113.9,144.6,167.5,167.5,167.5,167.5,2023-12-25 17:39:07,0.01964,0,0,0,0,0,0
total,3404,35,35,35,109.0,134.5,167.5,167.5,167.5,167.5,2023-12-25 17:39:08,0.01954,0,0,0,0,0,0
total,3445,41,41,41,103.0,134.5,167.5,169.1,169.1,169.1,2023-12-25 17:39:09,0.01931,0,0,0,0,0,0
total,3480,35,35,35,105.3,134.5,167.5,167.6,167.6,167.6,2023-12-25 17:39:10,0.01921,0,0,0,0,0,0
