type total,ops,op/s,pk/s,row/s,mean,med,.95,.99,.999,max,time,stderr,errors,gc: #,max ms,sum ms,sdv ms,mb
total,12,12,12,12,609.9,599.3,718.3,723.5,723.5,723.5,2023-12-25 10:28:06,0.00000,0,0,0,0,0,0
total,104,92,92,92,1196.3,1231.0,1478.5,1514.1,1526.7,1526.7,2023-12-25 10:28:07,-1.17473,0,0,0,0,0,0
total,205,101,101,101,1931.3,1939.9,2254.4,2304.8,2327.8,2327.8,2023-12-25 10:28:08,-0.74488,0,0,0,0,0,0
total,309,104,104,104,2726.0,2755.7,3059.7,3101.7,3120.6,3120.6,2023-12-25 10:28:09,-0.60618,0,0,0,0,0,0
total,419,110,110,110,3498.8,3479.2,3850.4,3911.2,3915.4,3915.4,2023-12-25 10:28:10,-0.53446,0,0,0,0,0,0
total,524,105,105,105,4291.4,4307.6,4647.3,4685.0,4685.0,4685.0,2023-12-25 10:28:11,-0.49475,0,0,0,0,0,0
total,625,101,101,101,5078.5,5066.7,5456.8,5490.3,5490.3,5490.3,2023-12-25 10:28:12,-0.47005,0,0,0,0,0,0
total,738,113,113,113,5851.0,5872.0,6195.0,6245.3,6262.1,6262.1,2023-12-25 10:28:13,-0.44817,0,0,0,0,0,0
total,868,130,130,130,6609.0,6606.0,6937.4,6996.1,6996.1,6996.1,2023-12-25 10:28:14,-0.42719,0,0,0,0,0,0
total,968,100,100,100,7356.6,7340.0,7755.3,7805.6,7809.8,7809.8,2023-12-25 10:28:15,-0.41704,0,0,0,0,0,0
total,1072,104,104,104,8207.9,8208.3,8560.6,8589.9,8606.7,8606.7,2023-12-25 10:28:16,-0.40792,0,0,0,0,0,0
total,1173,101,101,101,8983.0,8967.4,9336.5,9386.9,9386.9,9386.9,2023-12-25 10:28:17,-0.40064,0,0,0,0,0,0
total,1266,93,93,93,9837.4,9865.0,10183.8,10217.3,10225.7,10225.7,2023-12-25 10:28:18,-0.39544,0,0,0,0,0,0
total,1379,113,113,113,10566.9,10552.9,10930.4,10980.7,10989.1,10989.1,2023-12-25 10:28:19,-0.38848,0,0,0,0,0,0
total,1485,106,106,106,11376.3,11375.0,11710.5,11777.6,11786.0,11786.0,2023-12-25 10:28:20,-0.38306,0,0,0,0,0,0
total,1599,114,114,114,12132.7,12129.9,12448.7,12490.6,12541.0,12541.0,2023-12-25 10:28:21,-0.37744,0,0,0,0,0,0
total,1719,120,120,120,12934.5,12935.2,13270.8,13312.7,13321.1,13321.1,2023-12-25 10:28:22,-0.37190,0,0,0,0,0,0
total,1832,113,113,113,13670.9,13648.3,14034.1,14067.7,14076.1,14076.1,2023-12-25 10:28:23,-0.36739,0,0,0,0,0,0
total,1933,101,101,101,14434.8,14428.4,14789.1,14822.7,14847.8,14847.8,2023-12-25 10:28:24,-0.36407,0,0,0,0,0,0
total,2048,115,115,115,15237.2,15233.7,15586.0,15619.6,15619.6,15619.6,2023-12-25 10:28:25,-0.36011,0,0,0,0,0,0
total,2135,87,87,87,15970.6,15980.3,16290.7,16416.5,16424.9,16424.9,2023-12-25 10:28:26,-0.35808,0,0,0,0,0,0
total,2230,95,95,95,16926.8,16953.4,17247.0,17263.8,17263.8,17263.8,2023-12-25 10:28:27,-0.35573,0,0,0,0,0,0
total,2344,114,114,114,17665.2,17666.4,18018.7,18052.3,18069.1,18069.1,2023-12-25 10:28:28,-0.35257,0,0,0,0,0,0
total,2443,99,99,99,18458.4,18505.3,18790.5,18824.0,18857.6,18857.6,2023-12-25 10:28:29,-0.35031,0,0,0,0,0,0
total,2563,120,120,120,19241.5,19243.5,19595.8,19629.3,19629.3,19629.3,2023-12-25 10:28:30,-0.34725,0,0,0,0,0,0
total,2664,101,101,101,20049.0,20065.6,20417.9,20417.9,20417.9,20417.9,2023-12-25 10:28:31,-0.34515,0,0,0,0,0,0
total,2782,118,118,118,20750.7,20736.6,21139.3,21172.8,21189.6,21189.6,2023-12-25 10:28:32,-0.34250,0,0,0,0,0,0
total,2871,89,89,89,21586.7,21575.5,21944.6,21961.4,21978.2,21978.2,2023-12-25 10:28:33,-0.34104,0,0,0,0,0,0
total,2978,107,107,107,22403.6,22431.1,22749.9,22766.7,22783.5,22783.5,2023-12-25 10:28:34,-0.33902,0,0,0,0,0,0
