type total,ops,op/s,pk/s,row/s,mean,med,.95,.99,.999,max,time,stderr,errors,gc: #,max ms,sum ms,sdv ms,mb
total,77,77,77,77,902.7,976.2,1223.7,1239.4,1269.8,1269.8,2023-12-25 10:06:46,-0.70711,0,0,0,0,0,0
total,181,104,104,104,1654.6,1607.5,2020.6,2053.1,2062.5,2062.5,2023-12-25 10:06:47,-0.53510,0,0,0,0,0,0
total,282,101,101,101,2471.6,2478.8,2795.5,2852.1,2856.3,2856.3,2023-12-25 10:06:48,-0.49054,0,0,0,0,0,0
total,383,101,101,101,3230.4,3204.4,3596.6,3619.7,3623.9,3623.9,2023-12-25 10:06:49,-0.47015,0,0,0,0,0,0
total,481,98,98,98,4023.3,3957.3,4416.6,4458.5,4471.1,4471.1,2023-12-25 10:06:50,-0.46010,0,0,0,0,0,0
total,587,106,106,106,4892.7,4903.1,5175.8,5259.7,5259.7,5259.7,2023-12-25 10:06:51,-0.45052,0,0,0,0,0,0
total,709,122,122,122,5591.9,5603.6,5939.1,5976.9,5997.9,5997.9,2023-12-25 10:06:52,-0.43926,0,0,0,0,0,0
total,814,105,105,105,6435.8,6467.6,6761.2,6807.4,6819.9,6819.9,2023-12-25 10:06:53,-0.43369,0,0,0,0,0,0
total,908,94,94,94,7226.0,7231.0,7545.6,7583.3,7621.1,7621.1,2023-12-25 10:06:54,-0.43065,0,0,0,0,0,0
total,1014,106,106,106,8023.8,8006.9,8371.8,8392.8,8418.0,8418.0,2023-12-25 10:06:55,-0.42625,0,0,0,0,0,0
total,1120,106,106,106,8807.7,8824.8,9143.6,9185.5,9193.9,9193.9,2023-12-25 10:06:56,-0.42229,0,0,0,0,0,0
total,1233,113,113,113,9636.1,9697.2,9948.9,9965.7,9965.7,9965.7,2023-12-25 10:06:57,-0.41798,0,0,0,0,0,0
total,1332,99,99,99,10395.6,10427.0,10703.9,10729.0,10779.4,10779.4,2023-12-25 10:06:58,-0.41534,0,0,0,0,0,0
total,1435,103,103,103,11172.2,11207.2,11534.3,11567.9,11576.3,11576.3,2023-12-25 10:06:59,-0.41254,0,0,0,0,0,0
total,1542,107,107,107,11972.0,12004.1,12322.9,12348.0,12364.8,12364.8,2023-12-25 10:07:00,-0.40964,0,0,0,0,0,0
total,1640,98,98,98,12718.8,12700.4,13077.8,13144.9,13161.7,13161.7,2023-12-25 10:07:01,-0.40751,0,0,0,0,0,0
total,1766,126,126,126,13491.5,13480.5,13883.1,13908.3,13925.1,13925.1,2023-12-25 10:07:02,-0.40382,0,0,0,0,0,0
total,1881,115,115,115,14293.1,14302.6,14596.2,14680.1,14680.1,14680.1,2023-12-25 10:07:03,-0.40098,0,0,0,0,0,0
total,1997,116,116,116,15021.1,15007.2,15409.9,15443.4,15443.4,15443.4,2023-12-25 10:07:04,-0.39826,0,0,0,0,0,0
total,2105,108,108,108,15854.6,15846.1,16181.6,16206.8,16223.6,16223.6,2023-12-25 10:07:05,-0.39606,0,0,0,0,0,0
total,2227,122,122,122,16577.7,16609.4,16961.8,16986.9,16995.3,16995.3,2023-12-25 10:07:06,-0.39337,0,0,0,0,0,0
total,2327,100,100,100,17366.6,17347.6,17716.7,17767.1,17783.8,17783.8,2023-12-25 10:07:07,-0.39172,0,0,0,0,0,0
total,2438,111,111,111,18129.3,18136.2,18505.3,18555.6,18555.6,18555.6,2023-12-25 10:07:08,-0.38971,0,0,0,0,0,0
total,2536,98,98,98,18939.3,18941.5,19327.4,19360.9,19377.7,19377.7,2023-12-25 10:07:09,-0.38826,0,0,0,0,0,0
total,2627,91,91,91,19786.3,19813.9,20149.4,20183.0,20199.8,20199.8,2023-12-25 10:07:10,-0.38709,0,0,0,0,0,0
total,2728,101,101,101,20587.4,20602.4,20938.0,20971.5,20988.3,20988.3,2023-12-25 10:07:11,-0.38564,0,0,0,0,0,0
total,2852,124,124,124,21370.8,21407.7,21692.9,21760.0,21760.0,21760.0,2023-12-25 10:07:12,-0.38355,0,0,0,0,0,0
total,2959,107,107,107,22146.9,22129.1,22498.2,22531.8,22531.8,22531.8,2023-12-25 10:07:13,-0.38203,0,0,0,0,0,0
total,3061,102,102,102,22911.9,22884.1,23253.2,23303.6,23320.3,23320.3,2023-12-25 10:07:14,-0.38070,0,0,0,0,0,0
total,3173,112,112,112,23641.2,23605.5,24025.0,24058.5,24075.3,24075.3,2023-12-25 10:07:15,-0.37915,0,0,0,0,0,0
total,3279,106,106,106,24439.0,24444.4,24779.9,24880.6,24897.4,24897.4,2023-12-25 10:07:16,-0.37781,0,0,0,0,0,0
total,3379,100,100,100,25250.5,25266.5,25652.4,25669.1,25685.9,25685.9,2023-12-25 10:07:17,-0.37665,0,0,0,0,0,0
total,3480,101,101,101,26104.4,26122.1,26474.4,26491.2,26491.2,26491.2,2023-12-25 10:07:18,-0.37551,0,0,0,0,0,0
total,3601,121,121,121,26872.2,26927.4,27229.4,27246.2,27263.0,27263.0,2023-12-25 10:07:19,-0.37396,0,0,0,0,0,0
total,3711,110,110,110,27635.3,27632.1,27984.4,28018.0,28034.7,28034.7,2023-12-25 10:07:20,-0.37269,0,0,0,0,0,0
total,3826,115,115,115,28429.6,28487.7,28739.4,28772.9,28772.9,28772.9,2023-12-25 10:07:21,-0.37136,0,0,0,0,0,0
total,3939,113,113,113,29165.9,29175.6,29544.7,29561.5,29561.5,29561.5,2023-12-25 10:07:22,-0.37010,0,0,0,0,0,0
total,4047,108,108,108,29959.1,29947.3,30316.4,30350.0,30350.0,30350.0,2023-12-25 10:07:23,-0.36898,0,0,0,0,0,0
total,4164,117,117,117,30750.3,30786.2,31088.2,31121.7,31138.5,31138.5,2023-12-25 10:07:24,-0.36772,0,0,0,0,0,0
total,4277,113,113,113,31484.1,31490.8,31826.4,31876.7,31876.7,31876.7,2023-12-25 10:07:25,-0.36657,0,0,0,0,0,0
total,4402,125,125,125,32206.0,32178.7,32581.4,32631.7,32631.7,32631.7,2023-12-25 10:07:26,-0.36525,0,0,0,0,0,0
total,4516,114,114,114,33025.8,33051.1,33336.3,33386.7,33403.4,33403.4,2023-12-25 10:07:27,-0.36414,0,0,0,0,0,0
total,4637,121,121,121,33751.8,33755.8,34108.1,34158.4,34158.4,34158.4,2023-12-25 10:07:28,-0.36296,0,0,0,0,0,0
total,4747,110,110,110,34515.5,34494.0,34930.2,34963.7,34963.7,34963.7,2023-12-25 10:07:29,-0.36197,0,0,0,0,0,0
total,4845,98,98,98,35377.0,35366.4,35735.5,35769.0,35769.0,35769.0,2023-12-25 10:07:30,-0.36118,0,0,0,0,0,0
total,4959,114,114,114,36176.1,36171.7,36507.2,36540.8,36540.8,36540.8,2023-12-25 10:07:31,-0.36018,0,0,0,0,0,0
total,5059,100,100,100,36926.3,36909.9,37245.4,37312.5,37312.5,37312.5,2023-12-25 10:07:32,-0.35939,0,0,0,0,0,0
total,5173,114,114,114,37695.5,37715.2,38084.3,38117.8,38117.8,38117.8,2023-12-25 10:07:33,-0.35844,0,0,0,0,0,0
total,5278,105,105,105,38467.6,38486.9,38856.0,38889.6,38889.6,38889.6,2023-12-25 10:07:34,-0.35763,0,0,0,0,0,0
total,5395,117,117,117,39247.9,39258.7,39627.8,39661.3,39661.3,39661.3,2023-12-25 10:07:35,-0.35668,0,0,0,0,0,0
total,5499,104,104,104,40086.9,40097.5,40433.1,40466.6,40466.6,40466.6,2023-12-25 10:07:36,-0.35591,0,0,0,0,0,0
total,5591,92,92,92,40826.6,40802.2,41204.8,41272.0,41272.0,41272.0,2023-12-25 10:07:37,-0.35530,0,0,0,0,0,0
total,5685,94,94,94,41660.7,41674.6,42043.7,42077.3,42077.3,42077.3,2023-12-25 10:07:38,-0.35468,0,0,0,0,0,0
total,5792,107,107,107,42417.3,42412.8,42815.5,42849.0,42849.0,42849.0,2023-12-25 10:07:39,-0.35392,0,0,0,0,0,0
total,5902,110,110,110,43262.9,43285.2,43620.8,43654.3,43654.3,43654.3,2023-12-25 10:07:40,-0.35315,0,0,0,0,0,0
total,6010,108,108,108,44029.9,44057.0,44392.5,44426.1,44459.6,44459.6,2023-12-25 10:07:41,-0.35241,0,0,0,0,0,0
total,6129,119,119,119,44804.0,44828.7,45164.3,45197.8,45197.8,45197.8,2023-12-25 10:07:42,-0.35156,0,0,0,0,0,0
total,6235,106,106,106,45556.5,45566.9,45902.5,45936.0,45936.0,45936.0,2023-12-25 10:07:43,-0.35087,0,0,0,0,0,0
total,6336,101,101,101,46369.1,46372.2,46741.3,46774.9,46774.9,46774.9,2023-12-25 10:07:44,-0.35025,0,0,0,0,0,0
total,6454,118,118,118,47125.2,47144.0,47479.5,47513.1,47546.6,47546.6,2023-12-25 10:07:45,-0.34946,0,0,0,0,0,0
total,6535,81,81,81,47952.4,47949.3,48318.4,48351.9,48385.5,48385.5,2023-12-25 10:07:46,-0.34905,0,0,0,0,0,0
total,6646,111,111,111,48723.3,48754.6,49090.1,49123.7,49157.2,49157.2,2023-12-25 10:07:47,-0.34836,0,0,0,0,0,0
total,6748,102,102,102,49495.4,49492.8,49895.4,49962.5,49962.5,49962.5,2023-12-25 10:07:48,-0.34776,0,0,0,0,0,0
total,6850,102,102,102,50338.9,50365.2,50700.7,50734.3,50734.3,50734.3,2023-12-25 10:07:49,-0.34718,0,0,0,0,0,0
total,6966,116,116,116,51114.7,51103.4,51506.1,51539.6,51539.6,51539.6,2023-12-25 10:07:50,-0.34648,0,0,0,0,0,0
total,7069,103,103,103,51911.8,51908.7,52277.8,52277.8,52277.8,52277.8,2023-12-25 10:07:51,-0.34590,0,0,0,0,0,0
total,7177,108,108,108,52694.7,52714.0,53016.0,53083.1,53116.7,53116.7,2023-12-25 10:07:52,-0.34530,0,0,0,0,0,0
