type total,ops,op/s,pk/s,row/s,mean,med,.95,.99,.999,max,time,stderr,errors,gc: #,max ms,sum ms,sdv ms,mb
total,2,2,2,2,3.2,0.7,5.7,5.7,5.7,5.7,2023-12-25 17:48:18,0.00000,0,0,0,0,0,0
total,32,30,30,30,122.3,138.1,335.8,356.0,356.0,356.0,2023-12-25 17:48:19,0.64857,0,0,0,0,0,0
total,70,38,38,38,104.5,145.0,178.1,178.4,178.4,178.4,2023-12-25 17:48:20,0.38228,0,0,0,0,0,0
total,110,40,40,40,97.0,135.0,178.1,178.8,178.8,178.8,2023-12-25 17:48:21,0.27281,0,0,0,0,0,0
total,159,49,49,49,85.8,135.0,178.1,178.1,178.1,178.1,2023-12-25 17:48:22,0.21925,0,0,0,0,0,0
total,191,32,32,32,124.5,145.0,178.3,178.4,178.4,178.4,2023-12-25 17:48:23,0.18409,0,0,0,0,0,0
total,231,40,40,40,96.5,134.9,177.9,269.2,269.2,269.2,2023-12-25 17:48:24,0.15670,0,0,0,0,0,0
total,278,47,47,47,89.4,134.9,178.1,178.3,178.3,178.3,2023-12-25 17:48:25,0.13707,0,0,0,0,0,0
total,310,32,32,32,124.0,157.5,178.0,178.1,178.1,178.1,2023-12-25 17:48:26,0.12415,0,0,0,0,0,0
total,341,31,31,31,126.6,157.5,178.1,178.4,178.4,178.4,2023-12-25 17:48:27,0.11403,0,0,0,0,0,0
total,377,36,36,36,107.4,144.7,177.9,178.3,178.3,178.3,2023-12-25 17:48:28,0.10351,0,0,0,0,0,0
total,418,41,41,41,104.1,145.0,177.9,178.1,178.1,178.1,2023-12-25 17:48:29,0.09447,0,0,0,0,0,0
total,462,44,44,44,90.1,134.9,178.0,178.1,178.1,178.1,2023-12-25 17:48:30,0.08727,0,0,0,0,0,0
total,504,42,42,42,94.7,134.6,177.7,177.9,177.9,177.9,2023-12-25 17:48:31,0.08082,0,0,0,0,0,0
total,549,45,45,45,89.0,134.9,177.9,178.0,178.0,178.0,2023-12-25 17:48:32,0.07563,0,0,0,0,0,0
total,586,37,37,37,106.0,144.8,178.0,178.0,178.0,178.0,2023-12-25 17:48:33,0.07096,0,0,0,0,0,0
total,622,36,36,36,107.4,144.7,177.7,177.9,177.9,177.9,2023-12-25 17:48:34,0.06698,0,0,0,0,0,0
total,656,34,34,34,119.7,144.8,177.9,178.0,178.0,178.0,2023-12-25 17:48:35,0.06376,0,0,0,0,0,0
total,700,44,44,44,94.4,134.6,177.9,177.9,177.9,177.9,2023-12-25 17:48:36,0.06055,0,0,0,0,0,0
total,733,33,33,33,113.6,144.8,177.7,177.9,177.9,177.9,2023-12-25 17:48:37,0.05817,0,0,0,0,0,0
total,778,45,45,45,92.5,134.6,177.7,177.9,177.9,177.9,2023-12-25 17:48:38,0.05568,0,0,0,0,0,0
total,819,41,41,41,99.2,134.9,177.7,177.9,177.9,177.9,2023-12-25 17:48:39,0.05308,0,0,0,0,0,0
total,851,32,32,32,116.4,144.7,177.9,177.9,177.9,177.9,2023-12-25 17:48:40,0.05154,0,0,0,0,0,0
total,910,59,59,59,72.1,0.7,177.7,177.7,177.9,177.9,2023-12-25 17:48:41,0.05333,0,0,0,0,0,0
total,956,46,46,46,89.6,134.5,177.7,178.0,178.0,178.0,2023-12-25 17:48:42,0.05136,0,0,0,0,0,0
total,992,36,36,36,104.4,157.3,177.7,177.7,177.7,177.7,2023-12-25 17:48:43,0.04960,0,0,0,0,0,0
total,1037,45,45,45,85.2,134.5,177.7,178.0,178.0,178.0,2023-12-25 17:48:44,0.04784,0,0,0,0,0,0
total,1078,41,41,41,102.3,134.6,177.7,177.9,177.9,177.9,2023-12-25 17:48:45,0.04608,0,0,0,0,0,0
total,1113,35,35,35,114.4,144.7,177.7,177.9,177.9,177.9,2023-12-25 17:48:46,0.04478,0,0,0,0,0,0
total,1147,34,34,34,113.5,144.7,177.7,177.9,177.9,177.9,2023-12-25 17:48:47,0.04366,0,0,0,0,0,0
total,1186,39,39,39,102.6,144.6,177.7,177.7,177.7,177.7,2023-12-25 17:48:48,0.04225,0,0,0,0,0,0
total,1226,40,40,40,104.2,144.7,177.7,178.0,178.0,178.0,2023-12-25 17:48:49,0.04090,0,0,0,0,0,0
total,1263,37,37,37,108.1,144.7,177.7,177.9,177.9,177.9,2023-12-25 17:48:50,0.03973,0,0,0,0,0,0
total,1297,34,34,34,119.7,144.8,177.7,177.9,177.9,177.9,2023-12-25 17:48:51,0.03886,0,0,0,0,0,0
total,1345,48,48,48,81.2,134.5,177.6,177.7,177.7,177.7,2023-12-25 17:48:52,0.03811,0,0,0,0,0,0
total,1388,43,43,43,95.6,134.5,177.7,178.4,178.4,178.4,2023-12-25 17:48:53,0.03706,0,0,0,0,0,0
total,1427,39,39,39,101.8,144.6,177.6,177.9,177.9,177.9,2023-12-25 17:48:54,0.03606,0,0,0,0,0,0
total,1478,51,51,51,77.0,0.6,177.6,177.7,177.9,177.9,2023-12-25 17:48:55,0.03573,0,0,0,0,0,0
total,1516,38,38,38,106.8,144.7,177.7,177.9,177.9,177.9,2023-12-25 17:48:56,0.03485,0,0,0,0,0,0
total,1549,33,33,33,118.9,144.8,177.7,177.7,177.7,177.7,2023-12-25 17:48:57,0.03434,0,0,0,0,0,0
total,1590,41,41,41,100.7,134.7,177.6,179.4,179.4,179.4,2023-12-25 17:48:58,0.03348,0,0,0,0,0,0
total,1627,37,37,37,104.6,144.6,177.6,177.7,177.7,177.7,2023-12-25 17:48:59,0.03275,0,0,0,0,0,0
total,1671,44,44,44,91.1,134.5,177.6,177.7,177.7,177.7,2023-12-25 17:49:00,0.03203,0,0,0,0,0,0
total,1714,43,43,43,94.0,134.5,177.7,177.9,177.9,177.9,2023-12-25 17:49:01,0.03131,0,0,0,0,0,0
total,1761,47,47,47,82.4,134.3,177.7,178.4,178.4,178.4,2023-12-25 17:49:02,0.03078,0,0,0,0,0,0
total,1811,50,50,50,79.9,134.3,177.6,177.7,177.7,177.7,2023-12-25 17:49:03,0.03048,0,0,0,0,0,0
total,1851,40,40,40,98.0,134.5,177.7,177.9,177.9,177.9,2023-12-25 17:49:04,0.02983,0,0,0,0,0,0
total,1895,44,44,44,95.6,134.5,177.7,178.4,178.4,178.4,2023-12-25 17:49:05,0.02923,0,0,0,0,0,0
total,1938,43,43,43,93.6,134.5,177.6,177.7,177.7,177.7,2023-12-25 17:49:06,0.02863,0,0,0,0,0,0
total,1983,45,45,45,86.5,134.5,177.7,178.0,178.0,178.0,2023-12-25 17:49:07,0.02810,0,0,0,0,0,0
total,2025,42,42,42,97.7,134.5,177.7,177.9,177.9,177.9,2023-12-25 17:49:08,0.02754,0,0,0,0,0,0
total,2064,39,39,39,102.7,144.6,177.6,177.7,177.7,177.7,2023-12-25 17:49:09,0.02703,0,0,0,0,0,0
total,2097,33,33,33,118.6,144.7,177.7,177.9,177.9,177.9,2023-12-25 17:49:10,0.02681,0,0,0,0,0,0
total,2140,43,43,43,98.6,144.4,177.6,177.7,177.7,177.7,2023-12-25 17:49:11,0.02631,0,0,0,0,0,0
total,2175,35,35,35,107.7,144.6,177.6,177.7,177.7,177.7,2023-12-25 17:49:12,0.02599,0,0,0,0,0,0
total,2223,48,48,48,80.8,134.5,177.7,177.7,177.7,177.7,2023-12-25 17:49:13,0.02569,0,0,0,0,0,0
total,2265,42,42,42,99.9,134.5,177.6,177.6,177.6,177.6,2023-12-25 17:49:14,0.02523,0,0,0,0,0,0
total,2299,34,34,34,119.9,144.7,177.7,177.7,177.7,177.7,2023-12-25 17:49:15,0.02499,0,0,0,0,0,0
total,2339,40,40,40,95.6,134.6,177.6,177.6,177.6,177.6,2023-12-25 17:49:16,0.02456,0,0,0,0,0,0
total,2386,47,47,47,85.9,134.5,177.6,177.7,177.7,177.7,2023-12-25 17:49:17,0.02426,0,0,0,0,0,0
total,2432,46,46,46,85.9,134.5,177.6,177.6,177.6,177.6,2023-12-25 17:49:18,0.02393,0,0,0,0,0,0
total,2467,35,35,35,116.8,144.8,177.7,177.7,177.7,177.7,2023-12-25 17:49:19,0.02368,0,0,0,0,0,0
total,2515,48,48,48,82.8,134.3,177.6,177.7,177.7,177.7,2023-12-25 17:49:20,0.02344,0,0,0,0,0,0
total,2553,38,38,38,103.6,157.3,177.6,177.7,177.7,177.7,2023-12-25 17:49:21,0.02311,0,0,0,0,0,0
total,2593,40,40,40,102.9,134.6,177.6,177.9,177.9,177.9,2023-12-25 17:49:22,0.02275,0,0,0,0,0,0
total,2635,42,42,42,94.1,134.5,177.6,177.9,177.9,177.9,2023-12-25 17:49:23,0.02241,0,0,0,0,0,0
total,2682,47,47,47,81.9,134.2,177.5,177.7,177.7,177.7,2023-12-25 17:49:24,0.02216,0,0,0,0,0,0
total,2728,46,46,46,92.4,134.5,177.6,177.6,177.6,177.6,2023-12-25 17:49:25,0.02189,0,0,0,0,0,0
total,2766,38,38,38,104.8,134.5,177.6,177.7,177.7,177.7,2023-12-25 17:49:26,0.02160,0,0,0,0,0,0
total,2806,40,40,40,92.6,134.6,177.6,177.7,177.7,177.7,2023-12-25 17:49:27,0.02130,0,0,0,0,0,0
total,2846,40,40,40,109.0,144.6,177.7,177.7,177.7,177.7,2023-12-25 17:49:28,0.02100,0,0,0,0,0,0
total,2889,43,43,43,89.6,134.5,177.7,177.7,177.7,177.7,2023-12-25 17:49:29,0.02071,0,0,0,0,0,0
total,2924,35,35,35,112.1,144.6,177.7,177.7,177.7,177.7,2023-12-25 17:49:30,0.02054,0,0,0,0,0,0
total,2966,42,42,42,94.5,134.6,177.6,177.6,177.6,177.6,2023-12-25 17:49:31,0.02026,0,0,0,0,0,0
total,3002,36,36,36,114.6,144.7,177.6,177.6,177.6,177.6,2023-12-25 17:49:32,0.02007,0,0,0,0,0,0
total,3039,37,37,37,105.5,144.6,177.6,177.7,177.7,177.7,2023-12-25 17:49:33,0.01985,0,0,0,0,0,0
total,3086,47,47,47,86.5,134.5,177.7,177.9,177.9,177.9,2023-12-25 17:49:34,0.01967,0,0,0,0,0,0
total,3140,54,54,54,74.4,0.7,177.5,177.7,177.7,177.7,2023-12-25 17:49:35,0.01982,0,0,0,0,0,0
total,3181,41,41,41,96.8,144.4,177.7,177.7,177.7,177.7,2023-12-25 17:49:36,0.01956,0,0,0,0,0,0
total,3221,40,40,40,101.3,134.6,177.7,177.9,177.9,177.9,2023-12-25 17:49:37,0.01932,0,0,0,0,0,0
total,3263,42,42,42,98.3,134.5,177.6,177.7,177.7,177.7,2023-12-25 17:49:38,0.01908,0,0,0,0,0,0
total,3307,44,44,44,87.2,134.5,177.7,177.7,177.7,177.7,2023-12-25 17:49:39,0.01886,0,0,0,0,0,0
total,3353,46,46,46,84.3,134.5,177.6,177.6,177.6,177.6,2023-12-25 17:49:40,0.01867,0,0,0,0,0,0
total,3398,45,45,45,92.7,134.5,177.6,177.7,177.7,177.7,2023-12-25 17:49:41,0.01847,0,0,0,0,0,0
total,3436,38,38,38,105.9,144.6,177.6,177.7,177.7,177.7,2023-12-25 17:49:42,0.01828,0,0,0,0,0,0
total,3487,51,51,51,79.3,134.2,177.6,177.7,179.2,179.2,2023-12-25 17:49:43,0.01826,0,0,0,0,0,0
total,3525,38,38,38,100.2,144.6,177.6,177.7,177.7,177.7,2023-12-25 17:49:44,0.01808,0,0,0,0,0,0
total,3564,39,39,39,101.5,134.5,177.7,177.7,177.7,177.7,2023-12-25 17:49:45,0.01789,0,0,0,0,0,0
total,3609,45,45,45,89.4,134.5,177.5,177.7,177.7,177.7,2023-12-25 17:49:46,0.01771,0,0,0,0,0,0
total,3655,46,46,46,85.4,134.3,177.6,177.7,177.7,177.7,2023-12-25 17:49:47,0.01754,0,0,0,0,0,0
total,3711,56,56,56,74.5,0.6,177.6,177.7,177.7,177.7,2023-12-25 17:49:48,0.01775,0,0,0,0,0,0
total,3757,46,46,46,86.8,134.5,177.7,177.7,177.7,177.7,2023-12-25 17:49:49,0.01759,0,0,0,0,0,0
total,3796,39,39,39,102.4,144.4,177.7,177.7,177.7,177.7,2023-12-25 17:49:50,0.01741,0,0,0,0,0,0
