pk/s,row/s,mean,med,.95,.99,.999,max,time,stderr,errors,gc: #,max ms,sum ms,sdv ms,type total
2.0,2.0,414.4,402.7,426.5,426.5,426.5,426.5,1691053942.0,0.8165,0.0,0.0,0.0,0.0,0.0,total
20.0,20.0,218.0,101.1,503.1,801.1,801.1,801.1,1691053943.0,0.82777,0.0,0.0,0.0,0.0,0.0,total
26.0,26.0,164.7,99.0,702.0,705.2,705.2,705.2,1691053944.0,0.53331,0.0,0.0,0.0,0.0,0.0,total
58.0,58.0,68.9,70.6,102.8,272.4,295.2,295.2,1691053945.0,0.4009,0.0,0.0,0.0,0.0,0.0,total
43.0,43.0,94.9,98.3,300.4,398.7,398.7,398.7,1691053946.0,0.32543,0.0,0.0,0.0,0.0,0.0,total
48.0,48.0,83.4,99.4,103.5,124.8,124.8,124.8,1691053947.0,0.28119,0.0,0.0,0.0,0.0,0.0,total
21.0,21.0,175.9,100.2,495.7,498.9,498.9,498.9,1691053948.0,0.25518,0.0,0.0,0.0,0.0,0.0,total
27.0,27.0,153.9,97.8,699.4,703.1,703.1,703.1,1691053949.0,0.22432,0.0,0.0,0.0,0.0,0.0,total
38.0,38.0,95.8,99.4,172.5,292.0,292.0,292.0,1691053950.0,0.20383,0.0,0.0,0.0,0.0,0.0,total
40.0,40.0,112.2,99.3,399.0,492.0,492.0,492.0,1691053951.0,0.18339,0.0,0.0,0.0,0.0,0.0,total
30.0,30.0,93.0,99.2,202.6,295.7,295.7,295.7,1691053952.0,0.17325,0.0,0.0,0.0,0.0,0.0,total
28.0,28.0,128.4,57.7,599.8,898.1,898.1,898.1,1691053953.0,0.24933,0.0,0.0,0.0,0.0,0.0,total
31.0,31.0,89.13333333333333,88.33333333333333,170.16666666666666,363.8333333333333,363.8333333333333,363.8333333333333,1691053954.0,0.61999,0.0,0.0,0.0,0.0,0.0,total
44.666666666666664,44.666666666666664,95.06666666666666,99.33333333333333,136.63333333333335,265.7666666666667,265.7666666666667,265.7666666666667,1691053955.0,0.43750333333333336,0.0,0.0,0.0,0.0,0.0,total
27.666666666666668,27.666666666666668,144.6,99.26666666666667,434.8,531.7666666666668,531.7666666666668,531.7666666666668,1691053956.0,0.34298,0.0,0.0,0.0,0.0,0.0,total
49.0,49.0,83.16666666666667,98.23333333333333,132.33333333333334,162.29999999999998,163.06666666666666,163.06666666666666,1691053957.0,0.28035666666666664,0.0,0.0,0.0,0.0,0.0,total
22.333333333333332,22.333333333333332,117.96666666666665,99.66666666666667,262.93333333333334,399.0,399.0,399.0,1691053958.0,0.24527666666666667,0.0,0.0,0.0,0.0,0.0,total
28.333333333333332,28.333333333333332,189.9,98.63333333333333,900.4,1034.1000000000001,1034.1000000000001,1034.1000000000001,1691053959.0,-2.594023333333334,0.0,0.0,0.0,0.0,0.0,total
30.0,30.0,98.725,96.55,246.9,323.85,323.85,323.85,1691053960.0,3.2486125,0.0,0.0,0.0,0.0,0.0,total
44.0,44.0,95.525,98.19999999999999,199.7,277.0,277.0,277.0,1691053961.0,1.28712,0.0,0.0,0.0,0.0,0.0,total
34.4,34.4,92.62,84.64000000000001,192.4,319.47999999999996,319.47999999999996,319.47999999999996,1691053962.0,0.6807079999999999,0.0,0.0,0.0,0.0,0.0,total
55.8,55.8,78.08,88.47999999999999,116.74000000000001,222.16,235.38000000000002,235.38000000000002,1691053963.0,0.602568,0.0,0.0,0.0,0.0,0.0,total
55.6,55.6,89.96000000000001,84.3,250.58,312.9,313.0,313.0,1691053964.0,0.4874899999999999,0.0,0.0,0.0,0.0,0.0,total
43.0,43.0,103.63333333333333,86.13333333333333,362.8666666666666,440.68333333333334,440.7166666666667,440.7166666666667,1691053965.0,0.45371333333333336,0.0,0.0,0.0,0.0,0.0,total
37.285714285714285,37.285714285714285,119.85714285714286,77.54285714285713,441.7857142857143,522.2142857142857,542.9571428571428,542.9571428571428,1691053966.0,0.3988757142857143,0.0,0.0,0.0,0.0,0.0,total
48.0,48.0,95.44285714285715,80.85714285714286,251.79999999999998,413.0571428571429,413.2428571428572,413.2428571428572,1691053967.0,0.3256071428571429,0.0,0.0,0.0,0.0,0.0,total
36.714285714285715,36.714285714285715,116.77142857142857,81.34285714285714,344.7714285714286,460.7,461.34285714285716,461.34285714285716,1691053968.0,0.2823171428571428,0.0,0.0,0.0,0.0,0.0,total
46.0,46.0,96.14285714285714,83.77142857142857,262.5571428571429,343.2,438.9714285714286,438.9714285714286,1691053969.0,0.2509328571428572,0.0,0.0,0.0,0.0,0.0,total
48.142857142857146,48.142857142857146,96.97142857142856,74.81428571428572,252.08571428571426,457.38571428571424,478.2857142857143,478.2857142857143,1691053970.0,0.23693,0.0,0.0,0.0,0.0,0.0,total
42.57142857142857,42.57142857142857,100.89999999999999,81.02857142857144,317.88571428571424,429.1857142857143,460.57142857142856,460.57142857142856,1691053971.0,0.22574285714285716,0.0,0.0,0.0,0.0,0.0,total
