pk/s,row/s,mean,med,.95,.99,.999,max,time,stderr,errors,gc: #,max ms,sum ms,sdv ms,type total,src_port,dst_port,protocol,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,Src IP,Src Port,Dst IP,Dst Port,Label
67.0,67.0,27.4,19.8,60.3,108.7,109.0,109.0,1702926029.0,0.0,0.0,0.0,0.0,0.0,0.0,total,43806.5,9042.0,6.0,90348909.125,3770.129214196324,21.48728318016209,13.054062828497043,8.433220351665046,1175.875,759.625,120310.625,219312.625,196.0,66.0,92.3528327510461,32.66503039833231,569.875,66.0,374.36893003518657,169.68436330566067,569.875,66.0,227.886795487732,193.5007126220819,149681.0615438738,23517.5,15192.5,20.0,734.875,2007794.8002236225,16843434.375,2.625,4976247.393401607,90348909.125,16843434.375,30.0,3750491.1337938495,6307718.051948894,75035594.5,16849955.375,263.375,3319677.915034492,5963089.982919926,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7515260030330594,227.886795487732,64800.0,501.875,1431602.0,150946.25,579312.3035714286,405633.7537193431,9217185.875,61112.0,4228087.701704546,4266944.187566974,0.0,0.0,4013.5,2.125,0.0,52670.60367454069,92.3528327510461,374.36893003518657,0.0,1175.875,759.625,120310.625,219312.625,,,,,
159.0,159.0,24.9,19.5,60.2,60.6,60.7,60.7,1702926030.0,0.27212,0.0,0.0,0.0,0.0,0.0,total,45005.64705882353,8507.323529411764,6.0,88125202.8235294,239057.64653599449,3698.209954092071,1850.069941269344,1848.140012822727,1065.8823529411766,891.9411764705883,230084.0588235294,108827.76470588236,357.7058823529412,97.52941176470588,135.8252001255525,43.77319018292044,183.08823529411765,65.6470588235294,145.7347231988731,30.996781659416424,407.55882352941177,65.6470588235294,133.14227395142575,75.63300308486994,7218.644786629108,21317.647058823528,17838.823529411766,20.0,908.470588235294,2095448.533420582,14375878.76470588,3.7058823529411766,4785387.506490942,88124650.52941176,14376987.352941176,1319.3823529411766,3817178.711836349,5921953.658688604,75504593.85294117,14298541.76470588,1229.529411764706,3645905.93902208,5853070.905021912,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7587991791225154,133.14227395142575,49672.23529411765,2454.1176470588234,527186.3823529412,110486.73529411764,295807.5906862745,144230.16073288998,2628526.4411764704,480123.2647058824,1440505.0314171123,944887.2268116844,73065.79411764706,336.72058823529414,0.0,0.0,1651.5167357847906,0.0,135.8252001255525,145.7347231988731,0.0,1065.8823529411766,891.9411764705883,230084.0588235294,108827.76470588236,,,,,
146.0,146.0,26.9,19.5,60.0,60.9,60.9,60.9,1702926034.0,0.09669,0.0,0.0,0.0,0.0,0.0,total,59956.0,9042.0,6.0,90610223.0,1075.5960726418257,1.1367370765658529,0.518705267947525,0.6180318086183277,47.0,56.0,4239.0,93221.0,476.0,66.0,90.19148936170212,63.09588727800588,2922.0,66.0,1664.6607142857142,892.9126952360883,2922.0,66.0,946.2135922330098,1024.8428972711358,1050302.964087096,940.0,1120.0,20.0,8.0,888335.4117647059,30018653.0,-11.0,5066384.768766365,90610223.0,30018653.0,1.0,1969787.456521739,7401781.898752961,60590555.0,30037660.0,2.0,1101646.4545454546,5619372.656840574,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1914893617021276,946.2135922330098,64800.0,501.0,0.0,0.0,0.0,0.0,30018653.0,43093.0,15030873.0,14987780.0,0.0,0.0,41308.5,22.5,0.0,237156.4307550988,90.19148936170212,1664.6607142857142,0.0,47.0,56.0,4239.0,93221.0,,,,,
150.0,150.0,26.7,19.5,60.0,61.8,64.3,64.3,1702926035.0,0.08261,0.0,0.0,0.0,0.0,0.0,total,51551.25,9042.0,6.0,91128038.375,2149.707318197255,12.795173418100632,7.89736647079526,4.897806947305372,711.46875,441.21875,72070.21875,121568.3125,156.8125,66.0,90.8686768236428,29.567990681370414,232.71875,66.0,177.72202285186327,43.702502326615935,232.71875,66.0,123.494714280939,62.56160460212545,4544.084950322895,14229.375,8824.375,20.0,433.53125,2723339.4852534207,18265605.75,4.15625,6192913.187731022,91128038.375,18265605.75,712.625,4972557.558464926,7666123.219721483,74685768.0,18288104.3125,168.75,4691679.921396737,7526222.100173334,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6829644055060851,123.494714280939,64800.0,502.0,1834285.0,352266.5625,943790.8666666668,621029.0489771332,3309234.46875,422133.28125,1509380.1136679293,1144363.78396994,0.0,0.0,0.0,0.0,0.0,0.0,90.8686768236428,177.72202285186327,0.0,711.46875,441.21875,72070.21875,121568.3125,,,,,
121.0,121.0,25.33333333333333,19.766666666666666,57.66666666666666,94.53333333333336,98.8,98.8,1702926036.0,0.02404,0.0,0.0,0.0,0.0,0.0,total,51445.52941176471,8987.79411764706,6.0,88854415.47058824,181371.07883439388,2813.4097046695338,1408.123255576755,1405.2864490927784,681.7941176470588,426.02941176470586,69219.64705882352,119997.20588235294,163.0,66.23529411764706,90.6421990872447,29.531479606473656,300.2352941176471,65.6470588235294,220.76773020940607,69.81084034713807,300.8235294117647,65.6470588235294,146.39331196215815,91.32683081460652,38498.51143292948,13635.882352941177,8520.588235294117,20.0,417.7058823529412,2535662.8454542067,17503409.38235294,3.852941176470588,5837660.704341543,88854414.85294117,17503409.38235294,606.1176470588235,4642007.023922458,7254967.02275347,71861484.20588236,17221019.79411765,273.61764705882354,4320604.839708917,7017775.437546373,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7028743228396536,146.39331196215815,64800.0,487.2058823529412,812937.9705882353,83835.0,435475.6963235294,260657.6270155069,4476388.911764706,333828.26470588235,2264013.2502513826,1850335.279645828,0.0,0.0,944.4411764705884,0.5098039215686274,0.0,11492.767763128228,90.6421990872447,220.76773020940607,0.0,681.7941176470588,426.02941176470586,69219.64705882352,119997.20588235294,,,,,
156.66666666666666,156.66666666666666,25.4,19.766666666666666,58.23333333333333,59.5,65.43333333333334,65.43333333333334,1702926037.0,0.1145133333333333,0.0,0.0,0.0,0.0,0.0,total,51026.4,8936.685714285713,6.0,85976324.88571429,649057.4065919645,10121.735168346831,5062.228007742979,5059.507160603854,656.2285714285714,411.0571428571429,66671.74285714286,115713.05714285714,161.2,66.45714285714286,90.02271135867205,28.61806483714737,293.2,65.31428571428572,215.36051942234752,67.18682132333024,294.3428571428572,65.31428571428572,143.093681501473,88.35637868461953,36791.71851313594,13124.57142857143,8221.142857142857,20.0,402.8857142857143,2481500.0311436355,17012743.4,3.742857142857143,5722299.689844088,85976324.22857143,17012743.4,365.9428571428571,4555760.949719811,7117223.408959135,70116542.2,17020335.085714284,253.22857142857143,4249505.091888528,6921925.06705515,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7138218701245483,143.093681501473,64800.0,473.2857142857143,1032815.3714285714,101780.74285714286,463389.4026190476,332393.73424863897,6892066.114285714,278629.45714285714,3461680.5903061223,3127715.447773225,0.0,0.0,903.7714285714286,0.4666666666666666,0.0,11987.418364640043,90.02271135867205,215.36051942234752,0.0,656.2285714285714,411.0571428571429,66671.74285714286,115713.05714285714,,,,,
141.2,141.2,23.1,19.54,56.620000000000005,57.4,58.120000000000005,58.120000000000005,1702926041.0,0.042844,0.0,0.0,0.0,0.0,0.0,total,32902.0,9042.0,6.0,90213360.0,811.2545636256094,0.4877326373831991,0.2549511513593995,0.2327814860237995,23.0,21.0,2267.0,70919.0,476.0,66.0,98.56521739130434,88.59523300894502,23531.0,66.0,3377.095238095238,5820.430894740827,23531.0,66.0,1663.3181818181818,4342.177714908873,18854507.30785124,460.0,420.0,20.0,8.0,2097985.11627907,30037774.0,3.0,7641229.60380209,90213360.0,30037774.0,12.0,4100607.272727273,10291298.651235225,60212107.0,30045312.0,19.0,3010605.35,9005489.040506253,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9130434782608696,1663.3181818181818,64800.0,501.0,0.0,0.0,0.0,0.0,30037774.0,40920.0,15039347.0,14998427.0,0.0,0.0,44247.0,5.0,0.0,8660598.943041692,98.56521739130434,3377.095238095238,0.0,23.0,21.0,2267.0,70919.0,,,,,
164.0,164.0,24.56,19.6,58.720000000000006,69.28,72.76,72.76,1702926042.0,0.115822,0.0,0.0,0.0,0.0,0.0,total,39032.66666666666,8986.151515151516,6.0,88047450.75757575,433090.3775714784,6746.558710672757,3374.7283636222687,3371.8303470504884,696.1818181818181,434.969696969697,70681.36363636363,119790.72727272728,154.3030303030303,66.24242424242425,90.61512352155108,28.64756511950848,227.3030303030303,65.63636363636364,176.40744027028677,42.41298593571952,227.9090909090909,65.63636363636364,122.66516211760958,61.500335578291455,4480.538479034623,13923.636363636364,8699.39393939394,20.0,426.93939393939394,2601408.297808116,17374313.727272727,4.696969696969697,5914428.151590515,88047450.48484848,17374313.727272727,649.3939393939394,4718351.413692239,7304536.160298742,71779824.12121212,17302462.575757574,317.6060606060606,4506946.138475107,7190426.2449489385,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6835658976987018,122.66516211760958,64800.0,486.7878787878788,2038923.1818181816,664234.303030303,1287706.3064935063,599689.5806626034,5046437.787878788,527398.4848484849,2542853.791053391,1992349.7421292276,0.0,0.0,0.0,0.0,0.0,0.0,90.61512352155108,176.40744027028677,0.0,696.1818181818181,434.969696969697,70681.36363636363,119790.72727272728,,,,,
166.6,166.6,24.48,19.54,58.9,70.2,94.36,94.36,1702926045.0,0.059892,0.0,0.0,0.0,0.0,0.0,total,39375.294117647056,9042.0,6.0,90521634.70588236,2171.409554262834,12.551131746258472,7.707862650067224,4.84326909619125,694.5882352941177,436.38235294117646,70691.64705882352,124966.85294117648,176.35294117647058,66.0,91.06095337337104,31.92493659243149,855.9117647058823,66.0,323.49818907890267,226.6835742397763,855.9117647058823,66.0,191.73367923205663,207.26188727633203,504349.85744603176,13891.764705882351,8727.64705882353,20.0,428.38235294117646,2681790.547358653,18263329.61764706,4.235294117647059,6178142.914780982,90520286.44117647,18263329.61764706,1152.6470588235295,4839018.53166063,7643640.363160833,73121956.97058824,18262356.47058824,331.2647058823529,4646931.076389802,7499462.647966141,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6823069426733956,191.73367923205663,64800.0,501.9411764705882,1038685.4411764706,130325.70588235294,448082.44852941175,327816.57985674794,6133663.5,103298.5,3015292.5432692305,2898784.3355299523,0.0,0.0,2245.735294117647,0.6666666666666667,0.0,1721562.9999063506,91.06095337337104,323.49818907890267,0.0,694.5882352941177,436.38235294117646,70691.64705882352,124966.85294117648,,,,,
153.71428571428572,153.71428571428572,24.3,19.65714285714285,58.471428571428575,71.9857142857143,76.51428571428572,76.51428571428572,1702926046.0,0.1386528571428571,0.0,0.0,0.0,0.0,0.0,total,39013.41176470588,8933.588235294117,6.0,85482950.20588236,613207.6894092623,9561.4797767232,4782.159329663681,4779.320447059517,677.7647058823529,421.9705882352941,68752.79411764706,116294.5588235294,152.7058823529412,66.47058823529412,89.93156760083404,27.786333851535584,222.2058823529412,65.29411764705883,172.62327713318265,40.26194345967237,223.3823529411765,65.29411764705883,120.68275931644766,59.79243160014598,4329.819657268968,13555.29411764706,8439.411764705883,20.0,414.5882352941176,2508206.173532665,16568574.23529412,4.294117647058823,5723305.477980855,85482949.47058824,16568574.23529412,1475.529411764706,4576937.39123045,7088825.482523578,69516046.91176471,16591643.411764706,194.64705882352945,4278101.472766198,6914704.532864401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6972178206106364,120.68275931644766,64800.0,472.4705882352941,1757787.5294117648,709337.2647058824,1158611.8529411764,389518.00543005153,2923605.7352941176,688137.5294117647,1611823.685503222,906304.5628863466,0.0,0.0,0.0,0.0,0.0,0.0,89.93156760083404,172.62327713318265,0.0,677.7647058823529,421.9705882352941,68752.79411764706,116294.5588235294,,,,,
