Src IP,Src Port,Dst IP,Dst Port,Protocol,time,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
201.54.158.2,60304,10.50.75.153,9042,6,2023-07-19 13:37:47,90017018.0,1579,1053,330856,81567,810.0,66.0,209.5351488283724,127.58832031264726,172.0,66.0,77.46153846153847,5.777916854645363,4581.611445960141,29.23891569036424,34213.993918662105,85384.07698536247,3924290.0,2.0,90017018.0,57045.005069708495,107831.72428406564,3924290.0,2.0,89899793.0,85456.07699619772,130949.20046696003,3966968.0,115.0,0,0,0,0,31580,21060,17.541127612114412,11.697788078249827,66,810,156.6956686930091,118.178158791218,13966.077215282334,1,0,0,0,0,0,0,0.6668777707409753,156.6956686930091,0.0,0.0,0.0,0.0,0.0,0.0,64860,3164,901,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NeedManualLabel
201.54.158.2,60312,10.50.75.153,9042,6,2023-07-19 13:37:47,90013890.0,1397,870,278652,67277,810.0,66.0,199.46456692913387,129.45186322872286,132.0,66.0,77.32988505747126,5.2003893519692905,3843.062442918532,25.18500200357967,39723.693733451015,103293.7213554139,4358005.0,2.0,90013890.0,64479.86389684814,128858.784680822,4358005.0,2.0,89896264.0,103447.94476409667,162486.4424308276,4401202.0,80.0,0,0,0,0,27940,17400,15.519826995589236,9.665175007990433,66,810,152.59329510366123,117.74875313776664,13864.76886549871,1,0,0,0,0,0,0,0.6227630637079457,152.59329510366123,0.0,0.0,0.0,0.0,0.0,0.0,64860,3117,739,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NeedManualLabel
201.54.158.2,60310,10.50.75.153,9042,6,2023-07-19 13:37:47,90120109.0,1050,650,203422,50014,562.0,66.0,193.7352380952381,125.68494396398093,132.0,66.0,76.94461538461539,5.404272690530102,2812.2025462707775,18.863714423603284,53043.030606238965,130794.69803956496,4359823.0,7.0,90120109.0,85910.49475691134,160627.811512463,4359823.0,7.0,89918122.0,138548.72419106317,204181.4682282008,4402255.0,136.0,0,0,0,0,21000,13000,11.651117732225558,7.212596691377726,66,562,149.08,113.97007636165885,12989.178305882351,1,0,0,0,0,0,0,0.6190476190476191,149.08,0.0,0.0,0.0,0.0,0.0,0.0,64860,2838,539,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NeedManualLabel
201.54.158.2,60328,10.50.75.153,9042,6,2023-07-19 13:37:47,91019069.0,677,420,129452,32247,562.0,66.0,191.21418020679468,125.24084887640355,132.0,66.0,76.77857142857142,5.859141645013076,1776.5398149699818,12.052419477065843,83046.5958029197,203851.64387397122,4359205.0,5.0,91019069.0,134643.59319526626,248227.35674992582,4359205.0,5.0,89918420.0,214602.43436754178,306465.8311762134,4402573.0,255.00000000000003,0,0,0,0,13540,8400,7.438001810367891,4.614417666697953,66,562,147.40109389243392,113.0809663009248,12787.304939550892,1,0,0,0,0,0,0,0.620384047267356,147.40109389243392,0.0,0.0,0.0,0.0,0.0,0.0,64860,1171,342,20,0.0,0.0,0.0,0.0,2280349.0,2078856.0,4359205.0,201493.0,NeedManualLabel
201.54.158.2,60336,10.50.75.153,9042,6,2023-07-19 13:37:47,90960439.0,355,244,66784,18460,314.0,66.0,188.12394366197182,123.58025899235098,132.0,66.0,75.65573770491804,6.88461160232063,937.1546678661039,6.585280442632868,152107.7575250836,380158.8222245235,4364814.0,3.0,90960439.0,256950.39265536724,468032.0252945734,4364814.0,3.0,88837325.0,365585.6995884774,540103.4786061284,4407107.0,235.0,0,0,0,0,7100,4880,3.902795587870899,2.6824848547619697,66,314,142.31051752921536,110.10929646573706,12124.057168179575,1,0,0,0,0,0,0,0.6873239436619718,142.31051752921536,0.0,0.0,0.0,0.0,0.0,0.0,64860,501,177,20,1383200.142857143,1101097.0809605466,3332934.0,225728.0,980010.4166666666,1295566.6861777422,4364814.0,45503.0,NeedManualLabel
201.54.158.2,60340,10.50.75.153,9042,6,2023-07-19 13:37:47,91054987.0,169,127,31444,9529,314.0,66.0,186.05917159763314,123.08359136464566,132.0,66.0,75.03149606299213,8.0538903475463,449.98084509089,3.2507829582140295,308660.9728813559,804638.8927091936,6917357.0,16.0,91054987.0,541993.9702380953,1006404.4724986407,6917357.0,146.0,88840130.0,705080.3968253968,1125565.8509297057,6961467.0,198.0,0,0,0,0,3380,2540,1.8560213511424697,1.39476160707156,66,314,138.4222972972973,108.15339164562596,11697.156124452154,1,0,0,0,0,0,0,0.7514792899408284,138.4222972972973,0.0,0.0,0.0,0.0,0.0,0.0,64860,501,84,20,2429370.4,1456115.623437109,5558943.0,593500.0,1887253.142857143,1615224.0950083525,5261015.0,78506.0,NeedManualLabel
201.54.158.2,60346,10.50.75.153,9042,6,2023-07-19 13:37:47,91136336.0,35,29,5745,2282,314.0,66.0,164.14285714285714,116.73734690862777,171.0,66.0,78.6896551724138,21.544026211419613,88.07683468863615,0.7022446019774155,1446608.507936508,4431797.6258765925,30015985.0,11.0,91136336.0,2680480.470588235,5752364.265783444,30015985.0,177.0,88715679.0,3168417.1071428573,6246462.783212658,30060549.0,190.0,0,0,0,0,700,580,0.3840400167063991,0.31820458527101636,66,314,125.421875,97.32641674532344,9472.431396484375,1,0,0,0,0,0,0,0.8285714285714286,125.421875,0.0,0.0,0.0,0.0,0.0,0.0,64860,501,17,20,11811080.0,7932055.984611093,22962917.0,5184606.0,6109197.714285715,5647518.291337297,17326814.0,278076.0,NeedManualLabel
201.54.158.2,60342,10.50.75.153,9042,6,2023-07-19 13:37:47,91138877.0,78,61,14278,4588,562.0,66.0,183.05128205128204,128.24894635803483,132.0,66.0,75.21311475409836,9.762952311636605,207.0027700692428,1.5251449718872443,660426.6449275363,2207422.508522654,21815782.0,8.0,91138877.0,1183621.7792207792,2849081.5097999596,21815782.0,1434.0,88716865.0,1478614.4166666667,3174225.7135303426,21858418.0,207.0,0,0,0,0,1560,1220,0.8558367468144248,0.6693082250728194,66,562,135.72661870503597,110.16036745414202,12135.306557631593,1,0,0,0,0,0,0,0.782051282051282,135.72661870503597,0.0,0.0,0.0,0.0,0.0,0.0,64860,501,38,20,7337702.6,6665364.289682796,20501825.0,2200927.0,3906498.5,5083238.986319968,17960990.0,311061.0,NeedManualLabel
201.54.158.2,52032,10.50.75.153,9042,6,2023-07-19 13:37:48,90006964.0,1585,1060,336460,82302,1058.0,66.0,212.2776025236593,130.13578895812512,172.0,66.0,77.64339622641509,5.7477808493418765,4652.55110704545,29.38661501792239,34041.96822995461,92040.6714525169,4334939.0,2.0,90006964.0,56822.57828282828,116564.03231140113,4334939.0,2.0,89888583.0,84880.62606232295,141519.88135561178,4377594.0,115.0,0,0,0,0,31700,21200,17.609748507904346,11.776866510018047,66,1058,158.32211720226843,120.47691863144433,14514.687922927658,1,0,0,0,0,0,0,0.668769716088328,158.32211720226843,0.0,0.0,0.0,0.0,0.0,0.0,64860,3245,914,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NeedManualLabel
201.54.158.2,52072,10.50.75.153,9042,6,2023-07-19 13:37:48,90024727.0,164,133,31114,9938,562.0,66.0,189.71951219512195,131.9421782439643,132.0,66.0,74.7218045112782,8.523610184559445,456.008047655618,3.299093592363796,304137.5912162162,778700.3959493324,5254077.0,14.0,90024727.0,552298.9386503068,983530.8192249354,5254077.0,352.0,89980892.0,681673.4242424242,1082001.8177523948,5340333.0,278.0,0,0,0,0,3280,2660,1.821721714301894,1.4773718780619018,66,562,138.22222222222223,113.6465566696729,12915.539842873175,1,0,0,0,0,0,0,0.8109756097560976,138.22222222222223,0.0,0.0,0.0,0.0,0.0,0.0,64860,501,81,20,1497618.6363636365,1282611.7041744639,4197559.0,47436.0,1465664.5384615385,1324790.424322197,4809729.0,99262.0,NeedManualLabel
