type total,ops,op/s,pk/s,row/s,mean,med,.95,.99,.999,max,time,stderr,errors,gc: #,max ms,sum ms,sdv ms,mb
total,21,21,21,21,298.1,310.9,347.1,352.1,352.1,352.1,2023-07-18 22:50:50,0.00000,0,0,0,0,0,0
total,196,175,175,175,705.1,706.2,988.3,999.3,1007.7,1007.7,2023-07-18 22:50:51,-0.70912,0,0,0,0,0,0
total,338,142,142,142,1352.0,1343.2,1686.1,1708.1,1712.3,1712.3,2023-07-18 22:50:52,-0.80762,0,0,0,0,0,0
total,450,112,112,112,2105.9,2090.9,2344.6,2478.8,2518.7,2518.7,2023-07-18 22:50:53,-0.85398,0,0,0,0,0,0
total,607,157,157,157,2825.2,2801.8,3166.7,3183.5,3187.7,3187.7,2023-07-18 22:50:54,-0.87933,0,0,0,0,0,0
total,743,136,136,136,3551.7,3443.5,3911.2,3919.6,3940.5,3940.5,2023-07-18 22:50:55,-0.89592,0,0,0,0,0,0
total,885,142,142,142,4275.8,4253.0,4617.9,4626.3,4630.5,4630.5,2023-07-18 22:50:56,-0.90731,0,0,0,0,0,0
total,1057,172,172,172,4962.6,4953.5,5263.9,5280.6,5280.6,5280.6,2023-07-18 22:50:57,-0.91528,0,0,0,0,0,0
total,1211,154,154,154,5615.1,5612.0,5905.6,5943.3,5960.1,5960.1,2023-07-18 22:50:58,-0.92144,0,0,0,0,0,0
total,1347,136,136,136,6415.0,6421.5,6668.9,6689.9,6694.1,6694.1,2023-07-18 22:50:59,-0.92639,0,0,0,0,0,0
total,1498,151,151,151,7090.9,7109.3,7377.8,7394.6,7402.9,7402.9,2023-07-18 22:51:00,-0.93024,0,0,0,0,0,0
total,1616,118,118,118,7814.6,7759.5,8162.1,8183.1,8191.5,8191.5,2023-07-18 22:51:01,-0.93359,0,0,0,0,0,0
total,1788,172,172,172,8503.5,8480.9,8816.4,8824.8,8833.2,8833.2,2023-07-18 22:51:02,-0.93605,0,0,0,0,0,0
total,1986,198,198,198,9144.3,9168.7,9412.0,9428.8,9428.8,9428.8,2023-07-18 22:51:03,-0.93796,0,0,0,0,0,0
total,2177,191,191,191,9774.6,9797.9,10041.2,10049.6,10049.6,10049.6,2023-07-18 22:51:04,-0.93959,0,0,0,0,0,0
total,2364,187,187,187,10490.3,10519.3,10678.7,10678.7,10687.1,10687.1,2023-07-18 22:51:05,-0.94097,0,0,0,0,0,0
total,2546,182,182,182,11034.2,11123.3,11307.8,11316.2,11324.6,11324.6,2023-07-18 22:51:06,-0.94217,0,0,0,0,0,0
total,2766,220,220,220,11539.8,11542.7,11769.2,11844.7,11853.1,11853.1,2023-07-18 22:51:07,-0.94303,0,0,0,0,0,0
total,2966,200,200,200,12272.1,12272.5,12473.9,12482.2,12482.2,12482.2,2023-07-18 22:51:08,-0.94384,0,0,0,0,0,0
total,3196,230,230,230,12741.5,12742.3,13010.7,13019.1,13019.1,13019.1,2023-07-18 22:51:09,-0.94442,0,0,0,0,0,0
total,3426,230,230,230,13308.5,13321.1,13547.6,13556.0,13564.4,13564.4,2023-07-18 22:51:10,-0.94490,0,0,0,0,0,0
total,3596,170,170,170,13805.2,13740.5,14210.3,14218.7,14227.1,14227.1,2023-07-18 22:51:11,-0.94550,0,0,0,0,0,0
total,3813,217,217,217,14434.8,14428.4,14755.6,14780.7,14822.7,14822.7,2023-07-18 22:51:12,-0.94588,0,0,0,0,0,0
total,4058,245,245,245,15063.5,15091.1,15267.3,15284.0,15292.4,15292.4,2023-07-18 22:51:13,-0.94612,0,0,0,0,0,0
total,4208,150,150,150,15504.2,15485.4,15980.3,16022.2,16039.0,16039.0,2023-07-18 22:51:14,-0.94658,0,0,0,0,0,0
total,4472,264,264,264,16230.5,16240.3,16450.1,16458.4,16466.8,16466.8,2023-07-18 22:51:15,-0.94668,0,0,0,0,0,0
total,4730,258,258,258,16703.0,16701.7,16936.6,16953.4,16953.4,16953.4,2023-07-18 22:51:16,-0.94676,0,0,0,0,0,0
total,4958,228,228,228,17154.5,17154.7,17347.6,17448.3,17481.9,17481.9,2023-07-18 22:51:17,-0.94688,0,0,0,0,0,0
total,5161,203,203,203,17894.4,17901.3,18085.8,18085.8,18102.6,18102.6,2023-07-18 22:51:18,-0.94703,0,0,0,0,0,0
total,5347,186,186,186,18493.5,18522.0,18706.6,18723.4,18723.4,18723.4,2023-07-18 22:51:19,-0.94720,0,0,0,0,0,0
total,5612,265,265,265,18957.1,18975.0,19176.4,19193.1,19193.1,19193.1,2023-07-18 22:51:20,-0.94716,0,0,0,0,0,0
total,5780,168,168,168,19667.3,19713.2,19847.4,19847.4,19864.2,19864.2,2023-07-18 22:51:21,-0.94733,0,0,0,0,0,0
total,6030,250,250,250,20099.2,20099.1,20334.0,20350.8,20350.8,20350.8,2023-07-18 22:51:22,-0.94729,0,0,0,0,0,0
total,6287,257,257,257,20594.6,20585.6,20820.5,20837.3,20837.3,20837.3,2023-07-18 22:51:23,-0.94723,0,0,0,0,0,0
total,6459,172,172,172,21188.5,21323.8,21491.6,21491.6,21491.6,21491.6,2023-07-18 22:51:24,-0.94732,0,0,0,0,0,0
total,6645,186,186,186,21765.2,21709.7,22112.4,22112.4,22129.1,22129.1,2023-07-18 22:51:25,-0.94738,0,0,0,0,0,0
total,6895,250,250,250,22390.3,22414.4,22615.7,22615.7,22632.5,22632.5,2023-07-18 22:51:26,-0.94730,0,0,0,0,0,0
total,7073,178,178,178,22850.1,22766.7,23253.2,23270.0,23270.0,23270.0,2023-07-18 22:51:27,-0.94735,0,0,0,0,0,0
total,7318,245,245,245,23530.7,23538.4,23756.5,23773.3,23773.3,23773.3,2023-07-18 22:51:28,-0.94726,0,0,0,0,0,0
total,7556,238,238,238,24053.5,24075.3,24293.4,24293.4,24310.2,24310.2,2023-07-18 22:51:29,-0.94718,0,0,0,0,0,0
total,7733,177,177,177,24493.7,24494.7,24662.5,24696.1,24729.6,24729.6,2023-07-18 22:51:30,-0.94719,0,0,0,0,0,0
total,7958,225,225,225,25230.4,25249.7,25434.3,25467.8,25484.6,25484.6,2023-07-18 22:51:31,-0.94712,0,0,0,0,0,0
total,8142,184,184,184,25891.0,25887.2,26122.1,26122.1,26122.1,26122.1,2023-07-18 22:51:32,-0.94712,0,0,0,0,0,0
total,8396,254,254,254,26381.9,26390.6,26608.7,26625.4,26625.4,26625.4,2023-07-18 22:51:33,-0.94699,0,0,0,0,0,0
total,8563,167,167,167,26912.5,26793.2,27263.0,27279.8,27296.5,27296.5,2023-07-18 22:51:34,-0.94700,0,0,0,0,0,0
total,8846,283,283,283,27492.6,27497.9,27699.2,27716.0,27716.0,27716.0,2023-07-18 22:51:35,-0.94682,0,0,0,0,0,0
total,9092,246,246,246,27967.8,27967.6,28202.5,28219.3,28219.3,28219.3,2023-07-18 22:51:36,-0.94670,0,0,0,0,0,0
total,9271,179,179,179,28666.2,28705.8,28856.8,28873.6,28873.6,28873.6,2023-07-18 22:51:37,-0.94667,0,0,0,0,0,0
total,9533,262,262,262,29109.6,29108.5,29343.4,29343.4,29343.4,29343.4,2023-07-18 22:51:38,-0.94652,0,0,0,0,0,0
total,9699,166,166,166,29545.4,29544.7,29729.2,29779.6,29813.1,29813.1,2023-07-18 22:51:39,-0.94650,0,0,0,0,0,0
total,9877,178,178,178,30262.8,30282.9,30433.9,30450.6,30484.2,30484.2,2023-07-18 22:51:40,-0.94646,0,0,0,0,0,0
total,10091,214,214,214,31025.1,31021.1,31222.4,31222.4,31239.2,31239.2,2023-07-18 22:51:41,-0.94637,0,0,0,0,0,0
total,10335,244,244,244,31489.4,31474.1,31725.7,31742.5,31742.5,31742.5,2023-07-18 22:51:42,-0.94624,0,0,0,0,0,0
