time,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
2023-07-19 13:38:06,91918703.5,575.875,395.625,112855.625,30133.125,469.0,66.0,188.9113705416094,125.22382274201762,137.0,66.0,75.24622844585797,7.745402110468325,1584.6597176709654,10.763234076787139,335825.160706783,818918.7176087967,6869305.125,7.25,91918703.5,306461242.57453,1040349.3023448903,6869305.125,2049.875,89451874.0,677396.253277168,1072867.4116887776,6923641.5,108.25,0.0,0.0,0.0,0.0,11517.5,7912.5,6.381999783685763,4.381234293101375,66.0,469.0,139.9341710031621,109.92210472782496,12116.941119280667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7700005144997808,139.9341710031621,0.0,0.0,0.0,0.0,0.0,0.0,64860.0,1345.125,299.75,20.0,1678601.7581349206,849061.8237706306,3115169.875,538938.5,1751085.738095238,1213681.867231573,4208247.75,421038.75
2023-07-19 13:38:17,46487677.25,484.0,311.75,94212.0,23962.25,624.0,66.0,49063.20702468208,128.4789272738758,142.0,66.0,76.66800225713479,6.8798048625148835,2542.0153130715735,17.11718755388518,66309.6632185899,223547.36703992367,5403187.75,8.25,46487627.75,110296.62985478992,281708.41811278276,5403187.75,267.25,46434017.5,166963.74123162523,346062.0589324964,5445836.75,183.0,0.0,0.0,0.0,0.0,9680.0,6235.0,10.411201850615395,6.705985703269787,66.0,624.0,147.3468204273429,115.17472000537893,13271.482270461194,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.652273328541521,147.3468204273429,0.0,0.0,0.0,0.0,0.0,0.0,64860.0,823.25,248.25,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-19 13:38:18,46302299.5,63.0,55.5,11118.0,4124.25,314.0,66.0,169.7829397893191,118.3215417399941,132.0,66.0,74.35678418803418,11.18295999401482,328.8993414338657,2.55719355116949,555888.0248156361,1487394.1957160688,9352610.5,15.0,46302186.5,1094740.1943035468,1942109.8126524815,9352610.5,10146.25,46302256.5,1166643.27213036,2009635.4516572217,9396747.0,267.0,0.0,0.0,0.0,0.0,1260.0,1110.0,1.3594587628117543,1.1977347883577358,66.0,314.0,124.36948485156545,98.29248853530835,9698.65652418928,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9157145076110593,124.36948485156545,0.0,0.0,0.0,0.0,0.0,0.0,64860.0,501.0,30.25,20.0,2731947.083333333,1504462.689598941,4451426.75,1175746.75,3569888.15,2985758.4632339925,8115273.0,451284.75
2023-07-19 13:38:19,38588047.666666664,350.6666666666667,219.33333333333334,66746.0,16845.0,479.3333333333333,66.0,64255.083807783325,127.82634782354707,132.0,66.0,76.63170579029735,6.795824154068679,2165.550925223578,14.766894152895558,76133.45884578294,260807.23644511038,5341719.666666667,5.0,38480647.666666664,125651.42207807128,327387.0045947751,5341719.666666667,189.0,38588003.333333336,194007.48148873835,404911.9107911201,5384404.333333333,141.66666666666666,0.0,0.0,0.0,0.0,7013.333333333333,4386.666666666667,9.084489932222548,5.682404220673008,66.0,479.3333333333333,145.798175748998,114.19217670630015,13044.94569254054,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6383871043321384,145.798175748998,0.0,0.0,0.0,0.0,0.0,0.0,64860.0,501.0,175.0,20.0,0.0,0.0,0.0,0.0,482305.8333333333,770399.8048261297,1816287.3333333333,14014.666666666666
2023-07-19 13:38:20,38462798.0,156.0,106.0,29894.8,8138.2,413.2,66.0,170.46486111096044,120.59727581306319,140.0,66.0,75.38635533664392,11.23821233335813,987.3544742499565,6.802230490966357,485969.37678645254,1308649.376282689,8037040.0,13.2,38378720.0,960731.0038990151,1706905.4804389745,8037040.0,3948.2,38462763.4,480907670.1543585,1776100.7955632606,8086165.4,226.8,0.0,0.0,0.0,0.0,3120.0,2120.0,4.049921513930408,2.752308977035949,66.0,413.2,127.87759606106388,101.26987895894283,10444.034449142,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.846742326900574,127.87759606106388,0.0,0.0,0.0,0.0,0.0,0.0,64860.0,583.2,78.8,20.0,2870737.1333333333,1194018.076412124,4175096.4,1713649.8,3456762.6700000004,2215137.585195597,6891395.2,1495270.8
2023-07-19 13:38:23,40.0,1.0,1.0,74.0,54.0,74.0,74.0,74.0,0.0,54.0,54.0,54.0,0.0,3199999.9999999995,49999.99999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,25000.0,25000.0,54.0,74.0,64.0,10.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,64860.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-19 13:38:24,42.0,1.0,1.0,74.0,54.0,74.0,74.0,74.0,0.0,54.0,54.0,54.0,0.0,3047619.047619048,47619.04761904762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,23809.52380952381,23809.52380952381,54.0,74.0,64.0,10.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,64860.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-19 13:38:27,91186093.0,46.0,37.0,3785.0,65976.0,476.0,66.0,82.28260869565217,64.72774522482888,2862.0,66.0,1783.1351351351352,1266.3160051826474,765.0399058110759,0.9102265188618182,1112022.536585366,5634808.581177425,30077266.0,-56.0,91186093.0,2026357.6222222224,7483644.632086185,30077266.0,2.0,61140150.0,1698337.5,6892514.40096043,30145377.0,14.0,0.0,0.0,0.0,0.0,920.0,740.0,0.50446288997161,0.405763628890208,66.0,2862.0,840.4939759036145,1196.6125317614426,1431881.5511685295,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8043478260869565,840.4939759036145,0.0,0.0,0.0,21067.33333333333,9.333333333333334,720332.8014588557,64860.0,501.0,8.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-19 13:38:30,91004156.25,575.375,416.125,113349.625,31513.75,500.0,66.0,189.80637058487787,124.92203081877177,137.0,66.0,74.82212393402776,7.655669181179739,1604.686893669127,10.980622524235041,283438.06116999383,795182.9262368627,7734822.0,3.125,91004156.25,546774.555138832,1040072.4759705819,7734822.0,519.375,88785995.0,569508.7711297725,1076498.6482390321,7784009.125,188.875,0.0,0.0,0.0,0.0,11507.5,8322.5,6.373343950990482,4.6072785732445585,66.0,500.0,138.92409938099885,109.32686917287194,11981.155284406907,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.806377775701366,138.92409938099885,0.0,0.0,0.0,0.0,0.0,0.0,64860.0,1335.625,302.375,20.0,1931877.7936507936,1517498.5875616197,4424556.375,279001.125,1557955.9393356643,1839087.2791976382,5730793.0,69005.75
2023-07-19 13:38:38,91048195.125,548.75,400.125,108310.5,30283.875,500.0,66.0,189.99147583733884,125.22548315526271,137.0,66.0,74.75824585516585,7.7945123010766455,1534.3440887864417,10.502153329916757,301682.0100516729,841930.9604737468,8932846.375,3.75,91048195.125,584841.7293985729,1098406.4993478705,8932846.375,263.75,88874915.5,606203.1356793353,1141088.5969071293,8975709.25,183.5,0.0,0.0,0.0,0.0,10975.0,8002.5,6.074982564645377,4.427170765271381,66.0,500.0,138.62866793875685,109.37595410575958,11998.005871957204,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.817440488225878,138.62866793875685,0.0,0.0,0.0,0.0,0.0,0.0,64860.0,1155.0,288.75,20.0,2091454.9479166665,1819768.2320951181,5312211.125,221940.625,1601319.4134469698,1921181.4646361368,6039805.125,133069.0
