time,avail
2023-12-25 21:11:55,11169.988
2023-12-25 21:11:54,7756.703
2023-12-25 21:11:53,7821.195
2023-12-25 21:11:52,7820.766
2023-12-25 21:11:51,7880.402
2023-12-25 21:11:50,7895.438
2023-12-25 21:11:49,7894.008
2023-12-25 21:11:48,7904.809
2023-12-25 21:11:47,7907.602
2023-12-25 21:11:46,7924.539
2023-12-25 21:11:45,8178.438
2023-12-25 21:11:44,8181.211
2023-12-25 21:11:43,8264.035
2023-12-25 21:11:42,8260.695
2023-12-25 21:11:41,8264.945
2023-12-25 21:11:40,8338.785
2023-12-25 21:11:39,8339.18
2023-12-25 21:11:38,8333.723
2023-12-25 21:11:37,8346.09
2023-12-25 21:11:36,8591.02
2023-12-25 21:11:35,8594.652
2023-12-25 21:11:34,8677.082
2023-12-25 21:11:33,8688.891
2023-12-25 21:11:32,8962.781
2023-12-25 21:11:31,9021.098
2023-12-25 21:11:30,9088.867
2023-12-25 21:11:29,9089.809
2023-12-25 21:11:28,9139.691
2023-12-25 21:11:27,9158.461
2023-12-25 21:11:26,9171.211
2023-12-25 21:11:25,9171.902
2023-12-25 21:11:24,9171.398
2023-12-25 21:11:23,9172.641
2023-12-25 21:11:22,9188.816
2023-12-25 21:11:21,9438.75
2023-12-25 21:11:20,9464.852
2023-12-25 21:11:19,9538.398
2023-12-25 21:11:18,9782.031
2023-12-25 21:11:17,9826.742
2023-12-25 21:11:16,9943.52
2023-12-25 21:11:15,9944.465
2023-12-25 21:11:14,9975.957
2023-12-25 21:11:13,10027.238
2023-12-25 21:11:12,10027.277
2023-12-25 21:11:11,10026.883
2023-12-25 21:11:10,10027.055
2023-12-25 21:11:09,10028.535
2023-12-25 21:11:08,10028.668
2023-12-25 21:11:07,10037.969
2023-12-25 21:11:06,10038.191
2023-12-25 21:11:05,10038.465
2023-12-25 21:11:04,10038.762
2023-12-25 21:11:03,10040.34
2023-12-25 21:11:02,10040.938
2023-12-25 21:11:01,10040.449
2023-12-25 21:11:00,10040.113
2023-12-25 21:10:59,10043.559
2023-12-25 21:10:58,10044.113
2023-12-25 21:10:57,10044.527
2023-12-25 21:10:56,10045.875
2023-12-25 21:10:55,10046.098
2023-12-25 21:10:54,10047.281
2023-12-25 21:10:53,10047.965
2023-12-25 21:10:52,10050.504
2023-12-25 21:10:51,10051.629
2023-12-25 21:10:50,10324.469
2023-12-25 21:10:49,10390.023
2023-12-25 21:10:48,10390.539
2023-12-25 21:10:47,10452.121
2023-12-25 21:10:46,10466.594
2023-12-25 21:10:45,10469.191
2023-12-25 21:10:44,10717.34
2023-12-25 21:10:43,10719.562
2023-12-25 21:10:42,10801.816
2023-12-25 21:10:41,10809.812
2023-12-25 21:10:40,10811.047
2023-12-25 21:10:39,10885.711
2023-12-25 21:10:38,10886.113
2023-12-25 21:10:37,10887.559
2023-12-25 21:10:36,10888.055
2023-12-25 21:10:35,10889.445
2023-12-25 21:10:34,10894.816
2023-12-25 21:10:33,10895.062
2023-12-25 21:10:32,10895.824
2023-12-25 21:10:31,10901.539
2023-12-25 21:10:30,11149.582
2023-12-25 21:10:29,11152.023
2023-12-25 21:10:28,11235.02
2023-12-25 21:10:27,11235.707
2023-12-25 21:10:26,11257.758
2023-12-25 21:10:25,11309.91
2023-12-25 21:10:24,11310.699
2023-12-25 21:10:23,11311.004
2023-12-25 21:10:22,11311.512
2023-12-25 21:10:21,11311.477
2023-12-25 21:10:20,11317.934
2023-12-25 21:10:19,11318.828
2023-12-25 21:10:18,11319.191
2023-12-25 21:10:17,11320.387
2023-12-25 21:10:16,11320.879
2023-12-25 21:10:15,11322.281
2023-12-25 21:10:14,11323.18
