time,guest_nice,guest,steal,softirq,irq,user,system,nice,iowait
2023-12-25 21:11:55,0,0,0,0,0,3.636364,1.2987013,0,0
2023-12-25 21:11:54,0,0,0,0.2570694,0,3.984576,0.8997429,0,0
2023-12-25 21:11:53,0,0,0,0,0,2.590674,0.5181347,0,0
2023-12-25 21:11:52,0,0,0,0.257732,0,2.963918,0.5154639,0,0
2023-12-25 21:11:51,0,0,0,0.1287001,0,3.217503,1.1583012,0,0
2023-12-25 21:11:50,0,0,0,0,0,3.084833,0.7712082,0,0
2023-12-25 21:11:49,0,0,0,0.3826531,0,2.933673,1.5306122,0,0
2023-12-25 21:11:48,0,0,0,0.2590674,0,2.202073,1.0362694,0,0
2023-12-25 21:11:47,0,0,0,0.2580645,0,2.709677,1.1612903,0,0
2023-12-25 21:11:46,0,0,0,0.1293661,0,2.846054,0.7761966,0,0
2023-12-25 21:11:45,0,0,0,0.1297017,0,2.723735,0.7782101,0,0
2023-12-25 21:11:44,0,0,0,0.127551,0,3.69898,0.8928571,0,0
2023-12-25 21:11:43,0,0,0,0.1270648,0,5.463787,1.0165184,0,0
2023-12-25 21:11:42,0,0,0,0.1287001,0,2.316602,0.9009009,0,0
2023-12-25 21:11:41,0,0,0,0,0,3.836317,0.8951407,0,0.1278772
2023-12-25 21:11:40,0,0,0,0.257732,0,2.190722,1.1597938,0,0
2023-12-25 21:11:39,0,0,0,0.128866,0,2.963918,1.1597938,0,0
2023-12-25 21:11:38,0,0,0,0,0,3.213368,1.0282776,0,0
2023-12-25 21:11:37,0,0,0,0.128866,0,2.706186,0.7731959,0.128866,0
2023-12-25 21:11:36,0,0,0,0.129199,0,2.45478,1.0335917,0,0
2023-12-25 21:11:35,0,0,0,0,0,2.716688,0.7761966,0,0
2023-12-25 21:11:34,0,0,0,0.2557545,0,2.685422,1.2787724,0,0
2023-12-25 21:11:33,0,0,0,0.1278772,0,3.196931,1.0230179,0,0
2023-12-25 21:11:32,0,0,0,0.1278772,0,3.70844,0.7672634,0,0
2023-12-25 21:11:31,0,0,0.1293661,0,0,4.269082,1.2936611,0,0
2023-12-25 21:11:30,0,0,0,0,0,2.820513,0.7692308,0,0
2023-12-25 21:11:29,0,0,0,0.2531646,0,3.417722,1.1392405,0,0
