time,received,sent,forwarded,delivered
2023-12-25 13:56:19,3573.007,-3106.747,2193.475,1338.3705
2023-12-25 13:56:18,3854.983,-3477.072,2435.853,1416.3807
2023-12-25 13:56:17,3759.472,-3365.562,2365.144,1392.0744
2023-12-25 13:56:16,3722.04,-3323.085,2331.994,1387.0491
2023-12-25 13:56:15,3770.297,-3348.031,2365.192,1402.1043
2023-12-25 13:56:14,3730.545,-3323.001,2342.086,1385.4588
2023-12-25 13:56:13,3738.21,-3339.285,2345.923,1389.2871
2023-12-25 13:56:12,3591.622,-3210.153,2258.098,1330.524
2023-12-25 13:56:11,3552.482,-3166.256,2232.409,1317.0726
2023-12-25 13:56:10,3608.169,-3234.342,2270.995,1334.174
2023-12-25 13:56:09,3625.407,-3236.679,2275.455,1346.9514
2023-12-25 13:56:08,3677.81,-3279.46,2311.422,1363.387
2023-12-25 13:56:07,3619.404,-3200.679,2262.926,1353.4784
2023-12-25 13:56:06,3627.159,-3219.963,2266.476,1357.6825
2023-12-25 13:56:05,3576.467,-3190.697,2248.222,1325.4965
2023-12-25 13:56:04,3549.973,-3158.515,2227.067,1319.9002
2023-12-25 13:56:03,3573.892,-3191.473,2241.55,1327.8521
2023-12-25 13:56:02,3437.389,-3085.35,2165.828,1270.0507
2023-12-25 13:56:01,3340.448,-2994.527,2103.328,1232.3787
2023-12-25 13:56:00,3247.422,-2931.421,2051.19,1194.2255
2023-12-25 13:55:59,3156.065,-2841.485,1989.11,1162.9614
2023-12-25 13:55:58,3253.932,-2913.226,2049.213,1202.7128
2023-12-25 13:55:57,3171.895,-2821.384,1985.578,1181.8201
2023-12-25 13:55:56,3167.34,-2818.239,1979.545,1184.795
2023-12-25 13:55:55,3200.186,-2843.496,2007.643,1189.795
2023-12-25 13:55:54,3133.418,-2781.921,1961.931,1168.9835
2023-12-25 13:55:53,3093.542,-2747.59,1932.138,1157.6555
2023-12-25 13:55:52,3148.086,-2810.374,1976.158,1168.9283
2023-12-25 13:55:51,3114.832,-2789.319,1959.799,1152.0335
2023-12-25 13:55:50,3176.938,-2836.126,1995.606,1178.3325
2023-12-25 13:55:49,3144.135,-2793.409,1971.349,1169.7862
2023-12-25 13:55:48,3148.669,-2808.891,1978.436,1167.2336
2023-12-25 13:55:47,3088.916,-2739.4,1932.085,1153.8312
2023-12-25 13:55:46,3170.038,-2808.092,1976.819,1190.9737
2023-12-25 13:55:45,3058.099,-2702.852,1914.979,1142.1135
2023-12-25 13:55:44,2999.441,-2677.578,1882.993,1112.9516
2023-12-25 13:55:43,2600.802,-2334.51,1630.6108,967.4368
2023-12-25 13:55:42,2559.581,-2274.637,1600.9148,954.4204
2023-12-25 13:55:41,2419.421,-2167.151,1522.8574,894.5635
2023-12-25 13:55:40,2558.063,-2294.532,1609.3495,946.9647
2023-12-25 13:55:39,2729.178,-2464.212,1717.471,1009.4488
2023-12-25 13:55:38,2728.509,-2477.544,1725.607,998.1605
2023-12-25 13:55:37,2595.06,-2354.755,1639.2452,954.0596
2023-12-25 13:55:36,2464.221,-2216.761,1542.6051,918.1195
2023-12-25 13:55:35,2316.787,-2082.596,1460.2886,854.2448
2023-12-25 13:55:34,2219.964,-1973.103,1389.3225,827.6377
2023-12-25 13:55:33,2240.963,-1986.239,1395.9285,842.0401
2023-12-25 13:55:32,2248.956,-1998.163,1404.5489,841.4064
2023-12-25 13:55:31,2304.674,-2061.256,1448.4758,853.1979
2023-12-25 13:55:30,2299.956,-2076.155,1450.7831,846.1727
2023-12-25 13:55:29,2211.526,-1970.829,1385.0386,823.4872
2023-12-25 13:55:28,2191.929,-1967.121,1378.9336,809.9956
2023-12-25 13:55:27,2263.656,-2009.204,1413.4323,847.2239
2023-12-25 13:55:26,2243.093,-2010.38,1400.9306,839.162
2023-12-25 13:55:25,2204.264,-1981.714,1388.6591,812.6052
2023-12-25 13:55:24,2246.258,-2008.224,1409.6458,833.6121
2023-12-25 13:55:23,2236.072,-1988.448,1395.6,837.2198
2023-12-25 13:55:22,2330.106,-2050.975,1450.6867,875.169
