iter	Passed	Remaining
462	1639	131
463	1643	127
464	1646	123
465	1650	120
466	1653	116
467	1656	113
468	1660	109
469	1663	106
470	1666	102
471	1670	99
472	1673	95
473	1677	91
474	1680	88
475	1683	84
476	1687	81
477	1690	77
478	1695	74
479	1698	70
480	1701	67
481	1705	63
482	1708	60
483	1711	56
484	1714	53
485	1718	49
486	1721	45
487	1725	42
488	1728	38
489	1731	35
490	1735	31
491	1738	28
492	1741	24
493	1745	21
494	1748	17
495	1751	14
496	1755	10
497	1758	7
498	1761	3
499	1764	0
