type total,ops,op/s,pk/s,row/s,mean,med,.95,.99,.999,max,time,stderr,errors,gc: #,max ms,sum ms,sdv ms,mb
total,95,95,95,95,587.5,564.7,963.6,1023.4,1031.8,1031.8,2023-07-19 14:27:32,-0.70711,0,0,0,0,0,0
total,214,119,119,119,1417.8,1438.6,1748.0,1762.7,1764.8,1764.8,2023-07-19 14:27:33,-0.75667,0,0,0,0,0,0
total,317,103,103,103,2111.5,2055.2,2541.7,2571.1,2583.7,2583.7,2023-07-19 14:27:34,-0.78736,0,0,0,0,0,0
total,432,115,115,115,2854.0,2829.1,3214.9,3300.9,3303.0,3303.0,2023-07-19 14:27:35,-0.80232,0,0,0,0,0,0
total,547,115,115,115,3697.4,3691.0,3953.1,4039.1,4064.3,4064.3,2023-07-19 14:27:36,-0.81122,0,0,0,0,0,0
total,660,113,113,113,4536.2,4538.2,4848.6,4865.4,4873.8,4873.8,2023-07-19 14:27:37,-0.81704,0,0,0,0,0,0
total,799,139,139,139,5255.6,5289.0,5565.8,5578.4,5582.6,5582.6,2023-07-19 14:27:38,-0.81909,0,0,0,0,0,0
total,941,142,142,142,5951.3,5922.4,6291.5,6299.8,6304.0,6304.0,2023-07-19 14:27:39,-0.81994,0,0,0,0,0,0
total,1029,88,88,88,6632.3,6576.7,7080.0,7105.2,7105.2,7105.2,2023-07-19 14:27:40,-0.82268,0,0,0,0,0,0
total,1163,134,134,134,7541.5,7553.9,7847.5,7860.1,7860.1,7860.1,2023-07-19 14:27:41,-0.82284,0,0,0,0,0,0
total,1256,93,93,93,8194.9,8128.6,8673.8,8699.0,8699.0,8699.0,2023-07-19 14:27:42,-0.82416,0,0,0,0,0,0
total,1369,113,113,113,9136.7,9135.2,9428.8,9437.2,9445.6,9445.6,2023-07-19 14:27:43,-0.82447,0,0,0,0,0,0
total,1493,124,124,124,9789.0,9797.9,10091.5,10167.0,10175.4,10175.4,2023-07-19 14:27:44,-0.82423,0,0,0,0,0,0
total,1600,107,107,107,10681.0,10670.3,10963.9,10972.3,10980.7,10980.7,2023-07-19 14:27:45,-0.82431,0,0,0,0,0,0
total,1696,96,96,96,11489.8,11534.3,11769.2,11786.0,11794.4,11794.4,2023-07-19 14:27:46,-0.82453,0,0,0,0,0,0
total,1831,135,135,135,12180.8,12213.8,12515.8,12532.6,12541.0,12541.0,2023-07-19 14:27:47,-0.82375,0,0,0,0,0,0
total,1909,78,78,78,13135.1,13245.6,13363.1,13371.4,13371.4,13371.4,2023-07-19 14:27:48,-0.82412,0,0,0,0,0,0
total,2040,131,131,131,13753.2,13732.2,14092.9,14109.6,14118.0,14118.0,2023-07-19 14:27:49,-0.82336,0,0,0,0,0,0
total,2172,132,132,132,14485.2,14470.3,14831.1,14839.4,14839.4,14839.4,2023-07-19 14:27:50,-0.82256,0,0,0,0,0,0
total,2279,107,107,107,15163.8,15133.0,15510.5,15586.0,15602.8,15602.8,2023-07-19 14:27:51,-0.82217,0,0,0,0,0,0
total,2351,72,72,72,16207.3,16215.2,16450.1,16458.4,16475.2,16475.2,2023-07-19 14:27:52,-0.82232,0,0,0,0,0,0
