type total,ops,op/s,pk/s,row/s,mean,med,.95,.99,.999,max,time,stderr,errors,gc: #,max ms,sum ms,sdv ms,mb
total,14,14,14,14,617.5,583.0,671.1,678.4,678.4,678.4,2023-07-19 13:44:50,0.00000,0,0,0,0,0,0
total,87,73,73,73,1057.4,984.6,1521.5,1542.5,1544.6,1544.6,2023-07-19 13:44:51,-1.38729,0,0,0,0,0,0
total,159,72,72,72,1840.9,1837.1,2104.5,2285.9,2317.4,2317.4,2023-07-19 13:44:52,-0.86662,0,0,0,0,0,0
total,260,101,101,101,2799.9,2795.5,3126.9,3175.1,3179.3,3179.3,2023-07-19 13:44:53,-0.65697,0,0,0,0,0,0
total,364,104,104,104,3658.2,3676.3,3955.2,3980.4,3984.6,3984.6,2023-07-19 13:44:54,-0.55822,0,0,0,0,0,0
total,472,108,108,108,4356.1,4295.0,4743.8,4756.3,4760.5,4760.5,2023-07-19 13:44:55,-0.49890,0,0,0,0,0,0
total,574,102,102,102,5182.7,5159.0,5549.1,5557.5,5557.5,5557.5,2023-07-19 13:44:56,-0.46355,0,0,0,0,0,0
total,641,67,67,67,6024.7,6060.8,6417.3,6421.5,6425.7,6425.7,2023-07-19 13:44:57,-0.45246,0,0,0,0,0,0
total,724,83,83,83,6807.1,6744.4,7247.8,7277.1,7281.3,7281.3,2023-07-19 13:44:58,-0.43861,0,0,0,0,0,0
total,831,107,107,107,7648.3,7621.1,8032.1,8044.7,8048.9,8048.9,2023-07-19 13:44:59,-0.42131,0,0,0,0,0,0
total,938,107,107,107,8462.8,8451.5,8816.4,8833.2,8833.2,8833.2,2023-07-19 13:45:00,-0.40732,0,0,0,0,0,0
total,1047,109,109,109,9239.3,9286.2,9596.6,9613.3,9613.3,9613.3,2023-07-19 13:45:01,-0.39537,0,0,0,0,0,0
total,1147,100,100,100,10004.4,9990.8,10343.2,10401.9,10401.9,10401.9,2023-07-19 13:45:02,-0.38663,0,0,0,0,0,0
total,1217,70,70,70,10972.4,10972.3,11257.5,11257.5,11265.9,11265.9,2023-07-19 13:45:03,-0.38326,0,0,0,0,0,0
total,1314,97,97,97,11709.3,11710.5,12071.2,12079.6,12079.6,12079.6,2023-07-19 13:45:04,-0.37685,0,0,0,0,0,0
total,1380,66,66,66,12549.4,12650.0,12943.6,12952.0,12952.0,12952.0,2023-07-19 13:45:05,-0.37459,0,0,0,0,0,0
total,1479,99,99,99,13376.3,13371.4,13732.2,13748.9,13748.9,13748.9,2023-07-19 13:45:06,-0.36916,0,0,0,0,0,0
total,1560,81,81,81,14093.7,14092.9,14403.2,14462.0,14554.2,14554.2,2023-07-19 13:45:07,-0.36586,0,0,0,0,0,0
total,1655,95,95,95,14995.4,14990.4,15309.2,15376.3,15384.7,15384.7,2023-07-19 13:45:08,-0.36166,0,0,0,0,0,0
total,1738,83,83,83,15822.8,15812.5,16206.8,16232.0,16232.0,16232.0,2023-07-19 13:45:09,-0.35871,0,0,0,0,0,0
total,1825,87,87,87,16613.0,16617.8,17028.9,17037.3,17037.3,17037.3,2023-07-19 13:45:10,-0.35568,0,0,0,0,0,0
total,1921,96,96,96,17503.2,17532.2,17867.7,17867.7,17867.7,17867.7,2023-07-19 13:45:11,-0.35227,0,0,0,0,0,0
total,2009,88,88,88,18299.0,18253.6,18689.8,18689.8,18689.8,18689.8,2023-07-19 13:45:12,-0.34958,0,0,0,0,0,0
total,2105,96,96,96,19099.6,19092.5,19411.2,19478.3,19478.3,19478.3,2023-07-19 13:45:13,-0.34659,0,0,0,0,0,0
total,2187,82,82,82,19904.3,19914.6,20216.5,20250.1,20300.4,20300.4,2023-07-19 13:45:14,-0.34452,0,0,0,0,0,0
total,2284,97,97,97,20778.2,20803.7,21122.5,21139.3,21139.3,21139.3,2023-07-19 13:45:15,-0.34182,0,0,0,0,0,0
total,2361,77,77,77,21591.3,21642.6,21978.2,21994.9,21994.9,21994.9,2023-07-19 13:45:16,-0.34019,0,0,0,0,0,0
