type total,ops,op/s,pk/s,row/s,mean,med,.95,.99,.999,max,time,stderr,errors,gc: #,max ms,sum ms,sdv ms,mb
total,51,51,51,51,600.5,612.9,746.1,756.0,775.9,775.9,2023-07-19 14:27:31,0.00000,0,0,0,0,0,0
total,163,112,112,112,1337.5,1340.1,1643.1,1660.9,1660.9,1660.9,2023-07-19 14:27:32,4.82688,0,0,0,0,0,0
total,272,109,109,109,2073.0,2046.8,2411.7,2430.6,2430.6,2430.6,2023-07-19 14:27:33,-16.29304,0,0,0,0,0,0
total,336,64,64,64,3038.0,3145.7,3311.4,3313.5,3315.6,3315.6,2023-07-19 14:27:34,-6.44393,0,0,0,0,0,0
total,445,109,109,109,3675.4,3672.1,3976.2,4047.5,4053.8,4053.8,2023-07-19 14:27:35,-3.62657,0,0,0,0,0,0
total,585,140,140,140,4472.1,4454.4,4810.9,4823.4,4827.6,4827.6,2023-07-19 14:27:36,-2.50672,0,0,0,0,0,0
total,690,105,105,105,5274.4,5393.9,5599.4,5607.8,5607.8,5607.8,2023-07-19 14:27:37,-2.10089,0,0,0,0,0,0
total,785,95,95,95,6055.4,6048.2,6400.5,6421.5,6421.5,6421.5,2023-07-19 14:27:38,-1.86831,0,0,0,0,0,0
total,878,93,93,93,6757.8,6694.1,7231.0,7260.3,7264.5,7264.5,2023-07-19 14:27:39,-1.70828,0,0,0,0,0,0
total,986,108,108,108,7682.0,7684.0,7990.1,8002.7,8019.5,8019.5,2023-07-19 14:27:40,-1.56894,0,0,0,0,0,0
total,1099,113,113,113,8401.2,8376.0,8791.3,8816.4,8824.8,8824.8,2023-07-19 14:27:41,-1.45743,0,0,0,0,0,0
total,1233,134,134,134,9172.6,9160.4,9504.3,9529.5,9529.5,9529.5,2023-07-19 14:27:42,-1.35275,0,0,0,0,0,0
total,1315,82,82,82,9906.4,9831.4,10334.8,10359.9,10368.3,10368.3,2023-07-19 14:27:43,-1.30129,0,0,0,0,0,0
