type total,ops,op/s,pk/s,row/s,mean,med,.95,.99,.999,max,time,stderr,errors,gc: #,max ms,sum ms,sdv ms,mb
total,22,22,22,22,504.3,511.7,589.3,605.0,605.0,605.0,2023-07-19 13:54:50,0.00000,0,0,0,0,0,0
total,129,107,107,107,1069.4,1088.4,1369.4,1387.3,1390.4,1390.4,2023-07-19 13:54:51,-1.06783,0,0,0,0,0,0
total,259,130,130,130,1773.6,1741.7,2121.3,2133.9,2134.9,2134.9,2023-07-19 13:54:52,-0.70055,0,0,0,0,0,0
total,372,113,113,113,2490.9,2491.4,2780.8,2860.5,2862.6,2862.6,2023-07-19 13:54:53,-0.60281,0,0,0,0,0,0
total,462,90,90,90,3337.1,3345.0,3602.9,3756.0,3766.5,3766.5,2023-07-19 13:54:54,-0.57370,0,0,0,0,0,0
total,556,94,94,94,4260.8,4278.2,4508.9,4525.7,4534.0,4534.0,2023-07-19 13:54:55,-0.55278,0,0,0,0,0,0
total,679,123,123,123,4920.6,4945.1,5259.7,5276.4,5276.4,5276.4,2023-07-19 13:54:56,-0.52745,0,0,0,0,0,0
total,797,118,118,118,5670.3,5649.7,6027.2,6044.0,6052.4,6052.4,2023-07-19 13:54:57,-0.51005,0,0,0,0,0,0
total,921,124,124,124,6407.5,6404.7,6698.3,6765.4,6773.8,6773.8,2023-07-19 13:54:58,-0.49488,0,0,0,0,0,0
total,1041,120,120,120,7198.5,7168.1,7533.0,7549.7,7553.9,7553.9,2023-07-19 13:54:59,-0.48334,0,0,0,0,0,0
total,1129,88,88,88,8019.4,8078.2,8363.4,8380.2,8380.2,8380.2,2023-07-19 13:55:00,-0.47856,0,0,0,0,0,0
total,1223,94,94,94,8693.4,8690.6,8917.1,9143.6,9210.7,9210.7,2023-07-19 13:55:01,-0.47354,0,0,0,0,0,0
total,1362,139,139,139,9538.9,9529.5,9906.9,9915.3,9923.7,9923.7,2023-07-19 13:55:02,-0.46385,0,0,0,0,0,0
total,1461,99,99,99,10324.2,10284.4,10712.3,10729.0,10729.0,10729.0,2023-07-19 13:55:03,-0.45937,0,0,0,0,0,0
total,1572,111,111,111,11068.5,11056.2,11458.8,11492.4,11534.3,11534.3,2023-07-19 13:55:04,-0.45423,0,0,0,0,0,0
total,1673,101,101,101,11841.5,11777.6,12255.8,12272.5,12272.5,12272.5,2023-07-19 13:55:05,-0.45032,0,0,0,0,0,0
total,1783,110,110,110,12763.6,12767.5,13069.5,13077.8,13086.2,13086.2,2023-07-19 13:55:06,-0.44606,0,0,0,0,0,0
total,1907,124,124,124,13461.0,13446.9,13807.6,13832.8,13841.2,13841.2,2023-07-19 13:55:07,-0.44120,0,0,0,0,0,0
total,1986,79,79,79,14163.5,14118.0,14621.3,14663.3,14671.7,14671.7,2023-07-19 13:55:08,-0.43949,0,0,0,0,0,0
total,2091,105,105,105,15119.6,15124.7,15443.4,15460.2,15468.6,15468.6,2023-07-19 13:55:09,-0.43636,0,0,0,0,0,0
total,2197,106,106,106,15823.3,15829.3,16122.9,16198.4,16223.6,16223.6,2023-07-19 13:55:10,-0.43335,0,0,0,0,0,0
total,2269,72,72,72,16678.2,16575.9,17112.8,17121.1,17121.1,17121.1,2023-07-19 13:55:11,-0.43222,0,0,0,0,0,0
total,2401,132,132,132,17490.1,17515.4,17834.2,17851.0,17851.0,17851.0,2023-07-19 13:55:12,-0.42835,0,0,0,0,0,0
total,2511,110,110,110,18252.4,18287.2,18605.9,18622.7,18639.5,18639.5,2023-07-19 13:55:13,-0.42565,0,0,0,0,0,0
total,2585,74,74,74,19164.1,19243.5,19461.6,19478.3,19478.3,19478.3,2023-07-19 13:55:14,-0.42455,0,0,0,0,0,0
total,2696,111,111,111,19906.9,19931.3,20233.3,20266.9,20266.9,20266.9,2023-07-19 13:55:15,-0.42207,0,0,0,0,0,0
