type total,ops,op/s,pk/s,row/s,mean,med,.95,.99,.999,max,time,stderr,errors,gc: #,max ms,sum ms,sdv ms,mb
total,13,13,13,13,425.9,412.9,487.8,488.4,488.4,488.4,2023-07-19 14:25:19,0.00000,0,0,0,0,0,0
total,88,75,75,75,1210.7,1224.7,1441.8,1457.5,1472.2,1472.2,2023-07-19 14:25:20,-0.97643,0,0,0,0,0,0
total,211,123,123,123,1857.3,1901.1,2202.0,2216.7,2225.1,2225.1,2023-07-19 14:25:21,-0.56945,0,0,0,0,0,0
total,322,111,111,111,2582.7,2518.7,2975.9,2994.7,3001.0,3001.0,2023-07-19 14:25:22,-0.46515,0,0,0,0,0,0
total,442,120,120,120,3394.0,3428.8,3720.3,3745.5,3745.5,3745.5,2023-07-19 14:25:23,-0.41134,0,0,0,0,0,0
total,565,123,123,123,4172.1,4198.5,4508.9,4521.5,4525.7,4525.7,2023-07-19 14:25:24,-0.38056,0,0,0,0,0,0
total,618,53,53,53,4812.4,4861.2,5066.7,5066.7,5091.9,5091.9,2023-07-19 14:25:25,-0.38596,0,0,0,0,0,0
total,730,112,112,112,5934.9,5947.5,6169.8,6182.4,6186.6,6186.6,2023-07-19 14:25:26,-0.37312,0,0,0,0,0,0
total,857,127,127,127,6588.4,6610.2,6920.6,6937.4,6937.4,6937.4,2023-07-19 14:25:27,-0.36008,0,0,0,0,0,0
total,989,132,132,132,7331.0,7361.0,7650.4,7667.2,7667.2,7667.2,2023-07-19 14:25:28,-0.34893,0,0,0,0,0,0
total,1124,135,135,135,8048.2,8078.2,8388.6,8405.4,8405.4,8405.4,2023-07-19 14:25:29,-0.33947,0,0,0,0,0,0
total,1250,126,126,126,8756.4,8757.7,9051.3,9126.8,9126.8,9126.8,2023-07-19 14:25:30,-0.33271,0,0,0,0,0,0
total,1334,84,84,84,9622.6,9613.3,9940.5,9965.7,9974.1,9974.1,2023-07-19 14:25:31,-0.33179,0,0,0,0,0,0
total,1473,139,139,139,10377.9,10401.9,10687.1,10695.5,10703.9,10703.9,2023-07-19 14:25:32,-0.32536,0,0,0,0,0,0
