type total,ops,op/s,pk/s,row/s,mean,med,.95,.99,.999,max,time,stderr,errors,gc: #,max ms,sum ms,sdv ms,mb
total,73,73,73,73,589.8,636.5,813.7,820.5,822.6,822.6,2023-07-19 14:09:50,0.00000,0,0,0,0,0,0
total,177,104,104,104,1209.9,1167.1,1624.2,1654.7,1658.8,1658.8,2023-07-19 14:09:51,1.58714,0,0,0,0,0,0
total,306,129,129,129,2004.3,2027.9,2342.5,2357.2,2361.4,2361.4,2023-07-19 14:09:52,2.77760,0,0,0,0,0,0
total,409,103,103,103,2702.6,2648.7,3147.8,3173.0,3212.8,3212.8,2023-07-19 14:09:53,4.00240,0,0,0,0,0,0
total,513,104,104,104,3568.6,3519.0,3948.9,3980.4,4009.8,4009.8,2023-07-19 14:09:54,5.82451,0,0,0,0,0,0
total,638,125,125,125,4329.3,4307.6,4680.8,4689.2,4693.4,4693.4,2023-07-19 14:09:55,10.35904,0,0,0,0,0,0
total,762,124,124,124,5086.5,5058.3,5440.0,5448.4,5452.6,5452.6,2023-07-19 14:09:56,28.33124,0,0,0,0,0,0
total,862,100,100,100,5958.6,5997.9,6232.7,6245.3,6245.3,6245.3,2023-07-19 14:09:57,-155.03413,0,0,0,0,0,0
total,997,135,135,135,6617.6,6614.4,6895.4,6954.2,6958.4,6958.4,2023-07-19 14:09:58,-17.86834,0,0,0,0,0,0
total,1092,95,95,95,7500.2,7553.9,7772.0,7784.6,7788.8,7788.8,2023-07-19 14:09:59,-11.55705,0,0,0,0,0,0
total,1201,109,109,109,8246.8,8254.4,8556.4,8569.0,8573.2,8573.2,2023-07-19 14:10:00,-8.47822,0,0,0,0,0,0
total,1325,124,124,124,8976.1,9001.0,9319.7,9328.1,9328.1,9328.1,2023-07-19 14:10:01,-6.64702,0,0,0,0,0,0
total,1419,94,94,94,9635.4,9605.0,10108.3,10133.4,10133.4,10133.4,2023-07-19 14:10:02,-5.78322,0,0,0,0,0,0
total,1549,130,130,130,10501.6,10494.1,10854.9,10863.2,10863.2,10863.2,2023-07-19 14:10:03,-4.95842,0,0,0,0,0,0
total,1590,41,41,41,11003.5,11005.9,11148.5,11156.8,11156.8,11156.8,2023-07-19 14:10:04,-4.75084,0,0,0,0,0,0
total,1687,97,97,97,12179.4,12163.5,12482.2,12591.3,12591.3,12591.3,2023-07-19 14:10:05,-4.37136,0,0,0,0,0,0
total,1815,128,128,128,13002.2,13010.7,13329.5,13337.9,13346.3,13346.3,2023-07-19 14:10:06,-3.97784,0,0,0,0,0,0
total,1941,126,126,126,13730.6,13707.0,14067.7,14084.5,14092.9,14092.9,2023-07-19 14:10:07,-3.67104,0,0,0,0,0,0
total,2025,84,84,84,14393.4,14378.1,14906.6,14923.3,14923.3,14923.3,2023-07-19 14:10:08,-3.50170,0,0,0,0,0,0
total,2146,121,121,121,15285.7,15250.5,15661.5,15686.7,15686.7,15686.7,2023-07-19 14:10:09,-3.29419,0,0,0,0,0,0
total,2224,78,78,78,16199.5,16265.5,16508.8,16542.3,16550.7,16550.7,2023-07-19 14:10:10,-3.17951,0,0,0,0,0,0
total,2323,99,99,99,16957.5,16877.9,17330.9,17330.9,17330.9,17330.9,2023-07-19 14:10:11,-3.05110,0,0,0,0,0,0
total,2450,127,127,127,17720.6,17716.7,18052.3,18085.8,18085.8,18085.8,2023-07-19 14:10:12,-2.90714,0,0,0,0,0,0
total,2587,137,137,137,18447.4,18438.2,18790.5,18807.3,18807.3,18807.3,2023-07-19 14:10:13,-2.77177,0,0,0,0,0,0
total,2699,112,112,112,19131.4,19142.8,19444.8,19528.7,19562.2,19562.2,2023-07-19 14:10:14,-2.67412,0,0,0,0,0,0
total,2778,79,79,79,19953.9,19914.6,20216.5,20350.8,20384.3,20384.3,2023-07-19 14:10:15,-2.61201,0,0,0,0,0,0
total,2896,118,118,118,20833.3,20803.7,21156.1,21172.8,21172.8,21172.8,2023-07-19 14:10:16,-2.52769,0,0,0,0,0,0
total,2991,95,95,95,21699.0,21776.8,21978.2,21994.9,21994.9,21994.9,2023-07-19 14:10:17,-2.46613,0,0,0,0,0,0
total,3116,125,125,125,22354.8,22347.3,22716.4,22733.1,22733.1,22733.1,2023-07-19 14:10:18,-2.39205,0,0,0,0,0,0
total,3199,83,83,83,23051.4,23035.1,23572.0,23572.0,23588.8,23588.8,2023-07-19 14:10:19,-2.34705,0,0,0,0,0,0
total,3334,135,135,135,23945.4,23941.1,24293.4,24310.2,24310.2,24310.2,2023-07-19 14:10:20,-2.27941,0,0,0,0,0,0
total,3401,67,67,67,24815.1,24998.1,25165.8,25182.6,25182.6,25182.6,2023-07-19 14:10:21,-2.24847,0,0,0,0,0,0
total,3525,124,124,124,25538.4,25534.9,25904.0,25920.8,25920.8,25920.8,2023-07-19 14:10:22,-2.19487,0,0,0,0,0,0
total,3612,87,87,87,26474.4,26508.0,26742.9,26742.9,26742.9,26742.9,2023-07-19 14:10:23,-2.15993,0,0,0,0,0,0
total,3744,132,132,132,27158.4,27179.1,27464.3,27497.9,27497.9,27497.9,2023-07-19 14:10:24,-2.11036,0,0,0,0,0,0
total,3785,41,41,41,27712.9,27615.3,28303.2,28370.3,28370.3,28370.3,2023-07-19 14:10:25,-2.09600,0,0,0,0,0,0
total,3927,142,142,142,28776.7,28756.1,29091.7,29108.5,29108.5,29108.5,2023-07-19 14:10:26,-2.04865,0,0,0,0,0,0
