type total,ops,op/s,pk/s,row/s,mean,med,.95,.99,.999,max,time,stderr,errors,gc: #,max ms,sum ms,sdv ms,mb
total,63,63,63,63,420.7,394.0,619.2,628.6,632.3,632.3,2023-07-19 14:25:42,0.00000,0,0,0,0,0,0
total,174,111,111,111,1119.8,1125.1,1406.1,1415.6,1420.8,1420.8,2023-07-19 14:25:43,-3.32828,0,0,0,0,0,0
total,279,105,105,105,1832.4,1885.3,2183.1,2193.6,2210.4,2210.4,2023-07-19 14:25:44,-1.72689,0,0,0,0,0,0
total,401,122,122,122,2593.9,2581.6,2944.4,2954.9,2965.4,2965.4,2023-07-19 14:25:45,-1.28261,0,0,0,0,0,0
total,537,136,136,136,3352.1,3378.5,3674.2,3691.0,3699.4,3699.4,2023-07-19 14:25:46,-1.06147,0,0,0,0,0,0
total,623,86,86,86,3995.5,3986.7,4288.7,4303.4,4378.9,4378.9,2023-07-19 14:25:47,-0.98085,0,0,0,0,0,0
total,714,91,91,91,4916.9,4878.0,5339.3,5347.7,5347.7,5347.7,2023-07-19 14:25:48,-0.92426,0,0,0,0,0,0
total,852,138,138,138,5707.6,5708.4,6044.0,6060.8,6073.4,6073.4,2023-07-19 14:25:49,-0.85713,0,0,0,0,0,0
total,956,104,104,104,6563.0,6601.8,6845.1,6857.7,6861.9,6861.9,2023-07-19 14:25:50,-0.82030,0,0,0,0,0,0
total,1097,141,141,141,7216.1,7210.0,7541.4,7562.3,7566.5,7566.5,2023-07-19 14:25:51,-0.77832,0,0,0,0,0,0
total,1233,136,136,136,7961.7,7944.0,8292.1,8304.7,8308.9,8308.9,2023-07-19 14:25:52,-0.74571,0,0,0,0,0,0
total,1343,110,110,110,8802.0,8816.4,9076.5,9084.9,9084.9,9084.9,2023-07-19 14:25:53,-0.72453,0,0,0,0,0,0
total,1443,100,100,100,9577.0,9705.6,9865.0,9873.4,9890.2,9890.2,2023-07-19 14:25:54,-0.70839,0,0,0,0,0,0
total,1561,118,118,118,10223.2,10200.5,10636.8,10678.7,10678.7,10678.7,2023-07-19 14:25:55,-0.69119,0,0,0,0,0,0
total,1700,139,139,139,11022.3,10997.5,11349.8,11366.6,11366.6,11366.6,2023-07-19 14:25:56,-0.67279,0,0,0,0,0,0
total,1838,138,138,138,11753.4,11744.1,12079.6,12096.4,12096.4,12096.4,2023-07-19 14:25:57,-0.65668,0,0,0,0,0,0
total,1939,101,101,101,12580.6,12641.6,12876.5,12884.9,12884.9,12884.9,2023-07-19 14:25:58,-0.64682,0,0,0,0,0,0
total,2071,132,132,132,13240.3,13237.2,13522.4,13589.5,13597.9,13597.9,2023-07-19 14:25:59,-0.63441,0,0,0,0,0,0
total,2184,113,113,113,14096.1,14092.9,14378.1,14394.9,14394.9,14394.9,2023-07-19 14:26:00,-0.62509,0,0,0,0,0,0
total,2312,128,128,128,14820.4,14847.8,15133.0,15141.4,15149.8,15149.8,2023-07-19 14:26:01,-0.61518,0,0,0,0,0,0
total,2448,136,136,136,15546.4,15569.3,15854.5,15879.6,15879.6,15879.6,2023-07-19 14:26:02,-0.60541,0,0,0,0,0,0
total,2568,120,120,120,16291.9,16307.5,16617.8,16634.6,16643.0,16643.0,2023-07-19 14:26:03,-0.59765,0,0,0,0,0,0
total,2695,127,127,127,17026.3,17003.7,17364.4,17381.2,17381.2,17381.2,2023-07-19 14:26:04,-0.58994,0,0,0,0,0,0
total,2794,99,99,99,17694.1,17666.4,18186.5,18186.5,18186.5,18186.5,2023-07-19 14:26:05,-0.58466,0,0,0,0,0,0
total,2942,148,148,148,18533.6,18522.0,18874.4,18891.1,18891.1,18891.1,2023-07-19 14:26:06,-0.57662,0,0,0,0,0,0
total,3056,114,114,114,19365.6,19377.7,19646.1,19662.9,19662.9,19662.9,2023-07-19 14:26:07,-0.57111,0,0,0,0,0,0
total,3165,109,109,109,19997.3,19998.4,20334.0,20401.1,20401.1,20401.1,2023-07-19 14:26:08,-0.56618,0,0,0,0,0,0
total,3282,117,117,117,20910.8,20921.2,21189.6,21206.4,21206.4,21206.4,2023-07-19 14:26:09,-0.56113,0,0,0,0,0,0
total,3410,128,128,128,21600.3,21575.5,21944.6,21944.6,21961.4,21961.4,2023-07-19 14:26:10,-0.55581,0,0,0,0,0,0
total,3512,102,102,102,22345.1,22229.8,22749.9,22749.9,22749.9,22749.9,2023-07-19 14:26:11,-0.55199,0,0,0,0,0,0
total,3631,119,119,119,23100.2,23102.2,23404.2,23471.3,23488.1,23488.1,2023-07-19 14:26:12,-0.54759,0,0,0,0,0,0
total,3747,116,116,116,23984.6,23991.4,24259.9,24276.6,24276.6,24276.6,2023-07-19 14:26:13,-0.54354,0,0,0,0,0,0
total,3837,90,90,90,24529.6,24511.5,24880.6,24981.3,25014.8,25014.8,2023-07-19 14:26:14,-0.54071,0,0,0,0,0,0
total,3952,115,115,115,25530.6,25551.7,25836.9,25853.7,25870.5,25870.5,2023-07-19 14:26:15,-0.53706,0,0,0,0,0,0
total,4081,129,129,129,26265.5,26289.9,26608.7,26608.7,26608.7,26608.7,2023-07-19 14:26:16,-0.53304,0,0,0,0,0,0
total,4200,119,119,119,27012.2,26977.8,27363.6,27380.4,27380.4,27380.4,2023-07-19 14:26:17,-0.52956,0,0,0,0,0,0
total,4310,110,110,110,27681.5,27699.2,27950.8,28018.0,28034.7,28034.7,2023-07-19 14:26:18,-0.52650,0,0,0,0,0,0
total,4444,134,134,134,28572.5,28554.8,28890.4,28890.4,28890.4,28890.4,2023-07-19 14:26:19,-0.52280,0,0,0,0,0,0
total,4560,116,116,116,29315.1,29393.7,29662.1,29662.1,29662.1,29662.1,2023-07-19 14:26:20,-0.51981,0,0,0,0,0,0
total,4693,133,133,133,30032.3,30064.8,30383.5,30383.5,30383.5,30383.5,2023-07-19 14:26:21,-0.51642,0,0,0,0,0,0
total,4832,139,139,139,30761.0,30752.6,31105.0,31121.7,31121.7,31121.7,2023-07-19 14:26:22,-0.51299,0,0,0,0,0,0
total,4940,108,108,108,31592.1,31641.8,31893.5,31893.5,31893.5,31893.5,2023-07-19 14:26:23,-0.51054,0,0,0,0,0,0
total,5028,88,88,88,32195.1,32161.9,32698.8,32715.6,32732.3,32732.3,2023-07-19 14:26:24,-0.50871,0,0,0,0,0,0
total,5136,108,108,108,33051.9,33067.9,33369.9,33453.8,33453.8,33453.8,2023-07-19 14:26:25,-0.50642,0,0,0,0,0,0
total,5255,119,119,119,33963.1,33973.9,34242.3,34259.1,34275.9,34275.9,2023-07-19 14:26:26,-0.50393,0,0,0,0,0,0
total,5391,136,136,136,34640.0,34628.2,34963.7,34997.3,34997.3,34997.3,2023-07-19 14:26:27,-0.50111,0,0,0,0,0,0
total,5533,142,142,142,35361.9,35366.4,35701.9,35701.9,35735.5,35735.5,2023-07-19 14:26:28,-0.49824,0,0,0,0,0,0
total,5634,101,101,101,35983.8,35970.4,36272.3,36406.6,36440.1,36440.1,2023-07-19 14:26:29,-0.49638,0,0,0,0,0,0
total,5726,92,92,92,36863.9,36809.2,37312.5,37312.5,37312.5,37312.5,2023-07-19 14:26:30,-0.49478,0,0,0,0,0,0
total,5828,102,102,102,37806.0,37883.0,38117.8,38117.8,38117.8,38117.8,2023-07-19 14:26:31,-0.49301,0,0,0,0,0,0
total,5963,135,135,135,38501.5,38554.0,38856.0,38856.0,38856.0,38856.0,2023-07-19 14:26:32,-0.49061,0,0,0,0,0,0
