type total,ops,op/s,pk/s,row/s,mean,med,.95,.99,.999,max,time,stderr,errors,gc: #,max ms,sum ms,sdv ms,mb
total,48,48,48,48,500.8,495.2,651.7,662.7,662.7,662.7,2023-07-19 14:24:50,0.00000,0,0,0,0,0,0
total,151,103,103,103,982.8,968.4,1307.6,1403.0,1429.2,1429.2,2023-07-19 14:24:51,-2.76764,0,0,0,0,0,0
total,284,133,133,133,1849.8,1859.1,2183.1,2189.4,2197.8,2197.8,2023-07-19 14:24:52,-1.31786,0,0,0,0,0,0
total,376,92,92,92,2555.4,2474.6,3011.5,3017.8,3022.0,3022.0,2023-07-19 14:24:53,-1.08508,0,0,0,0,0,0
total,475,99,99,99,3363.1,3296.7,3762.3,3770.7,3774.9,3774.9,2023-07-19 14:24:54,-0.95541,0,0,0,0,0,0
total,568,93,93,93,4338.9,4362.1,4609.5,4622.1,4622.1,4622.1,2023-07-19 14:24:55,-0.88264,0,0,0,0,0,0
total,689,121,121,121,4990.8,4966.1,5385.5,5398.1,5414.8,5414.8,2023-07-19 14:24:56,-0.81494,0,0,0,0,0,0
total,810,121,121,121,5733.5,5729.4,6002.0,6090.1,6111.1,6111.1,2023-07-19 14:24:57,-0.76505,0,0,0,0,0,0
total,922,112,112,112,6642.5,6610.2,6899.6,6912.2,6912.2,6912.2,2023-07-19 14:24:58,-0.73043,0,0,0,0,0,0
total,1034,112,112,112,7296.5,7252.0,7696.5,7709.1,7730.1,7730.1,2023-07-19 14:24:59,-0.70293,0,0,0,0,0,0
total,1142,108,108,108,8052.3,8023.7,8459.9,8476.7,8476.7,8476.7,2023-07-19 14:25:00,-0.68112,0,0,0,0,0,0
total,1237,95,95,95,9003.3,9051.3,9277.8,9286.2,9286.2,9286.2,2023-07-19 14:25:01,-0.66551,0,0,0,0,0,0
total,1336,99,99,99,9746.2,9823.1,10066.3,10074.7,10083.1,10083.1,2023-07-19 14:25:02,-0.65125,0,0,0,0,0,0
total,1438,102,102,102,10426.5,10443.8,10687.1,10821.3,10854.9,10854.9,2023-07-19 14:25:03,-0.63823,0,0,0,0,0,0
total,1560,122,122,122,11323.8,11316.2,11609.8,11626.6,11635.0,11635.0,2023-07-19 14:25:04,-0.62384,0,0,0,0,0,0
total,1656,96,96,96,11995.0,11928.6,12457.1,12465.5,12473.9,12473.9,2023-07-19 14:25:05,-0.61445,0,0,0,0,0,0
total,1765,109,109,109,12749.1,12733.9,13035.9,13094.6,13094.6,13094.6,2023-07-19 14:25:06,-0.60428,0,0,0,0,0,0
total,1852,87,87,87,13818.8,13824.4,14050.9,14059.3,14067.7,14067.7,2023-07-19 14:25:07,-0.59754,0,0,0,0,0,0
total,1968,116,116,116,14469.4,14529.1,14797.5,14814.3,14814.3,14814.3,2023-07-19 14:25:08,-0.58850,0,0,0,0,0,0
total,2090,122,122,122,15211.8,15183.4,15560.9,15577.6,15577.6,15577.6,2023-07-19 14:25:09,-0.57969,0,0,0,0,0,0
total,2208,118,118,118,15921.3,15938.4,16164.8,16290.7,16324.2,16324.2,2023-07-19 14:25:10,-0.57190,0,0,0,0,0,0
total,2341,133,133,133,16707.4,16693.3,17054.0,17079.2,17079.2,17079.2,2023-07-19 14:25:11,-0.56357,0,0,0,0,0,0
total,2404,63,63,63,17471.7,17448.3,17817.4,17834.2,17901.3,17901.3,2023-07-19 14:25:12,-0.56077,0,0,0,0,0,0
total,2506,102,102,102,18477.8,18488.5,18723.4,18740.2,18740.2,18740.2,2023-07-19 14:25:13,-0.55554,0,0,0,0,0,0
