Algorithm,Operation,Testbed,MSE,MAE,RMSE,MAPE,,,
DT,Read,FIBRE-NG,0.002368466,0.007474331,0.048666893,47.13027226,,,
DT,Read,FIBRE-NG,0.000814349,0.005655966,0.028536792,12.26075932,,,
KNN,Read,FIBRE-NG,0.000650373,0.009556154,0.025502402,106.1824735,,,
KNN,Read,FIBRE-NG,0.001486486,0.011196041,0.038554979,130.5402684,,,
KNN,Read,FIBRE-NG,0.001047667,0.010264357,0.032367685,144.6766598,,,
KNN,Read,FIBRE-NG,0.001538841,0.011448287,0.039228061,109.5563673,,,
KNN,Read,FIBRE-NG,0.001329316,0.011832025,0.03645979,136.1550081,,,
KNN,Read,FIBRE-NG,0.001780203,0.013365932,0.042192448,134.5174023,,,
KNN,Read,FIBRE-NG,0.001808726,0.012774989,0.042529123,122.245076,,,
KNN,Read,FIBRE-NG,0.001288642,0.010981547,0.035897666,160.5662139,,,
KNN,Read,FIBRE-NG,0.001277874,0.010986017,0.035747356,110.6263854,,,
KNN,Read,FIBRE-NG,0.001032751,0.010752613,0.032136448,121.6722925,,,
LSTM,Read,FIBRE-NG,0.000275248,0.006056318,0.0165906,131.0425468,,,
LSTM,Read,FIBRE-NG,0.000520779,0.00663329,0.022820578,131.6687719,,,
LSTM,Read,FIBRE-NG,0.00020822,0.005740556,0.014429823,214.3618858,,,
LSTM,Read,FIBRE-NG,8.84903E-05,0.007226378,0.009406928,420.8895557,,,
LSTM,Read,FIBRE-NG,0.000105976,0.009116434,0.010294445,539.5662377,,,
LSTM,Read,FIBRE-NG,0.000124472,0.005716228,0.011156721,181.1940241,,,
LSTM,Read,FIBRE-NG,0.000373709,0.00758702,0.019331564,299.8705497,,,
LSTM,Read,FIBRE-NG,0.000378416,0.008790734,0.019452915,348.8654553,,,
LSTM,Read,FIBRE-NG,0.001644581,0.015242582,0.04055343,693.1206392,,,
LSTM,Read,FIBRE-NG,0.00011741,0.003980364,0.010835566,126.7262275,,,
RF,Read,FIBRE-NG,0.0004567,0.004184576,0.021370546,17.92885532,,,
RF,Read,FIBRE-NG,0.000384386,0.004371415,0.01960577,17.13660606,,,
RF,Read,FIBRE-NG,0.000306843,0.003921865,0.01751694,15.19817117,,,
RF,Read,FIBRE-NG,0.000158527,0.003489949,0.01259074,26.20452515,,,
RF,Read,FIBRE-NG,0.000158921,0.00266868,0.012606382,16.25391026,,,
RF,Read,FIBRE-NG,0.000105152,0.002919568,0.010254383,23.44593584,,,
RF,Read,FIBRE-NG,0.000768281,0.004128273,0.027717876,16.75279928,,,
RF,Read,FIBRE-NG,0.000824789,0.003979883,0.028719144,19.26981141,,,
RF,Read,FIBRE-NG,0.000337538,0.004303243,0.018372215,39.55275413,,,
RF,Read,FIBRE-NG,0.000211593,0.00378064,0.014546237,28.01257864,,,
XGBoost,Read,FIBRE-NG,0.000287555,0.003907137,0.016957444,16.19894644,,,
XGBoost,Read,FIBRE-NG,0.000888428,0.004984422,0.0298065,31.17144689,,,
XGBoost,Read,FIBRE-NG,0.000423354,0.004386263,0.020575562,30.59918017,,,
XGBoost,Read,FIBRE-NG,0.000629228,0.00496678,0.025084412,25.28875284,,,
XGBoost,Read,FIBRE-NG,0.000106586,0.002726256,0.01032406,16.79958769,,,
XGBoost,Read,FIBRE-NG,0.000104719,0.002737006,0.010233205,19.99478126,,,
XGBoost,Read,FIBRE-NG,0.00082496,0.00462082,0.028722114,12.95524625,,,
XGBoost,Read,FIBRE-NG,0.000204399,0.003119312,0.014296819,16.57199886,,,
XGBoost,Read,FIBRE-NG,0.000425352,0.004342539,0.020624057,31.5803681,,,
XGBoost,Read,FIBRE-NG,0.000600033,0.004221699,0.024495565,16.18576207,,,
CatBoost,Write,Fabric,2.25157E-05,0.003047766,0.004745069,1.221718132,,,
CatBoost,Write,Fabric,2.14164E-05,0.003074247,0.004627782,1.4353853,,,
CatBoost,Write,Fabric,4.38252E-05,0.003327577,0.006620061,11.56999576,,,
CatBoost,Write,Fabric,2.20244E-05,0.002916848,0.004693019,3.128328853,,,
CatBoost,Write,Fabric,2.04723E-05,0.002771494,0.00452463,5.455334259,,,
CatBoost,Write,Fabric,2.93483E-05,0.003338967,0.005417408,1.696621593,,,
CatBoost,Write,Fabric,2.24139E-05,0.002948688,0.004734336,6.713162595,,,
CatBoost,Write,Fabric,0.000025002,0.00300627,0.005000201,3.257802488,,,
CatBoost,Write,Fabric,2.20204E-05,0.00306783,0.004692588,3.5138596,,,
CatBoost,Write,Fabric,2.81304E-05,0.003161037,0.005303813,2.672562461,,,
DT,Write,Fabric,2.2393E-06,0.000577903,0.001496435,0.713574066,,,
DT,Write,Fabric,4.2857E-06,0.000739311,0.002070198,0.312507357,,,
DT,Write,Fabric,2.3582E-06,0.000648667,0.001535633,0.564926713,,,
DT,Write,Fabric,0.000003139,0.000699026,0.001771716,0.304452036,,,
DT,Write,Fabric,3.0901E-06,0.000574922,0.00175786,0.717832233,,,
DT,Write,Fabric,4.4155E-06,0.000723359,0.002101307,0.532665272,,,
DT,Write,Fabric,1.9018E-06,0.000561154,0.001379062,0.205684105,,,
DT,Write,Fabric,2.4847E-06,0.000626845,0.001576285,0.75558642,,,
DT,Write,Fabric,8.1832E-06,0.000851272,0.002860628,0.416794802,,,
DT,Write,Fabric,3.3343E-06,0.000714014,0.001826003,0.402701778,,,
KNN,Write,Fabric,0.000607987,0.018417266,0.024657397,6.013450032,,,
KNN,Write,Fabric,0.000612583,0.018302673,0.024750418,4.186502885,,,
KNN,Write,Fabric,0.000644524,0.018613599,0.02538748,5.655769176,,,
KNN,Write,Fabric,0.000587705,0.017828579,0.024242636,3.241490153,,,
KNN,Write,Fabric,0.000531951,0.017291198,0.023064071,3.975407373,,,
KNN,Write,Fabric,0.000612427,0.01824132,0.024747255,4.969297325,,,
KNN,Write,Fabric,0.000606668,0.017991511,0.02463064,3.878178866,,,
KNN,Write,Fabric,0.000656641,0.019085695,0.025625011,3.39576687,,,
KNN,Write,Fabric,0.000680994,0.018867907,0.026095852,3.594040031,,,
KNN,Write,Fabric,0.000619495,0.017722489,0.024889648,3.391150894,,,
